County,FIPS_Code,2010_Physical,2010_Emotional,2010_Neglect,2010_Sexual,2011_Physical,2011_Emotional,2011_Neglect,2011_Sexual,2012_Physical,2012_Emotional,2012_Neglect,2012_Sexual,2013_Physical,2013_Emotional,2013_Neglect,2013_Sexual,2014_Physical,2014_Emotional,2014_Neglect,2014_Sexual,2015_Physical,2015_Emotional,2015_Neglect,2015_Sexual,2016_Physical,2016_Emotional,2016_Neglect,2016_Sexual,2017_Physical,2017_Emotional,2017_Neglect,2017_Sexual,2018_Physical,2018_Emotional,2018_Neglect,2018_Sexual,2019_Physical,2019_Emotional,2019_Neglect,2019_Sexual,2020_Physical,2020_Emotional,2020_Neglect,2020_Sexual,2021_Physical,2021_Emotional,2021_Neglect,2021_Sexual
Adams County ,18001,4,-,81,10,5,-,50,12,8,-,34,15,8,-,44,20,10,-,52,14,6,-,113,15,20,-,129,17,8,-,181,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Allen County ,18003,99,-,586,236,108,-,431,187,102,-,435,200,105,-,581,186,96,-,570,193,119,-,654,206,109,-,791,150,83,-,906,214,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bartholomew County ,18005,16,-,167,27,21,-,134,36,8,-,98,29,11,-,145,27,13,-,217,18,23,-,247,39,12,-,288,34,15,-,234,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Benton County ,18007,4,-,18,10,5,-,16,6,5,-,23,16,4,-,14,10,1,-,27,7,3,-,13,5,1,-,17,2,4,-,55,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Blackford County ,18009,5,-,44,11,4,-,20,8,4,-,39,15,4,-,49,10,16,-,63,10,11,-,76,7,7,-,89,10,6,-,110,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Boone County ,18011,10,-,102,18,8,-,61,24,0,-,38,9,7,-,27,19,1,-,53,24,3,-,54,7,7,-,119,25,9,-,155,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Brown County ,18013,1,-,36,3,5,-,18,5,3,-,19,5,8,-,25,4,3,-,16,2,2,-,25,4,2,-,75,6,9,-,56,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Carroll County ,18015,12,-,21,6,6,-,30,8,4,-,18,7,8,-,32,6,5,-,43,6,3,-,48,3,12,-,105,9,7,-,103,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cass County ,18017,17,-,80,22,17,-,126,33,16,-,107,58,16,-,78,25,32,-,143,37,18,-,143,19,20,-,122,21,7,-,149,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Clark County ,18019,42,-,346,69,43,-,361,69,29,-,204,58,18,-,242,60,33,-,276,66,18,-,346,50,24,-,330,33,28,-,374,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Clay County ,18021,8,-,32,26,4,-,24,13,5,-,39,11,8,-,60,19,7,-,61,6,3,-,120,11,14,-,149,9,13,-,194,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Clinton County ,18023,21,-,109,39,30,-,95,17,14,-,58,18,15,-,74,13,17,-,79,9,13,-,86,10,5,-,92,11,11,-,142,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Crawford County ,18025,1,-,39,6,3,-,34,8,2,-,39,5,7,-,56,9,3,-,59,8,2,-,87,9,11,-,110,12,7,-,131,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Daviess County ,18027,11,-,166,30,6,-,105,15,9,-,105,19,10,-,92,30,5,-,133,25,2,-,144,14,7,-,146,8,4,-,119,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dearborn County ,18029,13,-,161,17,4,-,110,25,8,-,67,30,20,-,86,16,12,-,109,19,9,-,133,14,15,-,233,34,25,-,255,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Decatur County ,18031,11,-,105,12,8,-,46,13,17,-,75,20,4,-,70,16,12,-,81,18,12,-,114,19,12,-,236,23,14,-,252,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DeKalb County ,18033,32,-,361,65,25,-,267,54,35,-,251,64,29,-,242,64,22,-,252,32,21,-,191,28,27,-,217,36,23,-,247,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Delaware County ,18035,63,-,355,65,30,-,204,41,27,-,212,45,49,-,304,38,57,-,270,38,40,-,350,45,23,-,399,39,33,-,733,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dubois County ,18037,8,-,49,27,4,-,39,12,12,-,91,14,16,-,163,28,16,-,122,23,17,-,122,17,11,-,218,22,12,-,201,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
