County,FIPS_Code,2010_Sexual,2011_Sexual,2012_Sexual,2013_Sexual,2014_Sexual,2015_Sexual,2016_Sexual,2017_Sexual,2018_Sexual,2019_Sexual,2020_Sexual,2021_Sexual
Adams County ,18001,10,12,15,20,14,15,17,19,-,-,-,-
Allen County ,18003,236,187,200,186,193,206,150,214,-,-,-,-
Bartholomew County ,18005,27,36,29,27,18,39,34,20,-,-,-,-
Benton County ,18007,10,6,16,10,7,5,2,4,-,-,-,-
Blackford County ,18009,11,8,15,10,10,7,10,7,-,-,-,-
Boone County ,18011,18,24,9,19,24,7,25,27,-,-,-,-
Brown County ,18013,3,5,5,4,2,4,6,10,-,-,-,-
Carroll County ,18015,6,8,7,6,6,3,9,11,-,-,-,-
Cass County ,18017,22,33,58,25,37,19,21,16,-,-,-,-
Clark County ,18019,69,69,58,60,66,50,33,50,-,-,-,-
Clay County ,18021,26,13,11,19,6,11,9,12,-,-,-,-
Clinton County ,18023,39,17,18,13,9,10,11,28,-,-,-,-
Crawford County ,18025,6,8,5,9,8,9,12,7,-,-,-,-
Daviess County ,18027,30,15,19,30,25,14,8,18,-,-,-,-
Dearborn County ,18029,17,25,30,16,19,14,34,13,-,-,-,-
Decatur County ,18031,12,13,20,16,18,19,23,33,-,-,-,-
DeKalb County ,18033,65,54,64,64,32,28,36,30,-,-,-,-
Delaware County ,18035,65,41,45,38,38,45,39,45,-,-,-,-
Dubois County ,18037,27,12,14,28,23,17,22,19,-,-,-,-
Elkhart County ,18039,148,124,98,120,109,119,86,113,-,-,-,-
Fayette County ,18041,7,17,13,16,16,6,12,5,-,-,-,-
Floyd County ,18043,26,19,30,16,12,19,29,32,-,-,-,-
Fountain County ,18045,23,12,13,11,11,13,7,13,-,-,-,-
Franklin County ,18047,16,14,8,5,5,5,2,16,-,-,-,-
Fulton County ,18049,12,23,20,13,14,18,13,6,-,-,-,-
Gibson County ,18051,27,33,17,21,14,15,20,12,-,-,-,-
Grant County ,18053,44,40,42,38,40,21,35,31,-,-,-,-
Greene County ,18055,20,22,23,21,27,22,35,14,-,-,-,-
Hamilton County ,18057,71,52,34,31,50,42,44,36,-,-,-,-
Hancock County ,18059,19,23,28,29,33,22,24,21,-,-,-,-
Harrison County ,18061,32,24,21,20,27,22,16,17,-,-,-,-
Hendricks County ,18063,60,39,28,31,18,21,39,27,-,-,-,-
Henry County ,18065,5,8,10,17,18,4,9,23,-,-,-,-
Howard County ,18067,75,47,56,47,41,46,31,41,-,-,-,-
Huntington County ,18069,31,29,35,28,21,28,12,28,-,-,-,-
Jackson County ,18071,49,25,40,21,47,28,25,32,-,-,-,-
Jasper County ,18073,10,10,16,7,13,1,15,6,-,-,-,-
Jay County ,18075,9,9,15,11,18,16,14,9,-,-,-,-
Jefferson County ,18077,21,22,18,19,16,12,5,12,-,-,-,-
Jennings County ,18079,35,30,57,54,64,16,14,15,-,-,-,-
Johnson County ,18081,53,50,37,38,47,52,30,40,-,-,-,-
Knox County ,18083,44,19,20,18,19,21,15,20,-,-,-,-
Kosciusko County ,18085,39,33,36,32,22,42,26,66,-,-,-,-
LaGrange County ,18087,29,26,17,21,24,20,11,14,-,-,-,-
Lake County ,18089,145,157,158,132,147,113,105,152,-,-,-,-
LaPorte County ,18091,38,17,36,17,20,14,19,22,-,-,-,-
Lawrence County ,18093,21,17,16,15,30,21,25,26,-,-,-,-
Madison County ,18095,96,77,85,63,67,66,94,103,-,-,-,-
Marion County ,18097,632,477,561,445,440,442,381,281,-,-,-,-
Marshall County ,18099,7,21,22,24,21,10,24,25,-,-,-,-
Martin County ,18101,8,5,1,1,7,9,1,1,-,-,-,-
Miami County ,18103,34,31,24,19,36,31,24,29,-,-,-,-
Monroe County ,18105,54,44,28,39,35,36,30,33,-,-,-,-
Montgomery County ,18107,40,37,20,13,8,17,26,39,-,-,-,-
Morgan County ,18109,48,37,37,17,16,14,33,31,-,-,-,-
Newton County ,18111,7,1,11,6,3,8,7,4,-,-,-,-
Noble County ,18113,32,29,33,40,43,39,21,24,-,-,-,-
Ohio County ,18115,2,1,5,3,2,5,2,5,-,-,-,-
Orange County ,18117,18,18,5,15,14,8,18,18,-,-,-,-
Owen County ,18119,15,7,7,10,6,18,5,9,-,-,-,-
Parke County ,18121,11,3,4,9,5,3,8,7,-,-,-,-
Perry County ,18123,15,9,9,10,22,10,4,10,-,-,-,-
Pike County ,18125,20,9,8,15,10,3,6,7,-,-,-,-
Porter County ,18127,33,23,34,35,33,42,30,25,-,-,-,-
Posey County ,18129,19,17,21,5,4,4,7,11,-,-,-,-
Pulaski County ,18131,14,13,7,5,6,9,6,9,-,-,-,-
Putnam County ,18133,20,14,26,8,20,13,18,14,-,-,-,-
Randolph County ,18135,37,23,25,24,10,20,15,27,-,-,-,-
Ripley County ,18137,26,15,13,18,13,5,6,14,-,-,-,-
Rush County ,18139,6,17,13,20,11,7,7,13,-,-,-,-
St. Joseph County ,18141,165,137,165,183,172,125,26,138,-,-,-,-
Scott County ,18143,41,40,29,55,39,20,26,43,-,-,-,-
Shelby County ,18145,27,20,30,29,28,30,16,23,-,-,-,-
Spencer County ,18147,4,24,10,9,12,15,16,19,-,-,-,-
Starke County ,18149,15,7,12,12,12,12,25,8,-,-,-,-
Steuben County ,18151,28,20,21,25,24,15,13,24,-,-,-,-
Sullivan County ,18153,22,19,5,8,8,7,15,14,-,-,-,-
Switzerland County ,18155,6,7,10,2,11,12,7,8,-,-,-,-
Tippecanoe County ,18157,81,59,57,56,63,55,51,68,-,-,-,-
Tipton County ,18159,9,4,9,6,10,6,8,5,-,-,-,-
Union County ,18161,6,2,4,2,3,3,2,15,-,-,-,-
Vanderburgh County ,18163,96,89,94,76,89,67,70,64,-,-,-,-
Vermillion County ,18165,8,8,13,6,9,9,10,9,-,-,-,-
Vigo County ,18167,55,43,46,64,42,50,63,68,-,-,-,-
Wabash County ,18169,24,17,12,18,34,29,15,17,-,-,-,-
Warren County ,18171,5,4,3,4,3,1,5,4,-,-,-,-
Warrick County ,18173,18,23,21,5,17,10,22,21,-,-,-,-
Washington County ,18175,25,17,19,19,31,13,25,18,-,-,-,-
Wayne County ,18177,29,31,34,50,28,20,27,31,-,-,-,-
Wells County ,18179,25,20,19,20,23,11,30,11,-,-,-,-
White County ,18181,20,16,14,10,8,12,6,8,-,-,-,-
Whitley County ,18183,14,19,8,13,12,22,31,18,-,-,-,-
