County,FIPS_Code,2010_Emotional,2011_Emotional,2012_Emotional,2013_Emotional,2014_Emotional,2015_Emotional,2016_Emotional,2017_Emotional,2018_Emotional,2019_Emotional,2020_Emotional,2021_Emotional
Adams County ,18001,-,-,-,-,-,-,-,-,-,-,-,-
Allen County ,18003,-,-,-,-,-,-,-,-,-,-,-,-
Bartholomew County ,18005,-,-,-,-,-,-,-,-,-,-,-,-
Benton County ,18007,-,-,-,-,-,-,-,-,-,-,-,-
Blackford County ,18009,-,-,-,-,-,-,-,-,-,-,-,-
Boone County ,18011,-,-,-,-,-,-,-,-,-,-,-,-
Brown County ,18013,-,-,-,-,-,-,-,-,-,-,-,-
Carroll County ,18015,-,-,-,-,-,-,-,-,-,-,-,-
Cass County ,18017,-,-,-,-,-,-,-,-,-,-,-,-
Clark County ,18019,-,-,-,-,-,-,-,-,-,-,-,-
Clay County ,18021,-,-,-,-,-,-,-,-,-,-,-,-
Clinton County ,18023,-,-,-,-,-,-,-,-,-,-,-,-
Crawford County ,18025,-,-,-,-,-,-,-,-,-,-,-,-
Daviess County ,18027,-,-,-,-,-,-,-,-,-,-,-,-
Dearborn County ,18029,-,-,-,-,-,-,-,-,-,-,-,-
Decatur County ,18031,-,-,-,-,-,-,-,-,-,-,-,-
DeKalb County ,18033,-,-,-,-,-,-,-,-,-,-,-,-
Delaware County ,18035,-,-,-,-,-,-,-,-,-,-,-,-
Dubois County ,18037,-,-,-,-,-,-,-,-,-,-,-,-
Elkhart County ,18039,-,-,-,-,-,-,-,-,-,-,-,-
Fayette County ,18041,-,-,-,-,-,-,-,-,-,-,-,-
Floyd County ,18043,-,-,-,-,-,-,-,-,-,-,-,-
Fountain County ,18045,-,-,-,-,-,-,-,-,-,-,-,-
Franklin County ,18047,-,-,-,-,-,-,-,-,-,-,-,-
Fulton County ,18049,-,-,-,-,-,-,-,-,-,-,-,-
Gibson County ,18051,-,-,-,-,-,-,-,-,-,-,-,-
Grant County ,18053,-,-,-,-,-,-,-,-,-,-,-,-
Greene County ,18055,-,-,-,-,-,-,-,-,-,-,-,-
Hamilton County ,18057,-,-,-,-,-,-,-,-,-,-,-,-
Hancock County ,18059,-,-,-,-,-,-,-,-,-,-,-,-
Harrison County ,18061,-,-,-,-,-,-,-,-,-,-,-,-
Hendricks County ,18063,-,-,-,-,-,-,-,-,-,-,-,-
Henry County ,18065,-,-,-,-,-,-,-,-,-,-,-,-
Howard County ,18067,-,-,-,-,-,-,-,-,-,-,-,-
Huntington County ,18069,-,-,-,-,-,-,-,-,-,-,-,-
Jackson County ,18071,-,-,-,-,-,-,-,-,-,-,-,-
Jasper County ,18073,-,-,-,-,-,-,-,-,-,-,-,-
Jay County ,18075,-,-,-,-,-,-,-,-,-,-,-,-
Jefferson County ,18077,-,-,-,-,-,-,-,-,-,-,-,-
Jennings County ,18079,-,-,-,-,-,-,-,-,-,-,-,-
Johnson County ,18081,-,-,-,-,-,-,-,-,-,-,-,-
Knox County ,18083,-,-,-,-,-,-,-,-,-,-,-,-
Kosciusko County ,18085,-,-,-,-,-,-,-,-,-,-,-,-
LaGrange County ,18087,-,-,-,-,-,-,-,-,-,-,-,-
Lake County ,18089,-,-,-,-,-,-,-,-,-,-,-,-
LaPorte County ,18091,-,-,-,-,-,-,-,-,-,-,-,-
Lawrence County ,18093,-,-,-,-,-,-,-,-,-,-,-,-
Madison County ,18095,-,-,-,-,-,-,-,-,-,-,-,-
Marion County ,18097,-,-,-,-,-,-,-,-,-,-,-,-
Marshall County ,18099,-,-,-,-,-,-,-,-,-,-,-,-
Martin County ,18101,-,-,-,-,-,-,-,-,-,-,-,-
Miami County ,18103,-,-,-,-,-,-,-,-,-,-,-,-
Monroe County ,18105,-,-,-,-,-,-,-,-,-,-,-,-
