County,FIPS_Code,2010_Neglect,2011_Neglect,2012_Neglect,2013_Neglect,2014_Neglect,2015_Neglect,2016_Neglect,2017_Neglect,2018_Neglect,2019_Neglect,2020_Neglect,2021_Neglect
Adams County ,18001,81,50,34,44,52,113,129,181,-,-,-,-
Allen County ,18003,586,431,435,581,570,654,791,906,-,-,-,-
Bartholomew County ,18005,167,134,98,145,217,247,288,234,-,-,-,-
Benton County ,18007,18,16,23,14,27,13,17,55,-,-,-,-
Blackford County ,18009,44,20,39,49,63,76,89,110,-,-,-,-
Boone County ,18011,102,61,38,27,53,54,119,155,-,-,-,-
Brown County ,18013,36,18,19,25,16,25,75,56,-,-,-,-
Carroll County ,18015,21,30,18,32,43,48,105,103,-,-,-,-
Cass County ,18017,80,126,107,78,143,143,122,149,-,-,-,-
Clark County ,18019,346,361,204,242,276,346,330,374,-,-,-,-
Clay County ,18021,32,24,39,60,61,120,149,194,-,-,-,-
Clinton County ,18023,109,95,58,74,79,86,92,142,-,-,-,-
Crawford County ,18025,39,34,39,56,59,87,110,131,-,-,-,-
Daviess County ,18027,166,105,105,92,133,144,146,119,-,-,-,-
Dearborn County ,18029,161,110,67,86,109,133,233,255,-,-,-,-
Decatur County ,18031,105,46,75,70,81,114,236,252,-,-,-,-
DeKalb County ,18033,361,267,251,242,252,191,217,247,-,-,-,-
Delaware County ,18035,355,204,212,304,270,350,399,733,-,-,-,-
Dubois County ,18037,49,39,91,163,122,122,218,201,-,-,-,-
Elkhart County ,18039,301,287,221,334,321,369,448,551,-,-,-,-
Fayette County ,18041,47,49,40,76,62,131,146,154,-,-,-,-
Floyd County ,18043,94,114,157,130,165,210,328,410,-,-,-,-
Fountain County ,18045,32,48,41,53,61,47,93,172,-,-,-,-
Franklin County ,18047,48,19,31,57,27,87,82,109,-,-,-,-
Fulton County ,18049,86,83,103,115,117,95,124,154,-,-,-,-
Gibson County ,18051,151,124,151,218,172,176,173,174,-,-,-,-
Grant County ,18053,146,120,148,207,196,190,188,239,-,-,-,-
Greene County ,18055,137,64,82,120,121,124,197,183,-,-,-,-
Hamilton County ,18057,150,151,138,170,185,259,195,203,-,-,-,-
Hancock County ,18059,107,96,73,94,136,106,163,217,-,-,-,-
Harrison County ,18061,105,52,51,93,107,105,74,99,-,-,-,-
Hendricks County ,18063,159,62,37,53,92,108,175,257,-,-,-,-
Henry County ,18065,165,92,105,129,110,89,216,201,-,-,-,-
Howard County ,18067,270,277,261,287,360,323,337,346,-,-,-,-
Huntington County ,18069,61,61,60,68,138,93,94,105,-,-,-,-
Jackson County ,18071,163,147,162,168,211,171,152,257,-,-,-,-
Jasper County ,18073,60,39,67,50,82,103,128,99,-,-,-,-
Jay County ,18075,50,52,76,143,165,131,118,148,-,-,-,-
Jefferson County ,18077,66,77,103,89,121,105,135,220,-,-,-,-
