County,FIPS_Code,2010_Physical,2011_Physical,2012_Physical,2013_Physical,2014_Physical,2015_Physical,2016_Physical,2017_Physical,2018_Physical,2019_Physical,2020_Physical,2021_Physical
Adams County ,18001,4,5,8,8,10,6,20,8,-,-,-,-
Allen County ,18003,99,108,102,105,96,119,109,83,-,-,-,-
Bartholomew County ,18005,16,21,8,11,13,23,12,15,-,-,-,-
Benton County ,18007,4,5,5,4,1,3,1,4,-,-,-,-
Blackford County ,18009,5,4,4,4,16,11,7,6,-,-,-,-
Boone County ,18011,10,8,0,7,1,3,7,9,-,-,-,-
Brown County ,18013,1,5,3,8,3,2,2,9,-,-,-,-
Carroll County ,18015,12,6,4,8,5,3,12,7,-,-,-,-
Cass County ,18017,17,17,16,16,32,18,20,7,-,-,-,-
Clark County ,18019,42,43,29,18,33,18,24,28,-,-,-,-
Clay County ,18021,8,4,5,8,7,3,14,13,-,-,-,-
Clinton County ,18023,21,30,14,15,17,13,5,11,-,-,-,-
Crawford County ,18025,1,3,2,7,3,2,11,7,-,-,-,-
Daviess County ,18027,11,6,9,10,5,2,7,4,-,-,-,-
Dearborn County ,18029,13,4,8,20,12,9,15,25,-,-,-,-
Decatur County ,18031,11,8,17,4,12,12,12,14,-,-,-,-
DeKalb County ,18033,32,25,35,29,22,21,27,23,-,-,-,-
Delaware County ,18035,63,30,27,49,57,40,23,33,-,-,-,-
Dubois County ,18037,8,4,12,16,16,17,11,12,-,-,-,-
Elkhart County ,18039,67,46,58,61,74,50,62,60,-,-,-,-
Fayette County ,18041,9,6,12,7,7,5,5,7,-,-,-,-
Floyd County ,18043,9,9,10,9,33,22,29,34,-,-,-,-
Fountain County ,18045,4,5,6,8,10,6,9,7,-,-,-,-
Franklin County ,18047,5,3,6,7,5,5,7,5,-,-,-,-
Fulton County ,18049,10,16,18,22,8,19,12,10,-,-,-,-
Gibson County ,18051,12,17,16,9,19,5,5,4,-,-,-,-
Grant County ,18053,16,3,16,23,12,17,22,19,-,-,-,-
Greene County ,18055,17,20,8,10,10,10,11,16,-,-,-,-
Hamilton County ,18057,20,12,11,17,16,20,12,27,-,-,-,-
Hancock County ,18059,11,6,13,19,12,13,17,17,-,-,-,-
Harrison County ,18061,21,17,13,9,16,19,9,4,-,-,-,-
Hendricks County ,18063,22,9,7,6,12,8,14,14,-,-,-,-
Henry County ,18065,12,12,9,15,14,14,16,9,-,-,-,-
Howard County ,18067,79,41,56,38,55,45,46,24,-,-,-,-
Huntington County ,18069,22,13,14,19,14,12,7,12,-,-,-,-
Jackson County ,18071,28,22,11,13,17,12,12,14,-,-,-,-
Jasper County ,18073,8,8,9,10,15,8,10,5,-,-,-,-
Jay County ,18075,18,9,22,25,20,19,16,12,-,-,-,-
Jefferson County ,18077,13,8,9,6,6,2,10,12,-,-,-,-
Jennings County ,18079,22,22,54,62,65,34,14,21,-,-,-,-
Johnson County ,18081,37,29,24,21,18,20,22,38,-,-,-,-
Knox County ,18083,10,19,14,16,11,17,10,27,-,-,-,-
Kosciusko County ,18085,29,27,28,27,25,30,22,10,-,-,-,-
LaGrange County ,18087,15,15,9,14,21,8,13,12,-,-,-,-
Lake County ,18089,197,161,134,116,105,139,154,175,-,-,-,-
LaPorte County ,18091,35,23,14,18,29,17,25,26,-,-,-,-
Lawrence County ,18093,16,9,19,28,19,25,24,14,-,-,-,-
Madison County ,18095,74,56,55,54,58,68,89,79,-,-,-,-
Marion County ,18097,482,393,384,391,459,465,324,209,-,-,-,-
Marshall County ,18099,14,28,27,39,21,16,11,9,-,-,-,-
Martin County ,18101,13,3,8,8,11,9,4,4,-,-,-,-
Miami County ,18103,35,25,31,33,51,39,32,18,-,-,-,-
Monroe County ,18105,36,20,15,17,17,21,23,24,-,-,-,-
Montgomery County ,18107,18,17,17,5,16,8,10,15,-,-,-,-
Morgan County ,18109,10,21,11,9,6,12,7,23,-,-,-,-
Newton County ,18111,1,2,2,5,4,3,2,3,-,-,-,-
Noble County ,18113,40,27,17,13,19,25,35,15,-,-,-,-
Ohio County ,18115,4,1,0,0,1,7,0,2,-,-,-,-
Orange County ,18117,10,4,4,14,5,0,22,16,-,-,-,-
Owen County ,18119,18,0,2,2,11,11,13,6,-,-,-,-
Parke County ,18121,5,0,5,1,0,2,1,2,-,-,-,-
Perry County ,18123,9,5,17,20,10,4,13,10,-,-,-,-
Pike County ,18125,3,6,4,8,5,3,9,16,-,-,-,-
Porter County ,18127,18,10,20,20,30,27,41,29,-,-,-,-
Posey County ,18129,12,13,10,8,13,17,9,8,-,-,-,-
Pulaski County ,18131,13,3,6,3,7,2,4,9,-,-,-,-
Putnam County ,18133,3,8,7,15,18,18,12,20,-,-,-,-
Randolph County ,18135,15,7,11,19,10,10,8,20,-,-,-,-
