County,FIPS_Code,2010_Emotional,2011_Emotional,2012_Emotional,2013_Emotional,2014_Emotional,2015_Emotional,2016_Emotional,2017_Emotional,2018_Emotional,2019_Emotional,2020_Emotional,2021_Emotional
Adair County ,19001,-,-,-,-,0,-,--,-,-,-,-,0
Adams County ,19003,-,-,-,-,0,-,--,-,-,-,1,0
Allamakee County ,19005,-,-,-,-,0,-,--,-,-,-,-,0
Appanoose County ,19007,-,-,-,-,0,-,--,-,-,-,-,0
Audubon County ,19009,-,-,-,-,0,-,--,-,-,-,-,0
Benton County ,19011,1,-,-,-,0,-,2,-,-,-,-,0
Black Hawk County ,19013,2,-,-,2,1,-,1,1,-,1,2,1
Boone County ,19015,-,-,-,-,0,1,-,-,-,-,1,1
Bremer County ,19017,-,-,1,1,0,-,-,3,-,-,-,0
Buchanan County ,19019,-,2,-,-,0,-,1,-,1,-,-,0
Buena Vista County ,19021,-,-,-,-,0,-,-,1,-,-,-,0
Butler County ,19023,-,-,-,-,0,-,-,-,-,-,-,0
Calhoun County ,19025,-,-,-,-,0,-,-,-,-,-,-,0
Carroll County ,19027,-,-,-,-,0,-,-,-,-,-,-,0
Cass County ,19029,-,-,-,-,0,-,-,-,-,-,-,0
Cedar County ,19031,-,1,-,-,0,-,-,1,-,2,-,3
Cerro Gordo County ,19033,-,-,-,-,0,-,-,3,-,2,3,0
Cherokee County ,19035,-,-,-,-,0,--,-,-,-,-,-,0
Chickasaw County ,19037,-,-,-,-,0,-,-,-,-,1,-,0
Clarke County ,19039,-,-,-,-,0,-,-,-,-,-,-,0
Clay County ,19041,-,-,-,-,0,-,-,-,-,-,-,0
Clayton County ,19043,-,-,-,-,0,-,-,1,-,0,-,0
Clinton County ,19045,-,7,-,2,1,1,-,1,-,-,-,0
Crawford County ,19047,-,-,-,-,0,-,-,-,-,-,-,0
Dallas County ,19049,-,-,-,-,1,-,-,-,1,2,-,2
Davis County ,19051,-,1,-,-,0,-,1,-,-,-,-,0
Decatur County ,19053,-,-,-,1,0,-,,-,1,-,-,0
Delaware County ,19055,-,-,-,-,0,-,-,-,-,-,-,0
Des Moines County ,19057,1,-,-,1,0,-,-,1,-,1,-,2
Dickinson County ,19059,-,-,-,1,0,-,-,-,-,-,-,0
Dubuque County ,19061,1,1,1,1,2,4,-,-,-,-,1,1
Emmet County ,19063,-,-,-,-,0,-,-,-,-,-,-,0
Fayette County ,19065,1,-,-,-,0,-,-,1,-,-,-,0
Floyd County ,19067,-,-,-,-,0,-,1,-,-,-,1,0
Franklin County ,19069,-,-,-,-,0,-,1,-,-,-,-,0
Fremont County ,19071,-,-,-,-,0,-,-,-,-,-,-,0
Greene County ,19073,-,-,-,-,0,-,-,-,-,-,-,0
Grundy County ,19075,-,-,-,-,0,-,-,-,-,-,-,0
Guthrie County ,19077,-,-,-,-,0,-,-,-,-,-,-,0
Hamilton County ,19079,-,-,1,-,0,-,-,-,-,-,-,0
Hancock County ,19081,-,-,-,-,0,-,-,1,-,-,-,0
Hardin County ,19083,-,-,3,-,0,-,-,-,-,-,-,1
Harrison County ,19085,-,-,-,-,0,-,-,3,-,-,-,0
Henry County ,19087,-,8,-,-,0,-,1,-,-,-,2,0
Howard County ,19089,-,-,-,-,0,-,-,-,-,-,2,0
Humboldt County ,19091,-,-,1,-,0,-,-,2,-,-,-,0
Ida County ,19093,-,-,-,-,0,-,-,-,-,-,-,0
Iowa County ,19095,1,2,-,-,0,-,-,-,-,-,-,0
Jackson County ,19097,-,10,-,-,0,-,-,-,-,-,-,0
Jasper County ,19099,-,-,-,-,0,-,-,-,1,-,-,0
Jefferson County ,19101,-,-,-,-,0,-,-,-,2,-,-,1
Johnson County ,19103,2,3,3,5,0,2,1,-,5,1,1,0
Jones County ,19105,-,-,-,1,0,-,-,-,-,-,-,0
Keokuk County ,19107,-,2,-,4,0,-,-,1,-,-,1,0
Kossuth County ,19109,-,-,-,-,0,2,-,-,-,-,-,0
Lee County ,19111,2,-,-,1,0,1,-,-,-,-,-,0
Linn County ,19113,7,3,2,2,10,3,2,5,3,7,2,1
Louisa County ,19115,-,-,-,-,0,-,-,-,-,-,-,0
Lucas County ,19117,-,-,-,-,0,-,-,-,-,-,-,0
Lyon County ,19119,-,-,-,-,0,-,-,-,-,-,-,0
Madison County ,19121,-,-,-,-,0,-,-,2,1,-,-,0
Mahaska County ,19123,-,-,-,1,0,-,-,-,-,1,-,0
Marion County ,19125,-,-,-,-,0,-,-,-,-,-,-,0
Marshall County ,19127,-,-,-,-,0,-,-,-,-,-,-,0
Mills County ,19129,-,-,-,-,0,-,1,-,-,,-,0
Mitchell County ,19131,-,-,-,-,0,-,-,-,-,-,-,0
Monona County ,19133,-,-,-,-,0,-,-,-,-,-,-,0
Monroe County ,19135,-,-,-,-,0,-,-,-,-,-,1,0
Montgomery County ,19137,-,-,-,-,0,-,-,-,-,-,-,0
Muscatine County ,19139,-,-,1,-,0,-,-,-,-,-,8,0
O'Brien County ,19141,-,-,1,-,0,-,-,-,-,-,-,1
Osceola County ,19143,-,-,-,-,0,-,-,-,-,-,-,0
Page County ,19145,-,-,-,-,0,1,-,-,-,-,-,0
Palo Alto County ,19147,-,-,-,-,0,-,-,-,-,-,-,0
Plymouth County ,19149,2,-,-,-,0,-,-,-,-,-,3,0
Pocahontas County ,19151,-,-,-,-,0,-,-,-,-,-,-,0
Polk County ,19153,3,-,-,13,0,2,5,4,-,9,3,3
Pottawattamie County ,19155,1,-,1,3,0,-,-,-,-,2,4,1
Poweshiek County ,19157,-,-,-,-,0,-,-,-,-,-,-,0
Ringgold County ,19159,-,-,-,-,0,-,-,-,-,-,-,0
Sac County ,19161,1,-,-,-,0,-,-,-,-,-,-,0
Scott County ,19163,7,4,2,3,2,4,1,2,3,3,1,3
Shelby County ,19165,-,-,-,-,0,-,1,-,-,-,-,0
Sioux County ,19167,-,-,-,-,0,-,-,-,-,-,-,2
Story County ,19169,-,-,2,-,0,1,3,3,-,-,1,0
Tama County ,19171,-,-,2,1,1,-,-,-,-,-,-,0
Taylor County ,19173,-,-,-,-,0,-,-,-,-,-,-,0
Union County ,19175,-,-,-,-,0,-,-,-,-,-,3,2
Van Buren County ,19177,-,-,-,-,0,-,-,-,-,-,-,0
Wapello County ,19179,4,2,-,-,0,-,-,-,-,-,-,0
Warren County ,19181,-,-,-,-,0,2,-,2,-,-,-,3
Washington County ,19183,-,-,-,-,0,-,-,-,-,-,-,3
Wayne County ,19185,-,-,-,-,0,-,-,-,-,-,-,0
Webster County ,19187,-,1,-,-,0,1,-,-,1,-,-,0
Winnebago County ,19189,-,-,-,-,0,-,-,-,-,-,-,0
Winneshiek County ,19191,-,-,-,-,1,-,-,-,-,-,-,0
Woodbury County ,19193,-,-,2,-,0,1,-,2,1,1,-,0
Worth County ,19195,-,-,-,-,0,-,-,-,-,-,-,0
