County,FIPS_Code,2010_Neglect,2011_Neglect,2012_Neglect,2013_Neglect,2014_Neglect,2015_Neglect,2016_Neglect,2017_Neglect,2018_Neglect,2019_Neglect,2020_Neglect,2021_Neglect
Adair County ,19001,37,15,13,50,7,32,31,49,25,65,40,36
Adams County ,19003,25,43,20,61,9,13,25,23,23,18,9,13
Allamakee County ,19005,65,69,62,45,46,31,33,53,57,34,41,25
Appanoose County ,19007,195,103,67,58,55,58,94,90,33,27,17,36
Audubon County ,19009,9,53,17,4,8,19,15,32,12,24,15,24
Benton County ,19011,94,66,80,72,45,44,58,51,46,64,44,71
Black Hawk County ,19013,888,728,583,653,414,402,377,469,329,448,393,297
Boone County ,19015,141,156,119,125,65,91,107,76,86,128,108,99
Bremer County ,19017,83,65,57,54,27,42,23,32,24,41,31,71
Buchanan County ,19019,64,60,59,54,32,24,18,44,59,35,38,27
Buena Vista County ,19021,141,126,117,100,48,33,72,62,74,47,74,65
Butler County ,19023,88,53,62,63,16,29,56,35,31,28,52,48
Calhoun County ,19025,59,27,36,42,26,13,31,25,23,45,7,26
Carroll County ,19027,103,73,90,78,39,55,73,35,92,61,58,53
Cass County ,19029,87,98,61,74,61,34,70,69,69,28,66,50
Cedar County ,19031,58,50,60,50,35,37,38,96,64,34,57,48
Cerro Gordo County ,19033,384,354,315,306,94,205,159,203,196,175,163,199
Cherokee County ,19035,35,66,35,41,20,25,40,34,24,38,32,32
Chickasaw County ,19037,82,48,55,63,48,9,22,43,26,26,25,31
Clarke County ,19039,78,47,47,30,21,36,36,48,65,114,26,51
Clay County ,19041,138,106,92,104,54,59,70,109,38,50,53,73
Clayton County ,19043,68,31,70,99,27,44,33,50,51,45,14,22
Clinton County ,19045,388,405,421,330,207,321,311,319,351,269,268,247
Crawford County ,19047,72,106,73,73,24,20,46,66,46,48,26,34
Dallas County ,19049,178,131,133,171,95,120,109,139,113,141,119,164
Davis County ,19051,36,38,28,32,24,21,14,18,10,10,22,6
Decatur County ,19053,70,33,29,71,31,11,49,30,43,55,20,42
Delaware County ,19055,41,49,54,50,42,24,22,25,30,31,27,22
Des Moines County ,19057,271,176,185,210,101,137,203,252,237,177,195,200
Dickinson County ,19059,96,49,72,67,36,43,42,46,48,42,34,38
Dubuque County ,19061,465,392,375,452,154,220,306,373,371,401,362,377
Emmet County ,19063,36,109,51,80,32,45,35,116,88,53,50,89
Fayette County ,19065,123,93,104,75,54,80,55,66,35,84,58,59
Floyd County ,19067,128,83,97,114,22,58,68,60,67,46,50,101
Franklin County ,19069,71,60,42,74,20,29,40,34,14,33,42,37
Fremont County ,19071,11,13,26,14,14,18,30,28,22,18,30,26
Greene County ,19073,55,29,39,71,16,64,55,29,76,45,29,39
Grundy County ,19075,14,32,20,32,14,61,22,22,24,29,34,23
Guthrie County ,19077,13,39,38,55,36,41,45,38,53,38,40,36
Hamilton County ,19079,101,57,97,134,59,74,36,37,18,45,20,51
Hancock County ,19081,52,26,46,43,9,42,12,25,10,22,11,47
Hardin County ,19083,114,141,115,138,49,71,68,53,48,58,31,94
Harrison County ,19085,118,63,29,56,21,47,45,27,35,72,41,67
Henry County ,19087,147,134,85,139,73,50,68,110,167,108,112,141
Howard County ,19089,22,38,46,35,43,32,51,56,30,36,16,38
Humboldt County ,19091,47,40,45,85,20,25,22,24,11,21,12,24
Ida County ,19093,47,33,29,52,43,10,18,30,39,15,28,13
Iowa County ,19095,44,33,30,35,11,23,27,37,53,47,49,62
Jackson County ,19097,97,108,45,124,29,44,95,63,73,63,61,59
Jasper County ,19099,211,227,235,332,114,133,92,93,143,128,105,188
Jefferson County ,19101,75,55,53,79,43,30,34,109,38,74,34,57
Johnson County ,19103,398,357,348,307,156,128,112,202,211,228,275,218
Jones County ,19105,52,72,53,48,26,22,24,62,26,53,48,50
Keokuk County ,19107,49,64,35,37,40,25,29,43,24,28,36,54
Kossuth County ,19109,32,68,54,62,19,23,21,64,65,102,41,50
Lee County ,19111,275,279,229,245,162,280,212,301,189,208,259,234
Linn County ,19113,1168,741,702,672,485,491,514,693,633,581,672,624
Louisa County ,19115,66,68,54,37,16,33,52,58,64,92,40,51
Lucas County ,19117,71,61,44,40,16,14,8,25,14,26,8,23
Lyon County ,19119,29,32,19,11,15,4,31,41,42,29,18,25
Madison County ,19121,52,30,34,53,34,57,21,61,36,43,50,26
Mahaska County ,19123,117,172,163,103,42,59,83,86,69,59,49,74
Marion County ,19125,82,85,113,134,84,93,101,63,58,54,53,139
Marshall County ,19127,289,233,227,260,129,183,136,200,158,204,175,150
Mills County ,19129,38,32,39,48,13,34,42,53,41,42,24,56
Mitchell County ,19131,48,27,11,21,11,6,30,19,44,12,13,25
Monona County ,19133,36,40,40,27,13,17,39,22,10,12,4,35
Monroe County ,19135,52,63,34,35,23,9,16,15,13,18,20,21
Montgomery County ,19137,83,106,99,125,54,88,74,40,58,51,37,65
Muscatine County ,19139,309,265,223,197,124,147,214,256,216,200,211,177
O'Brien County ,19141,118,104,72,63,46,27,34,74,49,59,48,69
Osceola County ,19143,39,31,2,25,12,4,20,24,34,9,31,41
Page County ,19145,51,116,138,123,92,90,73,79,25,48,57,41
