County,FIPS_Code,2010_Physical,2011_Physical,2012_Physical,2013_Physical,2014_Physical,2015_Physical,2016_Physical,2017_Physical,2018_Physical,2019_Physical,2020_Physical,2021_Physical
Adair County ,19001,6,2,-,4,1,4,7,6,5,1,2,3
Adams County ,19003,6,-,4,-,2,-,2,-,4,-,3,-
Allamakee County ,19005,1,4,4,6,2,5,2,10,2,-,2,8
Appanoose County ,19007,14,15,8,2,4,6,2,4,4,2,3,3
Audubon County ,19009,1,3,3,-,12,1,1,-,-,2,1,1
Benton County ,19011,16,9,11,4,7,11,12,10,14,13,13,13
Black Hawk County ,19013,83,76,86,72,66,61,46,60,52,46,42,50
Boone County ,19015,15,18,6,5,10,14,16,13,23,5,11,6
Bremer County ,19017,4,5,1,6,6,9,8,7,6,10,8,19
Buchanan County ,19019,5,9,10,4,8,10,2,5,10,13,6,8
Buena Vista County ,19021,24,11,4,8,3,12,4,11,20,9,7,24
Butler County ,19023,8,3,8,8,6,9,9,6,3,4,9,10
Calhoun County ,19025,4,4,6,9,4,2,11,7,2,5,1,4
Carroll County ,19027,11,8,7,11,13,11,15,4,6,6,8,5
Cass County ,19029,14,14,3,6,7,9,4,3,7,5,4,3
Cedar County ,19031,15,10,10,9,3,8,11,8,5,9,8,7
Cerro Gordo County ,19033,14,21,22,28,28,23,21,26,33,18,12,38
Cherokee County ,19035,3,4,6,6,6,10,6,3,4,7,5,3
Chickasaw County ,19037,8,5,5,3,4,6,7,9,3,5,12,4
Clarke County ,19039,6,7,9,5,6,3,6,15,3,8,2,3
Clay County ,19041,12,6,7,7,4,4,9,8,10,5,2,8
Clayton County ,19043,3,2,7,4,0,2,2,1,2,4,4,3
Clinton County ,19045,45,43,35,40,28,28,32,39,32,22,21,28
Crawford County ,19047,14,11,8,10,10,6,5,6,8,10,7,9
Dallas County ,19049,33,34,27,17,41,16,27,46,29,21,15,24
Davis County ,19051,9,4,1,1,3,1,2,2,1,4,2,4
Decatur County ,19053,6,4,3,5,7,4,13,2,7,1,1,-
Delaware County ,19055,4,5,8,6,4,5,3,9,10,3,4,1
Des Moines County ,19057,32,26,18,29,27,18,22,21,27,18,20,29
Dickinson County ,19059,3,4,8,8,2,13,4,4,5,6,4,6
Dubuque County ,19061,39,37,42,32,25,27,35,33,27,27,16,36
Emmet County ,19063,5,13,4,2,11,4,12,20,12,8,11,11
Fayette County ,19065,5,8,11,2,6,11,11,7,9,8,12,6
Floyd County ,19067,19,9,8,10,10,9,7,8,13,10,10,16
Franklin County ,19069,1,4,3,11,14,7,7,9,6,4,1,6
Fremont County ,19071,4,8,3,7,0,4,4,4,3,3,2,2
Greene County ,19073,5,12,15,4,4,2,4,3,9,6,4,2
Grundy County ,19075,3,4,6,4,2,6,3,4,7,5,10,2
Guthrie County ,19077,3,8,7,4,1,5,4,3,2,3,8,7
Hamilton County ,19079,11,5,9,8,2,2,3,5,2,9,3,2
Hancock County ,19081,3,2,5,5,3,9,1,7,4,4,2,1
Hardin County ,19083,8,4,3,10,6,16,5,11,15,7,7,5
Harrison County ,19085,2,4,3,4,3,4,1,4,4,8,5,11
Henry County ,19087,15,11,8,11,5,5,10,24,16,12,13,10
Howard County ,19089,-,2,2,1,6,2,7,1,2,4,-,6
Humboldt County ,19091,2,3,1,8,1,-,6,3,2,4,1,0
Ida County ,19093,1,5,2,6,2,9,1,7,5,1,2,3
Iowa County ,19095,5,8,7,2,2,5,7,3,10,6,3,6
Jackson County ,19097,8,9,9,9,5,5,7,9,10,2,7,10
Jasper County ,19099,16,14,13,16,15,22,5,21,17,13,11,20
Jefferson County ,19101,6,7,5,3,3,2,4,8,3,15,4,17
Johnson County ,19103,39,52,34,45,37,36,20,32,31,25,27,39
Jones County ,19105,6,16,6,9,9,4,5,2,5,3,3,5
Keokuk County ,19107,7,2,4,9,5,5,2,5,4,5,2,5
Kossuth County ,19109,20,6,4,5,3,6,2,3,10,12,2,8
Lee County ,19111,31,33,24,31,15,19,14,20,20,14,19,24
Linn County ,19113,108,116,90,114,107,108,80,98,90,90,86,77
Louisa County ,19115,9,7,7,4,2,5,5,8,7,3,8,10
Lucas County ,19117,1,3,3,4,2,5,6,4,-,5,2,2
Lyon County ,19119,3,5,6,1,0,2,4,4,6,1,3,8
Madison County ,19121,5,6,9,7,4,4,2,10,7,4,3,3
Mahaska County ,19123,9,13,8,18,13,8,6,19,10,8,9,12
Marion County ,19125,14,11,10,10,14,16,15,16,7,23,8,18
Marshall County ,19127,19,21,34,26,29,34,31,32,35,47,34,23
Mills County ,19129,3,5,11,5,8,7,4,4,5,7,1,2
Mitchell County ,19131,8,4,2,5,4,5,4,6,5,4,5,3
Monona County ,19133,7,3,3,8,3,5,2,9,3,4,2,7
Monroe County ,19135,1,6,7,4,3,1,2,2,3,5,7,-
Montgomery County ,19137,8,7,9,10,7,9,5,6,3,2,7,2
Muscatine County ,19139,30,39,37,21,36,24,31,39,19,27,30,29
O'Brien County ,19141,9,6,7,9,8,7,6,14,7,4,10,17
Osceola County ,19143,3,1,1,3,2,-,1,-,2,-,2,9
Page County ,19145,8,3,11,10,4,13,7,10,7,4,14,3
Palo Alto County ,19147,11,8,3,5,3,3,2,4,3,8,2,2
Plymouth County ,19149,12,5,13,13,3,7,6,9,12,7,7,14
Pocahontas County ,19151,3,7,8,6,5,9,1,5,4,5,4,1
Polk County ,19153,241,252,282,312,223,242,211,211,160,183,121,183
Pottawattamie County ,19155,47,54,42,41,42,44,46,38,40,46,35,42
Poweshiek County ,19157,13,20,13,7,9,7,5,6,4,3,2,11
Ringgold County ,19159,3,3,2,2,0,2,2,1,2,7,3,7
Sac County ,19161,4,4,10,4,4,8,1,2,5,7,1,2
Scott County ,19163,168,145,142,176,122,110,109,129,117,93,98,121
Shelby County ,19165,7,6,7,3,1,6,5,1,4,-,2,3
Sioux County ,19167,14,15,10,19,10,11,12,23,13,11,17,18
Story County ,19169,26,23,14,21,20,20,42,41,29,28,28,26
Tama County ,19171,21,11,7,7,5,8,10,5,15,12,12,10
Taylor County ,19173,3,4,4,-,2,10,-,2,3,5,-,9
Union County ,19175,4,11,3,6,9,12,5,10,12,5,5,12
Van Buren County ,19177,1,5,4,2,1,2,1,7,1,3,4,1
Wapello County ,19179,28,46,25,26,10,7,13,14,21,22,12,16
Warren County ,19181,16,29,27,21,15,9,18,27,19,14,9,11
Washington County ,19183,15,9,7,6,4,3,8,7,6,6,7,9
Wayne County ,19185,2,1,1,1,3,-,2,4,5,6,4,6
Webster County ,19187,38,32,34,23,20,13,16,18,21,10,12,18
Winnebago County ,19189,4,3,5,6,1,5,4,5,7,7,4,5
Winneshiek County ,19191,1,2,5,2,6,1,1,3,3,-,3,5
Woodbury County ,19193,72,78,66,76,49,71,66,60,52,69,67,36
Worth County ,19195,2,-,2,6,2,1,2,1,4,3,2,2
Wright County ,19197,12,7,6,15,5,4,2,6,6,1,5,4
