County,FIPS_Code,2010_Sexual,2011_Sexual,2012_Sexual,2013_Sexual,2014_Sexual,2015_Sexual,2016_Sexual,2017_Sexual,2018_Sexual,2019_Sexual,2020_Sexual,2021_Sexual
Adair County ,19001,5,-,-,8,1,1,1,7,4,-,9,1
Adams County ,19003,2,2,5,-,1,-,1,2,1,2,3,1
Allamakee County ,19005,1,4,1,-,3,2,1,5,3,4,2,3
Appanoose County ,19007,5,8,2,4,1,6,6,4,4,5,3,3
Audubon County ,19009,1,1,-,4,3,2,2,1,-,-,1,1
Benton County ,19011,5,6,6,6,4,2,1,14,6,17,11,5
Black Hawk County ,19013,15,35,10,16,26,14,19,27,27,34,48,28
Boone County ,19015,5,8,11,3,5,1,18,11,6,7,15,7
Bremer County ,19017,3,2,1,3,2,1,1,1,1,3,2,6
Buchanan County ,19019,1,2,15,-,0,1,3,10,4,-,6,3
Buena Vista County ,19021,5,6,8,3,6,5,6,3,6,5,8,8
Butler County ,19023,4,4,3,-,5,2,6,1,9,-,1,4
Calhoun County ,19025,-,3,5,2,2,1,4,3,1,4,8,4
Carroll County ,19027,1,3,10,3,7,5,3,2,3,10,1,5
Cass County ,19029,4,4,2,2,6,11,4,20,11,4,5,6
Cedar County ,19031,-,3,-,5,2,1,1,6,6,-,5,4
Cerro Gordo County ,19033,1,10,3,8,13,14,16,17,13,7,12,12
Cherokee County ,19035,3,2,-,3,1,2,-,3,1,4,15,14
Chickasaw County ,19037,2,1,-,-,1,-,4,4,-,1,3,3
Clarke County ,19039,2,4,2,1,1,-,3,2,2,1,4,5
Clay County ,19041,6,7,3,4,1,5,4,1,9,3,2,3
Clayton County ,19043,4,1,5,7,4,-,4,2,1,5,1,8
Clinton County ,19045,15,12,22,10,14,17,11,10,9,18,6,23
Crawford County ,19047,4,5,5,10,7,-,3,1,6,4,8,8
Dallas County ,19049,10,5,8,7,13,9,15,30,18,6,6,14
Davis County ,19051,-,8,2,7,2,-,2,-,14,6,1,8
Decatur County ,19053,5,3,1,8,1,6,11,18,4,4,1,2
Delaware County ,19055,5,1,4,1,0,10,3,3,-,1,1,1
