County,FIPS_Code,2010_Physical,2010_Emotional,2010_Neglect,2010_Sexual,2011_Physical,2011_Emotional,2011_Neglect,2011_Sexual,2012_Physical,2012_Emotional,2012_Neglect,2012_Sexual,2013_Physical,2013_Emotional,2013_Neglect,2013_Sexual,2014_Physical,2014_Emotional,2014_Neglect,2014_Sexual,2015_Physical,2015_Emotional,2015_Neglect,2015_Sexual,2016_Physical,2016_Emotional,2016_Neglect,2016_Sexual,2017_Physical,2017_Emotional,2017_Neglect,2017_Sexual,2018_Physical,2018_Emotional,2018_Neglect,2018_Sexual,2019_Physical,2019_Emotional,2019_Neglect,2019_Sexual,2020_Physical,2020_Emotional,2020_Neglect,2020_Sexual,2021_Physical,2021_Emotional,2021_Neglect,2021_Sexual
Adair County ,21001,41,-,118,16,27,-,123,11,75,-,136,35,32,-,84,14,55,-,222,13,40,-,257,18,62,-,338,24,147,-,656,23,123,-,498,26,-,-,-,-,-,-,-,-,-,-,-,-
Allen County ,21003,45,-,198,20,48,-,223,22,67,-,219,16,65,-,199,13,66,-,230,17,53,-,195,15,52,-,285,19,57,-,334,18,79,-,352,15,-,-,-,-,-,-,-,-,-,-,-,-
Anderson County ,21005,67,-,138,19,59,-,116,18,67,-,148,16,48,-,135,18,88,-,368,20,71,-,354,17,70,-,428,25,74,-,499,19,88,-,424,15,-,-,-,-,-,-,-,-,-,-,-,-
Ballard County ,21007,3,-,18,3,0,-,0,0,0,-,0,0,5,-,21,4,*,-,*,0,0,-,0,0,0,-,0,0,0,-,0,0,*,-,*,0,-,-,-,-,-,-,-,-,-,-,-,-
Barren County ,21009,175,-,750,59,217,-,773,60,237,-,759,53,257,-,902,79,310,-,1326,76,334,-,1369,95,300,-,1327,89,493,-,2475,140,185,-,1054,50,-,-,-,-,-,-,-,-,-,-,-,-
Bath County ,21011,35,-,150,10,41,-,219,13,37,-,191,9,45,-,240,12,23,-,236,13,47,-,265,14,73,-,417,21,37,-,319,9,29,-,339,15,-,-,-,-,-,-,-,-,-,-,-,-
Bell County ,21013,61,-,307,19,79,-,327,37,85,-,287,19,117,-,334,33,139,-,548,38,116,-,621,48,80,-,552,32,164,-,839,24,53,-,626,16,-,-,-,-,-,-,-,-,-,-,-,-
Boone County ,21015,144,-,569,57,149,-,548,45,226,-,592,64,138,-,505,46,184,-,1081,44,135,-,1154,42,256,-,1582,39,308,-,2301,77,110,-,1634,34,-,-,-,-,-,-,-,-,-,-,-,-
Bourbon County ,21017,19,-,89,8,60,-,252,12,40,-,186,16,23,-,116,12,37,-,319,21,44,-,373,13,55,-,386,13,117,-,705,24,15,-,288,9,-,-,-,-,-,-,-,-,-,-,-,-
Boyd County ,21019,182,-,724,36,183,-,878,40,218,-,902,50,218,-,940,49,335,-,2032,85,321,-,1956,75,305,-,1924,86,292,-,2442,65,221,-,1428,33,-,-,-,-,-,-,-,-,-,-,-,-
Boyle County ,21021,76,-,236,37,65,-,200,27,91,-,314,23,74,-,292,11,113,-,637,27,92,-,527,24,89,-,534,28,135,-,929,46,85,-,483,29,-,-,-,-,-,-,-,-,-,-,-,-
Bracken County ,21023,9,-,26,8,14,-,104,7,14,-,72,2,23,-,140,1,44,-,262,19,55,-,381,17,39,-,277,13,16,-,118,8,14,-,82,*,-,-,-,-,-,-,-,-,-,-,-,-
Breathitt County ,21025,61,-,252,28,70,-,260,15,52,-,186,20,52,-,249,8,72,-,416,26,74,-,375,20,116,-,546,16,78,-,477,22,78,-,495,22,-,-,-,-,-,-,-,-,-,-,-,-
Breckinridge County ,21027,50,-,79,30,44,-,58,18,51,-,93,18,56,-,85,11,91,-,404,21,95,-,410,31,67,-,428,22,86,-,561,18,89,-,768,28,-,-,-,-,-,-,-,-,-,-,-,-
Bullitt County ,21029,251,-,424,58,197,-,367,34,236,-,373,39,148,-,332,42,276,-,945,40,302,-,1287,63,303,-,1387,41,329,-,1823,53,315,-,1767,67,-,-,-,-,-,-,-,-,-,-,-,-
Butler County ,21031,28,-,124,7,49,-,143,8,41,-,213,16,41,-,99,10,36,-,153,7,42,-,155,7,38,-,183,10,21,-,102,*,34,-,155,8,-,-,-,-,-,-,-,-,-,-,-,-
Caldwell County ,21033,25,-,53,5,10,-,20,2,18,-,73,16,18,-,74,6,9,-,54,*,16,-,44,*,13,-,67,*,30,-,168,10,36,-,236,13,-,-,-,-,-,-,-,-,-,-,-,-
Calloway County ,21035,68,-,179,20,51,-,148,16,63,-,157,24,63,-,207,21,34,-,164,10,38,-,194,9,34,-,182,11,50,-,310,*,85,-,474,19,-,-,-,-,-,-,-,-,-,-,-,-
Campbell County ,21037,111,-,507,22,116,-,593,41,123,-,631,28,118,-,547,42,220,-,2029,62,93,-,975,38,155,-,1193,33,171,-,1317,21,91,-,1044,15,-,-,-,-,-,-,-,-,-,-,-,-
Carlisle County ,21039,54,-,134,12,22,-,57,19,22,-,86,8,36,-,82,11,28,-,120,*,*,-,24,0,0,-,6,0,30,-,96,18,31,-,160,*,-,-,-,-,-,-,-,-,-,-,-,-
Carroll County ,21041,29,-,151,11,23,-,146,13,46,-,219,18,34,-,131,10,29,-,192,*,15,-,158,8,35,-,238,13,51,-,372,9,22,-,329,29,-,-,-,-,-,-,-,-,-,-,-,-
Carter County ,21043,72,-,331,17,52,-,329,19,63,-,367,21,45,-,309,16,120,-,721,49,134,-,775,30,152,-,775,49,103,-,573,13,127,-,922,24,-,-,-,-,-,-,-,-,-,-,-,-
Casey County ,21045,28,-,100,20,24,-,88,8,42,-,146,13,39,-,138,17,42,-,257,8,29,-,203,13,34,-,235,20,24,-,248,16,32,-,361,16,-,-,-,-,-,-,-,-,-,-,-,-
Christian County ,21047,181,-,358,35,153,-,312,41,236,-,551,54,351,-,892,86,323,-,1061,58,218,-,904,31,265,-,1077,67,249,-,1106,34,240,-,1260,50,-,-,-,-,-,-,-,-,-,-,-,-
Clark County ,21049,79,-,343,15,70,-,280,26,79,-,351,27,142,-,577,34,63,-,421,17,103,-,563,21,128,-,847,33,121,-,798,25,132,-,806,38,-,-,-,-,-,-,-,-,-,-,-,-
Clay County ,21051,30,-,193,18,56,-,286,30,82,-,279,27,54,-,248,21,77,-,463,25,74,-,354,23,73,-,383,22,39,-,463,14,43,-,453,16,-,-,-,-,-,-,-,-,-,-,-,-
Clinton County ,21053,24,-,95,10,42,-,115,11,27,-,110,9,30,-,70,6,30,-,179,13,6,-,65,*,18,-,164,6,12,-,223,7,8,-,160,10,-,-,-,-,-,-,-,-,-,-,-,-
Crittenden County ,21055,23,-,72,5,27,-,74,6,14,-,90,4,30,-,108,4,68,-,316,16,48,-,268,16,28,-,151,*,33,-,151,*,30,-,169,*,-,-,-,-,-,-,-,-,-,-,-,-
