County,FIPS_Code,2010_Emotional,2011_Emotional,2012_Emotional,2013_Emotional,2014_Emotional,2015_Emotional,2016_Emotional,2017_Emotional,2018_Emotional,2019_Emotional,2020_Emotional,2021_Emotional
Adair County ,21001,-,-,-,-,-,-,-,-,-,-,-,-
Allen County ,21003,-,-,-,-,-,-,-,-,-,-,-,-
Anderson County ,21005,-,-,-,-,-,-,-,-,-,-,-,-
Ballard County ,21007,-,-,-,-,-,-,-,-,-,-,-,-
Barren County ,21009,-,-,-,-,-,-,-,-,-,-,-,-
Bath County ,21011,-,-,-,-,-,-,-,-,-,-,-,-
Bell County ,21013,-,-,-,-,-,-,-,-,-,-,-,-
Boone County ,21015,-,-,-,-,-,-,-,-,-,-,-,-
Bourbon County ,21017,-,-,-,-,-,-,-,-,-,-,-,-
Boyd County ,21019,-,-,-,-,-,-,-,-,-,-,-,-
Boyle County ,21021,-,-,-,-,-,-,-,-,-,-,-,-
Bracken County ,21023,-,-,-,-,-,-,-,-,-,-,-,-
Breathitt County ,21025,-,-,-,-,-,-,-,-,-,-,-,-
Breckinridge County ,21027,-,-,-,-,-,-,-,-,-,-,-,-
Bullitt County ,21029,-,-,-,-,-,-,-,-,-,-,-,-
Butler County ,21031,-,-,-,-,-,-,-,-,-,-,-,-
Caldwell County ,21033,-,-,-,-,-,-,-,-,-,-,-,-
Calloway County ,21035,-,-,-,-,-,-,-,-,-,-,-,-
Campbell County ,21037,-,-,-,-,-,-,-,-,-,-,-,-
Carlisle County ,21039,-,-,-,-,-,-,-,-,-,-,-,-
Carroll County ,21041,-,-,-,-,-,-,-,-,-,-,-,-
Carter County ,21043,-,-,-,-,-,-,-,-,-,-,-,-
Casey County ,21045,-,-,-,-,-,-,-,-,-,-,-,-
Christian County ,21047,-,-,-,-,-,-,-,-,-,-,-,-
Clark County ,21049,-,-,-,-,-,-,-,-,-,-,-,-
Clay County ,21051,-,-,-,-,-,-,-,-,-,-,-,-
Clinton County ,21053,-,-,-,-,-,-,-,-,-,-,-,-
Crittenden County ,21055,-,-,-,-,-,-,-,-,-,-,-,-
Cumberland County ,21057,-,-,-,-,-,-,-,-,-,-,-,-
Daviess County ,21059,-,-,-,-,-,-,-,-,-,-,-,-
Edmonson County ,21061,-,-,-,-,-,-,-,-,-,-,-,-
Elliott County ,21063,-,-,-,-,-,-,-,-,-,-,-,-
Estill County ,21065,-,-,-,-,-,-,-,-,-,-,-,-
Fayette County ,21067,-,-,-,-,-,-,-,-,-,-,-,-
Fleming County ,21069,-,-,-,-,-,-,-,-,-,-,-,-
Floyd County ,21071,-,-,-,-,-,-,-,-,-,-,-,-
Franklin County ,21073,-,-,-,-,-,-,-,-,-,-,-,-
Fulton County ,21075,-,-,-,-,-,-,-,-,-,-,-,-
Gallatin County ,21077,-,-,-,-,-,-,-,-,-,-,-,-
Garrard County ,21079,-,-,-,-,-,-,-,-,-,-,-,-
Grant County ,21081,-,-,-,-,-,-,-,-,-,-,-,-
Graves County ,21083,-,-,-,-,-,-,-,-,-,-,-,-
Grayson County ,21085,-,-,-,-,-,-,-,-,-,-,-,-
Green County ,21087,-,-,-,-,-,-,-,-,-,-,-,-
Greenup County ,21089,-,-,-,-,-,-,-,-,-,-,-,-
Hancock County ,21091,-,-,-,-,-,-,-,-,-,-,-,-
Hardin County ,21093,-,-,-,-,-,-,-,-,-,-,-,-
Harlan County ,21095,-,-,-,-,-,-,-,-,-,-,-,-
Harrison County ,21097,-,-,-,-,-,-,-,-,-,-,-,-
Hart County ,21099,-,-,-,-,-,-,-,-,-,-,-,-
Henderson County ,21101,-,-,-,-,-,-,-,-,-,-,-,-
Henry County ,21103,-,-,-,-,-,-,-,-,-,-,-,-
Hickman County ,21105,-,-,-,-,-,-,-,-,-,-,-,-
Hopkins County ,21107,-,-,-,-,-,-,-,-,-,-,-,-
Jackson County ,21109,-,-,-,-,-,-,-,-,-,-,-,-
Jefferson County ,21111,-,-,-,-,-,-,-,-,-,-,-,-
Jessamine County ,21113,-,-,-,-,-,-,-,-,-,-,-,-
Johnson County ,21115,-,-,-,-,-,-,-,-,-,-,-,-
Kenton County ,21117,-,-,-,-,-,-,-,-,-,-,-,-
