County,FIPS_Code,2010_Neglect,2011_Neglect,2012_Neglect,2013_Neglect,2014_Neglect,2015_Neglect,2016_Neglect,2017_Neglect,2018_Neglect,2019_Neglect,2020_Neglect,2021_Neglect
Adair County ,21001,118,123,136,84,222,257,338,656,498,-,-,-
Allen County ,21003,198,223,219,199,230,195,285,334,352,-,-,-
Anderson County ,21005,138,116,148,135,368,354,428,499,424,-,-,-
Ballard County ,21007,18,0,0,21,-,0,0,0,-,-,-,-
Barren County ,21009,750,773,759,902,1326,1369,1327,2475,1054,-,-,-
Bath County ,21011,150,219,191,240,236,265,417,319,339,-,-,-
Bell County ,21013,307,327,287,334,548,621,552,839,626,-,-,-
Boone County ,21015,569,548,592,505,1081,1154,1582,2301,1634,-,-,-
Bourbon County ,21017,89,252,186,116,319,373,386,705,288,-,-,-
Boyd County ,21019,724,878,902,940,2032,1956,1924,2442,1428,-,-,-
Boyle County ,21021,236,200,314,292,637,527,534,929,483,-,-,-
Bracken County ,21023,26,104,72,140,262,381,277,118,82,-,-,-
Breathitt County ,21025,252,260,186,249,416,375,546,477,495,-,-,-
Breckinridge County ,21027,79,58,93,85,404,410,428,561,768,-,-,-
Bullitt County ,21029,424,367,373,332,945,1287,1387,1823,1767,-,-,-
Butler County ,21031,124,143,213,99,153,155,183,102,155,-,-,-
Caldwell County ,21033,53,20,73,74,54,44,67,168,236,-,-,-
Calloway County ,21035,179,148,157,207,164,194,182,310,474,-,-,-
Campbell County ,21037,507,593,631,547,2029,975,1193,1317,1044,-,-,-
Carlisle County ,21039,134,57,86,82,120,24,6,96,160,-,-,-
Carroll County ,21041,151,146,219,131,192,158,238,372,329,-,-,-
Carter County ,21043,331,329,367,309,721,775,775,573,922,-,-,-
Casey County ,21045,100,88,146,138,257,203,235,248,361,-,-,-
Christian County ,21047,358,312,551,892,1061,904,1077,1106,1260,-,-,-
Clark County ,21049,343,280,351,577,421,563,847,798,806,-,-,-
Clay County ,21051,193,286,279,248,463,354,383,463,453,-,-,-
Clinton County ,21053,95,115,110,70,179,65,164,223,160,-,-,-
Crittenden County ,21055,72,74,90,108,316,268,151,151,169,-,-,-
Cumberland County ,21057,4,2,2,30,190,198,136,243,324,-,-,-
Daviess County ,21059,"1,182",1316,1295,1372,1325,1316,1481,1397,1787,-,-,-
Edmonson County ,21061,114,80,106,116,278,137,118,121,165,-,-,-
Elliott County ,21063,99,86,131,104,146,110,70,197,153,-,-,-
Estill County ,21065,130,196,263,220,270,366,418,271,301,-,-,-
Fayette County ,21067,"2,270",2360,2410,2652,4872,5142,5182,6119,3980,-,-,-
Fleming County ,21069,107,111,225,204,364,303,236,462,596,-,-,-
Floyd County ,21071,737,529,649,908,944,864,967,806,809,-,-,-
Franklin County ,21073,281,276,171,216,964,755,776,1895,1420,-,-,-
Fulton County ,21075,16,32,124,135,37,-,0,0,-,-,-,-
Gallatin County ,21077,91,120,109,142,283,335,240,340,270,-,-,-
Garrard County ,21079,186,164,145,182,492,555,672,389,270,-,-,-
Grant County ,21081,207,215,314,209,607,574,578,836,711,-,-,-
Graves County ,21083,140,225,267,308,859,831,476,503,519,-,-,-
Grayson County ,21085,166,170,158,131,190,381,488,513,720,-,-,-
Green County ,21087,79,97,189,102,186,147,139,435,115,-,-,-
Greenup County ,21089,350,364,461,427,658,605,561,624,640,-,-,-
Hancock County ,21091,67,66,36,60,118,96,88,81,132,-,-,-
Hardin County ,21093,882,881,811,804,2143,2780,3274,4646,2881,-,-,-
Harlan County ,21095,249,254,325,276,549,508,474,656,682,-,-,-
Harrison County ,21097,124,142,241,94,331,273,438,483,379,-,-,-
Hart County ,21099,168,134,166,167,342,218,208,260,438,-,-,-
Henderson County ,21101,494,417,448,451,575,565,554,649,740,-,-,-
Henry County ,21103,109,74,137,126,347,288,314,147,253,-,-,-
Hickman County ,21105,0,0,0,0,232,254,226,250,250,-,-,-
Hopkins County ,21107,313,403,313,386,526,687,627,697,790,-,-,-
Jackson County ,21109,148,129,120,133,308,216,300,372,322,-,-,-
Jefferson County ,21111,"5,224",5084,5590,6447,11426,9644,8590,8757,10102,-,-,-
Jessamine County ,21113,422,332,513,503,243,475,886,320,921,-,-,-
Johnson County ,21115,721,630,654,725,1801,1906,1835,2270,658,-,-,-
Kenton County ,21117,"1,142",1518,2045,1675,3830,3492,4303,6145,3676,-,-,-
Knott County ,21119,365,282,359,260,421,551,527,382,409,-,-,-
Knox County ,21121,325,398,347,458,680,597,706,630,1045,-,-,-
Larue County ,21123,126,90,67,72,176,286,215,348,633,-,-,-
Laurel County ,21125,771,854,912,879,1849,1886,2092,3948,1536,-,-,-
Lawrence County ,21127,228,211,273,216,181,324,378,369,352,-,-,-
Lee County ,21129,102,84,90,81,127,139,141,144,114,-,-,-
