County,FIPS_Code,2010_Physical,2011_Physical,2012_Physical,2013_Physical,2014_Physical,2015_Physical,2016_Physical,2017_Physical,2018_Physical,2019_Physical,2020_Physical,2021_Physical
Adair County,21001,41,27,75,32,55,40,62,147,123,-,-,-
Allen County,21003,45,48,67,65,66,53,52,57,79,-,-,-
Anderson County,21005,67,59,67,48,88,71,70,74,88,-,-,-
Ballard County,21007,3,0,0,5,*,0,0,0,*,-,-,-
Barren County,21009,175,217,237,257,310,334,300,493,185,-,-,-
Bath County,21011,35,41,37,45,23,47,73,37,29,-,-,-
Bell County,21013,61,79,85,117,139,116,80,164,53,-,-,-
Boone County,21015,144,149,226,138,184,135,256,308,110,-,-,-
Bourbon County,21017,19,60,40,23,37,44,55,117,15,-,-,-
Boyd County,21019,182,183,218,218,335,321,305,292,221,-,-,-
Boyle County,21021,76,65,91,74,113,92,89,135,85,-,-,-
Bracken County,21023,9,14,14,23,44,55,39,16,14,-,-,-
Breathitt County,21025,61,70,52,52,72,74,116,78,78,-,-,-
Breckinridge County,21027,50,44,51,56,91,95,67,86,89,-,-,-
Bullitt County,21029,251,197,236,148,276,302,303,329,315,-,-,-
Butler County,21031,28,49,41,41,36,42,38,21,34,-,-,-
Caldwell County,21033,25,10,18,18,9,16,13,30,36,-,-,-
Calloway County,21035,68,51,63,63,34,38,34,50,85,-,-,-
Campbell County,21037,111,116,123,118,220,93,155,171,91,-,-,-
Carlisle County,21039,54,22,22,36,28,*,0,30,31,-,-,-
Carroll County,21041,29,23,46,34,29,15,35,51,22,-,-,-
Carter County,21043,72,52,63,45,120,134,152,103,127,-,-,-
Casey County,21045,28,24,42,39,42,29,34,24,32,-,-,-
Christian County,21047,181,153,236,351,323,218,265,249,240,-,-,-
Clark County,21049,79,70,79,142,63,103,128,121,132,-,-,-
Clay County,21051,30,56,82,54,77,74,73,39,43,-,-,-
Clinton County,21053,24,42,27,30,30,6,18,12,8,-,-,-
Crittenden County,21055,23,27,14,30,68,48,28,33,30,-,-,-
Cumberland County,21057,1,0,4,8,50,83,78,74,41,-,-,-
Daviess County,21059,315,370,360,379,382,375,348,377,390,-,-,-
Edmonson County,21061,35,20,23,37,63,35,29,25,33,-,-,-
Elliott County,21063,18,5,26,21,13,24,*,39,12,-,-,-
Estill County,21065,31,37,58,52,32,53,79,43,36,-,-,-
Fayette County,21067,571,599,639,749,943,987,941,989,808,-,-,-
Fleming County,21069,22,28,53,46,51,56,41,53,61,-,-,-
Floyd County,21071,137,107,138,181,157,129,126,118,110,-,-,-
Franklin County,21073,166,120,108,109,215,134,178,308,248,-,-,-
