County,FIPS_Code,2010_Sexual,2011_Sexual,2012_Sexual,2013_Sexual,2014_Sexual,2015_Sexual,2016_Sexual,2017_Sexual,2018_Sexual,2019_Sexual,2020_Sexual,2021_Sexual
Adair County ,21001,16,11,35,14,13,18,24,23,26,-,-,-
Allen County ,21003,20,22,16,13,17,15,19,18,15,-,-,-
Anderson County ,21005,19,18,16,18,20,17,25,19,15,-,-,-
Ballard County ,21007,3,0,0,4,0,0,0,0,0,-,-,-
Barren County ,21009,59,60,53,79,76,95,89,140,50,-,-,-
Bath County ,21011,10,13,9,12,13,14,21,9,15,-,-,-
Bell County ,21013,19,37,19,33,38,48,32,24,16,-,-,-
Boone County ,21015,57,45,64,46,44,42,39,77,34,-,-,-
Bourbon County ,21017,8,12,16,12,21,13,13,24,9,-,-,-
Boyd County ,21019,36,40,50,49,85,75,86,65,33,-,-,-
Boyle County ,21021,37,27,23,11,27,24,28,46,29,-,-,-
Bracken County ,21023,8,7,2,1,19,17,13,8,*,-,-,-
Breathitt County ,21025,28,15,20,8,26,20,16,22,22,-,-,-
Breckinridge County ,21027,30,18,18,11,21,31,22,18,28,-,-,-
Bullitt County ,21029,58,34,39,42,40,63,41,53,67,-,-,-
Butler County ,21031,7,8,16,10,7,7,10,*,8,-,-,-
Caldwell County ,21033,5,2,16,6,*,*,*,10,13,-,-,-
Calloway County ,21035,20,16,24,21,10,9,11,*,19,-,-,-
Campbell County ,21037,22,41,28,42,62,38,33,21,15,-,-,-
Carlisle County ,21039,12,19,8,11,*,0,0,18,*,-,-,-
Carroll County ,21041,11,13,18,10,*,8,13,9,29,-,-,-
Carter County ,21043,17,19,21,16,49,30,49,13,24,-,-,-
Casey County ,21045,20,8,13,17,8,13,20,16,16,-,-,-
Christian County ,21047,35,41,54,86,58,31,67,34,50,-,-,-
Clark County ,21049,15,26,27,34,17,21,33,25,38,-,-,-
Clay County ,21051,18,30,27,21,25,23,22,14,16,-,-,-
Clinton County ,21053,10,11,9,6,13,*,6,7,10,-,-,-
Crittenden County ,21055,5,6,4,4,16,16,*,*,*,-,-,-
Cumberland County ,21057,0,0,0,7,6,6,*,15,12,-,-,-
Daviess County ,21059,49,107,80,102,105,83,72,69,104,-,-,-
