County,FIPS_Code,2010_Emotional,2011_Emotional,2012_Emotional,2013_Emotional,2014_Emotional,2015_Emotional,2016_Emotional,2017_Emotional,2018_Emotional,2019_Emotional,2020_Emotional,2021_Emotional
Adams County ,28001,4,8,1,4,7,4,2,-,-,-,-,-
Alcorn County ,28003,2,7,4,17,10,9,15,-,-,-,-,-
Amite County ,28005,1,0,1,2,5,1,1,-,-,-,-,-
Attala County ,28007,0,0,0,0,3,2,1,-,-,-,-,-
Benton County ,28009,1,1,0,2,1,1,0,-,-,-,-,-
Bolivar County ,28011,3,3,1,4,6,3,1,-,-,-,-,-
Calhoun County ,28013,4,5,1,4,11,5,0,-,-,-,-,-
Carroll County ,28015,1,1,0,5,0,2,0,-,-,-,-,-
Chickasaw County ,28017,7,7,3,4,5,4,2,-,-,-,-,-
Choctaw County ,28019,2,1,0,1,2,1,0,-,-,-,-,-
Claiborne County ,28021,0,1,1,1,0,1,2,-,-,-,-,-
Clarke County ,28023,1,5,1,1,4,1,1,-,-,-,-,-
Clay County ,28025,6,1,2,3,6,1,2,-,-,-,-,-
Coahoma County ,28027,3,2,0,3,6,5,2,-,-,-,-,-
Copiah County ,28029,8,1,2,7,6,7,3,-,-,-,-,-
Covington County ,28031,0,0,0,3,1,3,1,-,-,-,-,-
DeSoto County ,28033,9,8,14,38,33,39,18,-,-,-,-,-
Forrest County ,28035,9,5,4,10,8,16,5,-,-,-,-,-
Franklin County ,28037,1,0,0,2,2,1,0,-,-,-,-,-
George County ,28039,5,3,3,3,6,4,4,-,-,-,-,-
Greene County ,28041,2,1,0,1,2,2,4,-,-,-,-,-
Grenada County ,28043,2,1,0,5,4,6,1,-,-,-,-,-
Hancock County ,28045,74,32,12,22,34,27,8,-,-,-,-,-
Harrison County ,28047,27,30,15,47,52,52,23,-,-,-,-,-
Hinds County ,28049,9,3,8,40,36,43,10,-,-,-,-,-
Holmes County ,28051,0,0,0,3,2,5,2,-,-,-,-,-
Humphreys County ,28053,0,0,2,2,2,1,2,-,-,-,-,-
Issaquena County ,28055,0,0,0,0,0,0,0,-,-,-,-,-
Itawamba County ,28057,2,1,5,12,14,5,9,-,-,-,-,-
Jackson County ,28059,22,22,38,37,57,35,12,-,-,-,-,-
Jasper County ,28061,2,3,1,2,3,3,3,-,-,-,-,-
Jefferson County ,28063,2,0,1,0,1,1,0,-,-,-,-,-
Jefferson Davis County ,28065,0,0,0,0,1,0,0,-,-,-,-,-
Jones County ,28067,10,7,6,18,13,11,5,-,-,-,-,-
Kemper County ,28069,0,0,2,4,3,2,0,-,-,-,-,-
Lafayette County ,28071,9,13,7,14,16,9,5,-,-,-,-,-
Lamar County ,28073,3,0,1,4,9,11,4,-,-,-,-,-
Lauderdale County ,28075,12,6,5,21,20,14,5,-,-,-,-,-
Lawrence County ,28077,1,0,1,3,0,2,0,-,-,-,-,-
Leake County ,28079,0,0,0,3,1,0,0,-,-,-,-,-
Lee County ,28081,13,4,13,23,26,28,12,-,-,-,-,-
Leflore County ,28083,1,0,2,3,1,5,1,-,-,-,-,-
Lincoln County ,28085,11,1,6,11,10,7,0,-,-,-,-,-
Lowndes County ,28087,1,4,1,11,11,12,3,-,-,-,-,-
Madison County ,28089,1,2,1,3,4,8,0,-,-,-,-,-
Marion County ,28091,0,0,2,4,2,1,10,-,-,-,-,-
Marshall County ,28093,3,2,1,9,6,7,8,-,-,-,-,-
Monroe County ,28095,9,10,5,17,7,5,5,-,-,-,-,-
Montgomery County ,28097,2,1,0,3,4,3,0,-,-,-,-,-
Neshoba County ,28099,1,0,1,3,7,0,1,-,-,-,-,-
Newton County ,28101,1,0,0,0,4,4,0,-,-,-,-,-
Noxubee County ,28103,2,0,2,0,0,2,2,-,-,-,-,-
Oktibbeha County ,28105,5,6,4,9,9,7,7,-,-,-,-,-
Panola County ,28107,0,2,1,7,9,9,0,-,-,-,-,-
Pearl River County ,28109,7,5,5,9,16,13,1,-,-,-,-,-
Perry County ,28111,0,0,1,3,0,2,0,-,-,-,-,-
Pike County ,28113,4,6,1,4,13,9,6,-,-,-,-,-
Pontotoc County ,28115,4,6,11,12,18,19,14,-,-,-,-,-
Prentiss County ,28117,3,3,3,8,11,5,4,-,-,-,-,-
Quitman County ,28119,1,0,2,3,0,0,0,-,-,-,-,-
Rankin County ,28121,8,10,8,31,42,32,16,-,-,-,-,-
Scott County ,28123,2,0,0,5,6,3,1,-,-,-,-,-
Sharkey County ,28125,1,0,0,0,0,0,1,-,-,-,-,-
Simpson County ,28127,3,4,6,16,12,14,4,-,-,-,-,-
Smith County ,28129,0,0,0,0,0,3,0,-,-,-,-,-
Stone County ,28131,2,1,1,4,6,6,1,-,-,-,-,-
Sunflower County ,28133,3,0,2,7,1,2,2,-,-,-,-,-
Tallahatchie County ,28135,1,0,2,1,2,0,0,-,-,-,-,-
Tate County ,28137,0,2,2,9,10,3,0,-,-,-,-,-
Tippah County ,28139,4,2,1,10,8,8,8,-,-,-,-,-
Tishomingo County ,28141,3,3,4,8,4,6,4,-,-,-,-,-
Tunica County ,28143,0,1,0,0,3,1,1,-,-,-,-,-
Union County ,28145,4,8,12,10,16,8,6,-,-,-,-,-
Walthall County ,28147,3,5,1,5,21,10,2,-,-,-,-,-
Warren County ,28149,2,3,5,1,2,5,1,-,-,-,-,-
Washington County ,28151,7,5,3,16,13,10,7,-,-,-,-,-
Wayne County ,28153,4,8,4,6,3,2,4,-,-,-,-,-
Webster County ,28155,1,0,0,0,6,1,1,-,-,-,-,-
Wilkinson County ,28157,1,1,1,0,1,1,0,-,-,-,-,-
