County,FIPS_Code,2010_Neglect,2011_Neglect,2012_Neglect,2013_Neglect,2014_Neglect,2015_Neglect,2016_Neglect,2017_Neglect,2018_Neglect,2019_Neglect,2020_Neglect,2021_Neglect
Adams County ,28001,36,41,41,121,93,120,52,-,-,-,-,-
Alcorn County ,28003,52,42,56,209,203,228,93,-,-,-,-,-
Amite County ,28005,14,8,8,49,44,56,14,-,-,-,-,-
Attala County ,28007,5,2,3,85,66,111,20,-,-,-,-,-
Benton County ,28009,11,5,4,30,53,37,14,-,-,-,-,-
Bolivar County ,28011,30,11,18,129,120,129,31,-,-,-,-,-
Calhoun County ,28013,27,18,23,62,93,87,37,-,-,-,-,-
Carroll County ,28015,10,5,8,33,18,27,5,-,-,-,-,-
Chickasaw County ,28017,52,43,31,73,93,85,27,-,-,-,-,-
Choctaw County ,28019,5,6,13,25,24,37,10,-,-,-,-,-
Claiborne County ,28021,6,0,7,21,24,19,12,-,-,-,-,-
Clarke County ,28023,8,17,10,64,63,64,18,-,-,-,-,-
Clay County ,28025,19,11,6,58,61,61,23,-,-,-,-,-
Coahoma County ,28027,18,16,23,136,140,141,20,-,-,-,-,-
Copiah County ,28029,21,23,26,112,98,108,36,-,-,-,-,-
Covington County ,28031,7,3,7,61,54,86,16,-,-,-,-,-
DeSoto County ,28033,122,108,131,494,495,548,159,-,-,-,-,-
Forrest County ,28035,40,32,37,267,178,393,121,-,-,-,-,-
Franklin County ,28037,4,3,6,20,23,31,21,-,-,-,-,-
George County ,28039,17,21,17,110,132,127,48,-,-,-,-,-
Greene County ,28041,4,3,9,45,41,47,14,-,-,-,-,-
Grenada County ,28043,9,6,30,102,131,131,49,-,-,-,-,-
Hancock County ,28045,31,44,77,299,364,320,76,-,-,-,-,-
Harrison County ,28047,272,299,349,984,"1,047",1160,394,-,-,-,-,-
Hinds County ,28049,134,103,153,865,879,1168,213,-,-,-,-,-
Holmes County ,28051,13,12,7,63,51,64,13,-,-,-,-,-
Humphreys County ,28053,6,5,15,32,43,46,14,-,-,-,-,-
Issaquena County ,28055,2,0,0,1,1,2,1,-,-,-,-,-
Itawamba County ,28057,50,53,44,150,153,163,80,-,-,-,-,-
Jackson County ,28059,205,158,202,577,670,758,186,-,-,-,-,-
Jasper County ,28061,9,17,12,56,60,51,5,-,-,-,-,-
Jefferson County ,28063,7,5,5,26,32,31,10,-,-,-,-,-
Jefferson Davis County ,28065,5,4,8,27,27,33,5,-,-,-,-,-
Jones County ,28067,47,65,52,324,352,413,64,-,-,-,-,-
Kemper County ,28069,3,2,9,31,34,27,6,-,-,-,-,-
Lafayette County ,28071,31,28,34,118,123,131,34,-,-,-,-,-
Lamar County ,28073,23,32,39,173,198,233,60,-,-,-,-,-
Lauderdale County ,28075,118,108,82,416,503,429,84,-,-,-,-,-
Lawrence County ,28077,6,7,10,44,46,52,13,-,-,-,-,-
Leake County ,28079,8,0,10,67,78,68,5,-,-,-,-,-
Lee County ,28081,108,82,104,412,442,510,169,-,-,-,-,-
Leflore County ,28083,17,19,7,82,86,132,18,-,-,-,-,-
Lincoln County ,28085,12,28,31,181,166,221,62,-,-,-,-,-
Lowndes County ,28087,26,23,32,178,203,205,62,-,-,-,-,-
Madison County ,28089,21,15,16,123,107,155,28,-,-,-,-,-
Marion County ,28091,16,25,40,117,108,190,107,-,-,-,-,-
Marshall County ,28093,33,29,26,120,162,167,34,-,-,-,-,-
Monroe County ,28095,112,62,64,240,208,257,62,-,-,-,-,-
Montgomery County ,28097,9,6,9,49,28,32,8,-,-,-,-,-
Neshoba County ,28099,42,44,39,143,147,172,42,-,-,-,-,-
Newton County ,28101,8,5,8,60,81,57,10,-,-,-,-,-
Noxubee County ,28103,4,5,5,28,28,26,10,-,-,-,-,-
Oktibbeha County ,28105,16,39,17,70,62,83,35,-,-,-,-,-
Panola County ,28107,38,21,23,160,145,153,30,-,-,-,-,-
Pearl River County ,28109,61,59,46,237,216,273,87,-,-,-,-,-
Perry County ,28111,8,12,17,41,60,67,13,-,-,-,-,-
Pike County ,28113,69,71,42,160,221,290,155,-,-,-,-,-
Pontotoc County ,28115,43,52,50,176,192,228,121,-,-,-,-,-
Prentiss County ,28117,15,22,27,133,117,151,31,-,-,-,-,-
Quitman County ,28119,4,7,12,22,26,30,1,-,-,-,-,-
Rankin County ,28121,173,137,199,600,572,698,299,-,-,-,-,-
Scott County ,28123,20,22,39,103,99,108,18,-,-,-,-,-
Sharkey County ,28125,2,3,3,11,18,15,3,-,-,-,-,-
Simpson County ,28127,8,14,15,115,148,149,34,-,-,-,-,-
Smith County ,28129,8,5,2,26,37,44,9,-,-,-,-,-
Stone County ,28131,25,23,42,84,89,80,24,-,-,-,-,-
Sunflower County ,28133,10,14,35,120,110,103,27,-,-,-,-,-
Tallahatchie County ,28135,12,7,13,32,39,40,4,-,-,-,-,-
Tate County ,28137,10,20,28,99,83,75,32,-,-,-,-,-
Tippah County ,28139,53,55,67,132,157,139,88,-,-,-,-,-
Tishomingo County ,28141,22,22,28,99,75,101,41,-,-,-,-,-
Tunica County ,28143,2,9,14,34,36,41,13,-,-,-,-,-
Union County ,28145,51,48,38,183,216,216,88,-,-,-,-,-
Walthall County ,28147,18,24,11,44,60,62,28,-,-,-,-,-
Warren County ,28149,40,32,23,135,140,172,49,-,-,-,-,-
Washington County ,28151,124,158,77,283,279,292,111,-,-,-,-,-
Wayne County ,28153,28,37,26,107,121,134,28,-,-,-,-,-
Webster County ,28155,2,1,6,39,47,51,12,-,-,-,-,-
Wilkinson County ,28157,4,5,4,29,25,31,5,-,-,-,-,-
Winston County ,28159,18,10,9,42,70,77,28,-,-,-,-,-
Yalobusha County ,28161,6,3,15,80,72,104,40,-,-,-,-,-
Yazoo County ,28163,14,16,17,96,88,110,16,-,-,-,-,-
