County,FIPS_Code,2010_Physical,2011_Physical,2012_Physical,2013_Physical,2014_Physical,2015_Physical,2016_Physical,2017_Physical,2018_Physical,2019_Physical,2020_Physical,2021_Physical
Adams County,28001,11,10,8,62,52,56,19,-,-,-,-,-
Alcorn County,28003,29,15,15,95,109,97,25,-,-,-,-,-
Amite County,28005,9,8,4,23,14,18,5,-,-,-,-,-
Attala County,28007,3,4,3,39,42,47,4,-,-,-,-,-
Benton County,28009,8,2,6,16,24,22,4,-,-,-,-,-
Bolivar County,28011,7,12,18,86,83,96,13,-,-,-,-,-
Calhoun County,28013,13,5,10,34,40,31,3,-,-,-,-,-
Carroll County,28015,7,3,4,27,16,24,5,-,-,-,-,-
Chickasaw County,28017,17,7,6,33,43,45,10,-,-,-,-,-
Choctaw County,28019,3,4,5,19,27,14,4,-,-,-,-,-
Claiborne County,28021,6,4,6,10,13,11,6,-,-,-,-,-
Clarke County,28023,7,6,3,36,33,33,7,-,-,-,-,-
Clay County,28025,16,13,13,54,42,53,8,-,-,-,-,-
Coahoma County,28027,13,9,11,50,62,63,10,-,-,-,-,-
Copiah County,28029,16,10,10,65,56,68,8,-,-,-,-,-
Covington County,28031,2,4,4,37,49,39,1,-,-,-,-,-
DeSoto County,28033,63,56,85,380,350,336,67,-,-,-,-,-
Forrest County,28035,41,25,20,185,112,243,32,-,-,-,-,-
Franklin County,28037,5,4,2,21,22,16,2,-,-,-,-,-
George County,28039,14,25,4,68,67,50,20,-,-,-,-,-
Greene County,28041,2,11,0,17,24,24,8,-,-,-,-,-
Grenada County,28043,13,10,15,61,65,76,12,-,-,-,-,-
Hancock County,28045,30,26,25,135,134,128,32,-,-,-,-,-
Harrison County,28047,153,142,131,540,521,509,130,-,-,-,-,-
Hinds County,28049,98,80,92,633,648,600,109,-,-,-,-,-
Holmes County,28051,7,5,4,51,39,42,6,-,-,-,-,-
Humphreys County,28053,12,7,9,18,23,10,11,-,-,-,-,-
Issaquena County,28055,0,1,1,1,2,1,0,-,-,-,-,-
Itawamba County,28057,13,13,15,55,64,56,16,-,-,-,-,-
Jackson County,28059,109,97,135,347,358,360,62,-,-,-,-,-
Jasper County,28061,13,6,7,34,24,31,3,-,-,-,-,-
Jefferson County,28063,6,0,0,13,8,10,6,-,-,-,-,-
Jefferson Davis County,28065,4,5,2,17,16,17,6,-,-,-,-,-
Jones County,28067,20,29,24,169,163,178,32,-,-,-,-,-
Kemper County,28069,2,2,4,13,15,11,1,-,-,-,-,-
Lafayette County,28071,20,16,17,56,67,73,13,-,-,-,-,-
Lamar County,28073,23,17,36,129,108,115,29,-,-,-,-,-
Lauderdale County,28075,59,36,25,179,226,199,26,-,-,-,-,-
Lawrence County,28077,8,2,2,21,25,27,1,-,-,-,-,-
Leake County,28079,7,6,3,42,32,42,1,-,-,-,-,-
Lee County,28081,60,52,56,259,290,266,57,-,-,-,-,-
Leflore County,28083,12,9,7,58,50,55,10,-,-,-,-,-
Lincoln County,28085,8,14,10,106,95,87,10,-,-,-,-,-
Lowndes County,28087,16,21,25,102,111,113,20,-,-,-,-,-
Madison County,28089,15,9,9,109,107,142,8,-,-,-,-,-
Marion County,28091,12,14,10,51,51,56,24,-,-,-,-,-
Marshall County,28093,21,8,9,74,73,79,11,-,-,-,-,-
Monroe County,28095,28,24,23,91,81,89,15,-,-,-,-,-
Montgomery County,28097,4,11,11,26,23,16,5,-,-,-,-,-
Neshoba County,28099,25,13,26,61,68,68,13,-,-,-,-,-
Newton County,28101,7,9,6,42,25,34,6,-,-,-,-,-
Noxubee County,28103,3,3,3,15,13,20,7,-,-,-,-,-
Oktibbeha County,28105,16,15,16,67,62,52,14,-,-,-,-,-
Panola County,28107,19,8,6,104,88,91,9,-,-,-,-,-
