County,FIPS_Code,2010_Sexual,2011_Sexual,2012_Sexual,2013_Sexual,2014_Sexual,2015_Sexual,2016_Sexual,2017_Sexual,2018_Sexual,2019_Sexual,2020_Sexual,2021_Sexual
Adams County ,28001,9,5,5,30,32,24,4,-,-,-,-,-
Alcorn County ,28003,21,22,19,67,64,50,12,-,-,-,-,-
Amite County ,28005,4,3,2,8,7,11,3,-,-,-,-,-
Attala County ,28007,3,3,2,15,26,26,8,-,-,-,-,-
Benton County ,28009,5,3,2,15,10,12,4,-,-,-,-,-
Bolivar County ,28011,19,28,18,55,43,34,11,-,-,-,-,-
Calhoun County ,28013,9,8,4,20,13,13,3,-,-,-,-,-
Carroll County ,28015,6,4,4,11,9,4,1,-,-,-,-,-
Chickasaw County ,28017,11,9,8,23,23,24,9,-,-,-,-,-
Choctaw County ,28019,1,4,2,7,12,10,2,-,-,-,-,-
Claiborne County ,28021,0,0,0,7,9,7,0,-,-,-,-,-
Clarke County ,28023,6,4,7,28,25,19,5,-,-,-,-,-
Clay County ,28025,2,4,2,20,15,11,3,-,-,-,-,-
Coahoma County ,28027,10,8,7,53,41,28,9,-,-,-,-,-
Copiah County ,28029,17,9,20,50,27,31,12,-,-,-,-,-
Covington County ,28031,3,1,4,27,19,23,1,-,-,-,-,-
DeSoto County ,28033,37,35,55,174,176,130,53,-,-,-,-,-
Forrest County ,28035,20,13,12,102,65,98,32,-,-,-,-,-
Franklin County ,28037,4,3,5,8,10,6,2,-,-,-,-,-
George County ,28039,11,13,13,43,28,29,13,-,-,-,-,-
Greene County ,28041,2,1,3,15,7,5,3,-,-,-,-,-
Grenada County ,28043,9,4,17,36,28,22,7,-,-,-,-,-
Hancock County ,28045,18,10,14,97,75,37,8,-,-,-,-,-
Harrison County ,28047,45,53,62,232,237,191,44,-,-,-,-,-
Hinds County ,28049,144,120,124,337,354,269,93,-,-,-,-,-
Holmes County ,28051,8,3,2,31,16,23,5,-,-,-,-,-
Humphreys County ,28053,10,1,4,17,12,13,1,-,-,-,-,-
Issaquena County ,28055,0,1,1,1,0,0,0,-,-,-,-,-
Itawamba County ,28057,11,10,7,47,39,27,12,-,-,-,-,-
Jackson County ,28059,56,47,66,134,150,153,30,-,-,-,-,-
Jasper County ,28061,1,3,8,17,22,21,3,-,-,-,-,-
Jefferson County ,28063,0,3,5,5,13,1,3,-,-,-,-,-
Jefferson Davis County ,28065,1,5,3,15,12,6,2,-,-,-,-,-
Jones County ,28067,13,16,16,92,91,68,27,-,-,-,-,-
Kemper County ,28069,1,0,1,11,6,10,1,-,-,-,-,-
Lafayette County ,28071,13,11,13,41,45,30,5,-,-,-,-,-
Lamar County ,28073,15,7,7,49,51,40,22,-,-,-,-,-
Lauderdale County ,28075,30,32,9,134,152,91,14,-,-,-,-,-
Lawrence County ,28077,4,7,8,15,12,15,2,-,-,-,-,-
Leake County ,28079,4,2,6,27,23,20,4,-,-,-,-,-
Lee County ,28081,32,13,30,111,129,111,23,-,-,-,-,-
Leflore County ,28083,4,3,1,33,30,35,4,-,-,-,-,-
Lincoln County ,28085,11,10,12,38,58,42,5,-,-,-,-,-
Lowndes County ,28087,6,7,12,51,70,55,11,-,-,-,-,-
Madison County ,28089,14,12,4,69,45,42,4,-,-,-,-,-
Marion County ,28091,11,10,8,32,36,32,19,-,-,-,-,-
Marshall County ,28093,8,16,5,38,32,39,11,-,-,-,-,-
Monroe County ,28095,21,12,17,49,42,43,11,-,-,-,-,-
Montgomery County ,28097,7,1,5,9,9,8,4,-,-,-,-,-
Neshoba County ,28099,11,6,6,32,24,25,8,-,-,-,-,-
Newton County ,28101,6,6,6,15,13,19,8,-,-,-,-,-
Noxubee County ,28103,1,6,0,9,19,10,2,-,-,-,-,-
Oktibbeha County ,28105,3,3,7,37,22,19,6,-,-,-,-,-
Panola County ,28107,9,4,8,54,49,30,6,-,-,-,-,-
Pearl River County ,28109,11,16,17,60,56,58,17,-,-,-,-,-
Perry County ,28111,3,1,9,20,8,14,5,-,-,-,-,-
Pike County ,28113,13,15,19,42,44,63,22,-,-,-,-,-
Pontotoc County ,28115,10,15,24,73,51,53,13,-,-,-,-,-
Prentiss County ,28117,9,10,6,50,49,28,11,-,-,-,-,-
Quitman County ,28119,1,3,0,6,8,7,0,-,-,-,-,-
Rankin County ,28121,54,40,37,174,124,111,24,-,-,-,-,-
Scott County ,28123,7,13,15,57,36,31,13,-,-,-,-,-
Sharkey County ,28125,0,1,0,7,7,4,3,-,-,-,-,-
Simpson County ,28127,9,6,6,52,59,29,4,-,-,-,-,-
Smith County ,28129,3,7,3,18,15,12,3,-,-,-,-,-
Stone County ,28131,9,8,11,19,14,10,5,-,-,-,-,-
Sunflower County ,28133,7,6,17,35,29,29,15,-,-,-,-,-
Tallahatchie County ,28135,2,1,7,13,17,8,6,-,-,-,-,-
Tate County ,28137,9,4,18,30,35,35,20,-,-,-,-,-
Tippah County ,28139,13,10,11,30,39,18,14,-,-,-,-,-
Tishomingo County ,28141,6,7,4,26,22,19,2,-,-,-,-,-
Tunica County ,28143,2,1,4,14,15,13,6,-,-,-,-,-
Union County ,28145,13,11,7,42,43,41,20,-,-,-,-,-
Walthall County ,28147,0,5,4,16,13,18,2,-,-,-,-,-
Warren County ,28149,14,9,4,46,35,22,8,-,-,-,-,-
Washington County ,28151,52,52,46,100,95,93,27,-,-,-,-,-
Wayne County ,28153,10,13,11,24,29,24,7,-,-,-,-,-
Webster County ,28155,2,2,3,13,17,10,2,-,-,-,-,-
Wilkinson County ,28157,1,2,4,5,8,6,0,-,-,-,-,-
Winston County ,28159,4,6,9,18,14,14,5,-,-,-,-,-
Yalobusha County ,28161,3,1,4,26,22,23,9,-,-,-,-,-
Yazoo County ,28163,3,9,8,30,23,18,12,-,-,-,-,-
