County,FIPS_Code,2010_Physical,2010_Emotional,2010_Neglect,2010_Sexual,2011_Physical,2011_Emotional,2011_Neglect,2011_Sexual,2012_Physical,2012_Emotional,2012_Neglect,2012_Sexual,2013_Physical,2013_Emotional,2013_Neglect,2013_Sexual,2014_Physical,2014_Emotional,2014_Neglect,2014_Sexual,2015_Physical,2015_Emotional,2015_Neglect,2015_Sexual,2016_Physical,2016_Emotional,2016_Neglect,2016_Sexual,2017_Physical,2017_Emotional,2017_Neglect,2017_Sexual,2018_Physical,2018_Emotional,2018_Neglect,2018_Sexual,2019_Physical,2019_Emotional,2019_Neglect,2019_Sexual,2020_Physical,2020_Emotional,2020_Neglect,2020_Sexual,2021_Physical,2021_Emotional,2021_Neglect,2021_Sexual
Adair County ,29001,6,0,24,4,9,0,24,4,3,1,10,2,12,1,24,4,6,1,13,3,18,1,23,4,6,2,23,5,1,0,31,1,7,0,48,3,13,7,31,3,5,7,18,10,7,2,41,5
Andrew County ,29003,5,0,7,3,1,0,2,6,6,0,15,2,3,0,6,0,1,0,6,6,1,1,0,2,2,3,9,4,1,0,6,1,4,0,1,2,4,2,5,1,1,0,3,1,3,2,7,6
Atchison County ,29005,3,6,5,2,0,0,12,2,0,0,7,0,1,0,8,1,1,0,4,0,1,0,0,1,2,0,2,0,0,0,5,0,0,0,0,0,0,2,2,2,0,0,2,2,2,0,0,2
Audrain County ,29007,7,0,22,5,3,0,8,8,4,0,4,9,7,0,17,8,11,0,31,10,4,1,20,8,12,4,12,11,8,2,7,14,14,12,24,11,12,4,11,12,8,6,14,8,10,3,18,14
Barry County ,29009,8,1,19,18,5,0,17,10,24,4,26,22,35,4,36,20,33,18,38,13,14,1,45,20,5,4,25,11,5,0,21,9,9,1,20,8,11,1,11,6,3,0,2,5,1,2,8,6
Barton County ,29011,1,0,11,3,5,0,12,0,6,0,19,5,9,2,22,3,3,0,1,11,3,0,17,9,2,4,7,0,0,0,0,6,0,0,5,2,0,2,3,2,5,3,3,5,5,3,7,6
Bates County ,29013,8,3,11,10,4,2,9,4,3,0,5,5,1,0,5,4,7,4,19,3,4,2,20,4,6,2,5,1,2,0,8,7,2,0,19,6,5,1,5,2,1,0,7,5,7,0,3,3
Benton County ,29015,3,0,2,7,10,4,11,7,5,0,19,6,5,0,15,5,10,3,16,9,8,1,22,8,5,2,10,10,1,5,16,7,6,6,10,5,5,7,13,9,5,5,14,6,10,3,17,5
Bollinger County ,29017,4,0,17,6,6,0,16,6,1,0,8,2,4,0,13,7,4,1,12,1,7,4,28,1,2,2,26,6,3,0,26,0,1,0,20,10,6,0,20,3,4,4,31,6,5,1,7,6
Boone County ,29019,19,1,33,21,33,4,59,32,33,7,49,15,40,12,36,26,54,24,108,32,45,20,93,26,37,13,108,16,21,9,49,16,28,9,64,27,38,34,78,29,46,33,75,24,45,19,62,28
Buchanan County ,29021,35,0,38,25,27,1,48,20,46,9,135,35,45,8,91,31,36,4,76,21,32,1,56,17,31,4,50,18,26,0,65,15,36,5,49,33,41,19,58,32,42,16,80,28,39,9,61,21
Butler County ,29023,7,0,29,5,10,0,32,7,27,6,73,23,23,7,42,14,26,22,83,11,18,20,74,12,16,29,88,11,8,3,49,12,31,10,65,21,39,11,73,24,34,8,49,20,34,14,69,13
Caldwell County ,29025,3,4,5,2,4,0,5,0,1,0,10,1,3,0,10,2,2,0,0,1,3,0,2,3,1,0,10,1,1,1,1,0,2,0,5,2,3,0,1,2,6,0,4,0,1,0,1,2
Callaway County ,29027,10,9,12,9,24,14,36,5,14,11,48,10,9,10,61,16,19,11,47,16,13,0,52,14,11,3,53,12,16,5,42,23,10,3,48,28,25,12,36,31,25,25,48,21,21,10,42,24
Camden County ,29029,11,2,33,15,9,2,19,13,19,0,43,15,17,5,43,16,22,5,56,30,15,7,70,25,12,6,43,22,9,8,37,11,12,0,25,15,17,7,30,19,18,7,49,13,8,4,25,5
Cape Girardeau County ,29031,11,0,44,12,7,3,33,8,8,0,23,7,18,1,33,12,28,5,66,22,11,0,49,6,14,2,56,7,6,1,62,12,16,0,55,16,25,10,72,15,28,12,77,26,25,6,60,11
Carroll County ,29033,1,1,1,0,1,0,1,5,2,0,7,2,4,0,1,1,2,0,13,2,2,0,9,5,4,0,6,5,2,0,10,7,0,0,2,1,4,1,6,7,1,0,1,9,2,0,4,5
Carter County ,29035,1,0,7,1,3,0,2,3,0,0,4,1,2,0,6,2,5,0,7,2,0,1,4,4,10,3,10,4,0,0,2,2,3,2,3,4,11,0,18,1,3,0,15,9,2,3,8,1
Cass County ,29037,20,4,45,17,34,2,42,22,22,0,22,11,16,1,16,15,28,5,43,23,18,5,39,9,15,1,38,18,13,2,27,14,10,7,29,16,21,8,32,27,20,0,16,15,26,8,32,33
Cedar County ,29039,3,0,10,3,5,0,9,3,2,0,10,1,3,4,15,1,1,1,9,4,3,3,31,9,3,0,16,6,4,0,9,3,3,0,0,5,1,5,9,4,9,7,11,5,5,0,7,7
Chariton County ,29041,1,0,0,1,5,0,8,2,2,0,6,2,3,0,3,3,0,0,1,0,1,0,2,1,0,0,3,3,2,0,1,1,1,0,1,2,1,1,3,4,2,0,0,0,3,1,6,3
Christian County ,29043,12,0,30,19,9,0,13,17,14,0,34,16,16,0,36,14,11,5,34,12,16,4,20,19,12,2,28,25,5,3,20,17,12,9,34,21,9,8,29,13,20,10,32,20,17,4,19,21
Clark County ,29045,5,3,14,0,1,0,3,0,5,0,20,2,8,0,15,2,5,1,23,0,1,0,22,0,2,0,4,1,0,0,10,0,2,1,19,8,6,0,22,3,1,2,5,8,3,3,15,1
Clay County ,29047,20,3,31,34,20,0,60,33,32,4,56,35,28,3,47,33,36,6,42,45,17,4,43,46,47,5,96,45,18,0,36,19,32,1,42,32,28,16,41,45,36,9,33,36,18,12,24,49
Clinton County ,29049,9,5,22,6,6,0,18,1,3,0,14,2,7,0,10,4,8,0,16,4,8,3,14,2,6,0,18,4,3,0,7,2,2,0,8,4,3,0,1,6,4,1,4,3,6,0,5,4
Cole County ,29051,6,0,4,12,5,0,16,4,6,0,8,5,6,0,19,8,6,2,37,3,5,2,10,6,11,0,19,19,7,2,20,11,15,2,11,6,9,5,15,9,11,3,10,13,18,8,37,14
Cooper County ,29053,9,4,13,11,7,3,3,6,10,0,13,0,3,1,11,5,2,0,4,4,2,0,6,4,2,0,9,2,3,0,3,1,4,0,7,3,2,0,4,4,5,2,3,2,0,0,1,4
Crawford County ,29055,13,5,14,5,5,1,14,4,8,0,14,8,12,1,14,8,14,11,24,8,10,4,38,6,5,0,38,1,2,0,9,3,5,1,17,7,9,6,20,10,12,8,22,8,17,2,24,7
Dade County ,29057,1,0,3,1,7,0,9,1,3,1,2,4,6,1,9,4,2,0,14,1,1,0,8,1,2,1,0,2,1,0,2,0,2,1,4,0,4,1,1,1,1,8,10,1,0,0,0,0
Dallas County ,29059,4,0,28,7,6,0,2,4,10,0,26,18,15,2,22,15,3,1,9,5,6,4,26,7,5,4,17,13,11,2,3,12,8,6,6,13,3,2,3,4,4,2,13,3,4,0,6,4
Daviess County ,29061,3,0,7,3,1,1,4,0,3,0,2,3,0,0,2,1,0,0,7,5,5,0,0,2,1,0,3,4,0,0,7,2,0,0,1,2,4,0,2,2,1,0,4,3,3,0,2,2
DeKalb County ,29063,3,0,5,2,0,0,0,1,1,0,6,2,2,1,0,3,3,0,2,1,1,1,12,1,0,0,5,2,6,0,6,2,2,0,3,0,6,2,3,4,1,0,3,0,3,0,4,0
Dent County ,29065,8,0,8,6,7,1,14,9,4,1,6,11,2,1,5,11,1,0,5,7,0,1,22,8,6,2,38,17,0,1,30,15,10,0,24,7,8,4,6,7,5,4,10,7,11,3,11,11
Douglas County ,29067,5,0,10,6,8,1,30,3,5,0,5,4,14,1,13,4,3,3,15,5,5,0,12,4,1,4,14,4,2,0,6,1,1,0,16,4,11,12,11,4,3,2,6,2,4,0,13,4
Dunklin County ,29069,16,0,49,22,11,0,20,11,20,2,15,18,14,2,23,17,14,0,27,13,8,9,26,13,7,0,18,5,8,0,4,7,9,0,11,13,3,2,15,9,5,9,2,8,2,2,21,16
Franklin County ,29071,23,0,58,17,60,6,106,35,46,4,106,29,40,0,68,32,29,9,113,27,12,2,67,27,16,1,59,16,16,5,39,15,20,11,60,30,25,13,41,38,22,9,23,32,19,11,29,17
Gasconade County ,29073,3,0,6,4,1,0,11,6,4,0,7,4,3,0,10,4,4,1,10,5,4,3,7,0,2,0,4,1,2,1,7,3,5,5,19,4,8,1,5,6,2,0,3,2,2,3,5,3
Gentry County ,29075,1,0,13,6,3,1,5,2,0,0,3,2,0,0,2,2,9,2,16,3,1,0,8,0,1,0,9,0,0,0,4,1,3,0,3,2,2,3,6,1,1,0,2,2,1,4,9,4
Greene County ,29077,80,22,239,70,109,36,285,80,148,20,301,77,148,26,371,84,103,35,285,82,59,12,266,59,65,20,137,55,43,6,73,51,74,24,83,75,64,28,92,99,102,54,110,86,86,54,90,76
Grundy County ,29079,1,0,5,5,0,0,19,4,3,3,8,6,3,1,13,6,5,0,9,5,1,1,7,2,5,1,4,4,3,0,13,3,2,0,6,2,17,0,18,5,11,3,19,2,10,2,10,3
Harrison County ,29081,2,0,6,4,5,1,8,1,5,0,13,1,3,0,6,5,1,1,9,2,2,0,11,0,9,4,18,0,1,1,26,3,4,2,17,2,1,2,12,6,7,4,11,2,3,4,7,4
Henry County ,29083,7,9,21,3,10,7,21,8,2,0,13,4,7,0,6,6,8,10,26,8,8,0,12,6,4,1,7,5,8,0,8,9,1,0,8,3,6,1,2,9,1,2,1,7,4,5,7,4
Hickory County ,29085,0,0,1,4,2,0,0,6,1,0,10,2,1,0,11,4,1,1,2,3,0,3,5,0,2,2,14,0,1,0,12,6,6,1,19,6,5,0,12,2,6,0,6,4,7,1,13,7
Holt County ,29087,-,-,-,-,0,5,8,0,0,5,6,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,6,1,1,0,5,0,2,0,6,0,0,1,0,1,1,0,2,0,1,0,0,1
Howard County ,29089,3,0,1,0,3,0,11,4,5,0,15,6,8,0,22,3,3,0,9,4,9,0,8,3,3,0,12,3,0,4,11,4,3,0,18,8,2,2,9,11,6,2,14,5,1,0,4,3
Howell County ,29091,39,2,53,17,27,4,53,12,13,0,28,15,24,6,51,17,52,22,105,27,19,7,67,25,29,5,49,11,21,1,34,21,49,14,62,21,44,17,86,24,38,20,60,24,39,10,61,15
Iron County ,29093,4,1,2,1,3,1,5,5,4,0,1,5,6,1,6,1,2,2,3,6,1,1,5,2,3,0,9,4,1,1,2,3,6,1,7,7,5,3,6,5,4,2,8,2,2,0,5,4
Jackson County ,29095,200,48,369,222,145,16,217,182,155,15,215,176,149,19,250,154,166,38,297,136,116,9,195,147,132,14,182,155,134,15,165,139,120,24,143,151,119,42,104,204,136,71,132,142,137,54,122,151
