County,FIPS_Code,2010_Neglect,2011_Neglect,2012_Neglect,2013_Neglect,2014_Neglect,2015_Neglect,2016_Neglect,2017_Neglect,2018_Neglect,2019_Neglect,2020_Neglect,2021_Neglect
Adair County ,29001,24,24,10,24,13,23,23,31,48,31,18,41
Andrew County ,29003,7,2,15,6,6,0,9,6,1,5,3,7
Atchison County ,29005,5,12,7,8,4,0,2,5,0,2,2,0
Audrain County ,29007,22,8,4,17,31,20,12,7,24,11,14,18
Barry County ,29009,19,17,26,36,38,45,25,21,20,11,2,8
Barton County ,29011,11,12,19,22,1,17,7,0,5,3,3,7
Bates County ,29013,11,9,5,5,19,20,5,8,19,5,7,3
Benton County ,29015,2,11,19,15,16,22,10,16,10,13,14,17
Bollinger County ,29017,17,16,8,13,12,28,26,26,20,20,31,7
Boone County ,29019,33,59,49,36,108,93,108,49,64,78,75,62
Buchanan County ,29021,38,48,135,91,76,56,50,65,49,58,80,61
Butler County ,29023,29,32,73,42,83,74,88,49,65,73,49,69
Caldwell County ,29025,5,5,10,10,0,2,10,1,5,1,4,1
Callaway County ,29027,12,36,48,61,47,52,53,42,48,36,48,42
Camden County ,29029,33,19,43,43,56,70,43,37,25,30,49,25
Cape Girardeau County ,29031,44,33,23,33,66,49,56,62,55,72,77,60
Carroll County ,29033,1,1,7,1,13,9,6,10,2,6,1,4
Carter County ,29035,7,2,4,6,7,4,10,2,3,18,15,8
Cass County ,29037,45,42,22,16,43,39,38,27,29,32,16,32
Cedar County ,29039,10,9,10,15,9,31,16,9,0,9,11,7
Chariton County ,29041,0,8,6,3,1,2,3,1,1,3,0,6
Christian County ,29043,30,13,34,36,34,20,28,20,34,29,32,19
Clark County ,29045,14,3,20,15,23,22,4,10,19,22,5,15
Clay County ,29047,31,60,56,47,42,43,96,36,42,41,33,24
Clinton County ,29049,22,18,14,10,16,14,18,7,8,1,4,5
Cole County ,29051,4,16,8,19,37,10,19,20,11,15,10,37
Cooper County ,29053,13,3,13,11,4,6,9,3,7,4,3,1
Crawford County ,29055,14,14,14,14,24,38,38,9,17,20,22,24
Dade County ,29057,3,9,2,9,14,8,0,2,4,1,10,0
Dallas County ,29059,28,2,26,22,9,26,17,3,6,3,13,6
Daviess County ,29061,7,4,2,2,7,0,3,7,1,2,4,2
DeKalb County ,29063,5,0,6,0,2,12,5,6,3,3,3,4
Dent County ,29065,8,14,6,5,5,22,38,30,24,6,10,11
Douglas County ,29067,10,30,5,13,15,12,14,6,16,11,6,13
Dunklin County ,29069,49,20,15,23,27,26,18,4,11,15,2,21
Franklin County ,29071,58,106,106,68,113,67,59,39,60,41,23,29
Gasconade County ,29073,6,11,7,10,10,7,4,7,19,5,3,5
Gentry County ,29075,13,5,3,2,16,8,9,4,3,6,2,9
Greene County ,29077,239,285,301,371,285,266,137,73,83,92,110,90
Grundy County ,29079,5,19,8,13,9,7,4,13,6,18,19,10
Harrison County ,29081,6,8,13,6,9,11,18,26,17,12,11,7
Henry County ,29083,21,21,13,6,26,12,7,8,8,2,1,7
Hickory County ,29085,1,0,10,11,2,5,14,12,19,12,6,13
Holt County ,29087,-,8,6,0,1,0,6,5,6,0,2,0
Howard County ,29089,1,11,15,22,9,8,12,11,18,9,14,4
Howell County ,29091,53,53,28,51,105,67,49,34,62,86,60,61
Iron County ,29093,2,5,1,6,3,5,9,2,7,6,8,5
Jackson County ,29095,369,217,215,250,297,195,182,165,143,104,132,122
Jasper County ,29097,68,100,75,70,52,29,30,21,19,47,28,37
Jefferson County ,29099,170,150,196,138,132,160,123,111,89,66,71,74
Johnson County ,29101,19,10,22,27,23,27,9,29,12,14,5,14
Knox County ,29103,0,5,3,0,8,3,5,1,4,8,3,10
Laclede County ,29105,92,85,95,72,64,79,82,87,36,43,24,29
Lafayette County ,29107,10,17,5,22,43,32,29,21,3,12,14,9
Lawrence County ,29109,13,38,33,33,28,32,36,7,18,16,6,6
Lewis County ,29111,4,7,25,28,6,12,10,34,12,10,9,13
Lincoln County ,29113,38,57,38,25,50,10,44,24,55,51,39,61
Linn County ,29115,6,24,7,6,6,18,24,1,3,11,3,6
Livingston County ,29117,8,7,16,4,5,0,9,4,4,5,3,5
Macon County ,29121,13,8,11,14,16,14,23,13,28,28,39,5
Madison County ,29123,16,17,14,18,20,6,12,12,11,4,8,16
Maries County ,29125,8,2,3,4,8,11,13,9,2,5,8,3
Marion County ,29127,63,68,93,100,78,68,83,55,97,72,48,45
McDonald County ,29119,34,20,12,21,11,10,3,1,5,2,3,10
Mercer County ,29129,0,6,2,0,0,5,5,0,1,0,1,7
Miller County ,29131,35,27,23,30,51,28,36,30,30,27,23,17
Mississippi County ,29133,8,10,25,20,5,9,3,25,12,17,6,4
Moniteau County ,29135,15,21,4,8,11,19,10,11,7,8,13,0
Monroe County ,29137,8,14,9,4,10,9,5,9,6,5,8,8
Montgomery County ,29139,28,12,10,8,21,8,10,8,15,5,8,9
Morgan County ,29141,33,29,18,30,52,55,37,44,44,49,24,24
New Madrid County ,29143,20,28,41,36,11,30,22,14,18,21,8,10
Newton County ,29145,27,31,47,42,12,6,7,1,6,7,3,15
Nodaway County ,29147,20,12,13,21,25,9,24,3,13,8,11,4
Oregon County ,29149,4,6,7,15,7,6,35,13,19,47,27,14
Osage County ,29151,6,13,4,4,7,10,11,2,7,1,0,5
Ozark County ,29153,6,1,8,10,8,14,12,1,9,6,0,5
Pemiscot County ,29155,42,45,20,25,29,37,27,19,24,14,23,11
Perry County ,29157,14,13,4,10,4,15,14,16,16,49,32,25
Pettis County ,29159,23,39,28,40,26,27,18,5,14,25,15,12
Phelps County ,29161,30,29,20,25,32,29,48,13,23,23,15,22
Pike County ,29163,20,35,21,25,32,33,41,6,15,25,18,22
Platte County ,29165,17,10,12,13,14,16,15,22,43,11,27,13
Polk County ,29167,36,16,26,28,31,26,44,18,15,10,9,13
Pulaski County ,29169,38,30,27,36,55,43,42,32,55,62,47,34
Putnam County ,29171,11,5,11,19,1,3,2,8,2,3,0,3
Ralls County ,29173,4,9,18,20,4,13,13,7,9,12,6,5
Randolph County ,29175,11,36,60,31,23,40,50,58,43,22,22,13
Ray County ,29177,9,6,12,7,10,12,3,1,8,5,3,18
Reynolds County ,29179,5,3,11,11,13,2,3,6,7,7,4,6
Ripley County ,29181,8,18,11,13,9,21,12,36,24,8,5,14
Saline County ,29195,14,21,15,9,31,20,18,14,12,24,21,33
Schuyler County ,29197,3,5,7,5,14,3,1,11,0,9,4,4
Scotland County ,29199,4,1,10,18,2,3,16,3,4,10,3,7
Scott County ,29201,40,29,38,35,66,37,41,36,55,36,33,10
Shannon County ,29203,1,3,10,9,6,20,2,4,16,7,4,20
Shelby County ,29205,3,4,4,7,8,11,16,5,16,7,10,16
St. Charles County ,29183,147,224,232,188,267,186,263,200,220,149,179,180
St. Clair County ,29185,3,4,2,2,9,1,6,3,0,8,0,1
St. Francois County ,29187,53,63,61,68,42,50,53,54,59,60,40,56
St. Louis city ,29510,128,104,81,103,120,132,167,115,92,88,102,93
St. Louis County ,29189,247,250,237,244,273,283,248,167,183,163,120,146
Ste. Genevieve County ,29186,10,16,7,7,13,15,17,12,12,16,13,9
Stoddard County ,29207,65,41,43,56,45,32,42,18,37,50,20,16
Stone County ,29209,3,18,17,28,31,19,32,6,27,22,3,1
Sullivan County ,29211,3,4,6,2,6,7,2,0,8,5,4,0
Taney County ,29213,35,42,24,31,39,34,63,63,41,39,39,43
Texas County ,29215,8,10,6,16,31,20,25,36,5,22,29,23
Vernon County ,29217,14,12,26,16,20,20,16,7,7,6,15,4
Warren County ,29219,27,56,40,44,31,33,22,31,13,13,9,10
Washington County ,29221,26,40,32,20,34,5,20,36,18,15,16,32
Wayne County ,29223,5,10,12,8,8,9,38,12,9,8,13,8
Webster County ,29225,19,23,32,36,42,23,38,33,36,28,23,37
Worth County ,29227,0,2,0,0,6,0,2,0,1,1,0,1
Wright County ,29229,30,41,22,33,89,42,27,10,29,27,10,13
