County,FIPS_Code,2010_Physical,2010_Emotional,2010_Neglect,2010_Sexual,2011_Physical,2011_Emotional,2011_Neglect,2011_Sexual,2012_Physical,2012_Emotional,2012_Neglect,2012_Sexual,2013_Physical,2013_Emotional,2013_Neglect,2013_Sexual,2014_Physical,2014_Emotional,2014_Neglect,2014_Sexual,2015_Physical,2015_Emotional,2015_Neglect,2015_Sexual,2016_Physical,2016_Emotional,2016_Neglect,2016_Sexual,2017_Physical,2017_Emotional,2017_Neglect,2017_Sexual,2018_Physical,2018_Emotional,2018_Neglect,2018_Sexual,2019_Physical,2019_Emotional,2019_Neglect,2019_Sexual,2020_Physical,2020_Emotional,2020_Neglect,2020_Sexual,2021_Physical,2021_Emotional,2021_Neglect,2021_Sexual
Adams County ,42001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,0,2,35,10,0,3,35,11,0,3,22,13,0,2,18,-,-,-,-
Allegheny County ,42003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,101,0,25,127,88,0,26,168,51,0,42,72,58,0,30,83,-,-,-,-
Armstrong County ,42005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,0,1,20,19,0,9,17,11,0,4,20,21,0,6,24,-,-,-,-
Beaver County ,42007,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,0,4,28,25,0,5,49,23,0,8,36,19,1,6,28,-,-,-,-
Bedford County ,42009,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,0,3,38,6,0,0,31,6,0,0,13,8,0,0,7,-,-,-,-
Berks County ,42011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48,5,21,167,75,3,25,159,42,3,15,98,38,3,14,78,-,-,-,-
Blair County ,42013,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45,10,11,102,41,0,5,100,26,0,4,39,34,0,3,33,-,-,-,-
Bradford County ,42015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,0,11,27,12,1,9,26,3,1,5,22,8,1,4,17,-,-,-,-
Bucks County ,42017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,1,7,19,51,2,25,28,40,0,21,27,28,1,8,26,-,-,-,-
Butler County ,42019,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,0,7,31,23,0,7,21,8,0,5,16,12,0,3,16,-,-,-,-
