County,FIPS_Code,2010_Emotional,2011_Emotional,2012_Emotional,2013_Emotional,2014_Emotional,2015_Emotional,2016_Emotional,2017_Emotional,2018_Emotional,2019_Emotional,2020_Emotional,2021_Emotional
Adams County ,42001,-,-,-,-,-,-,-,0,0,0,0,-
Allegheny County ,42003,-,-,-,-,-,-,-,0,0,0,0,-
Armstrong County ,42005,-,-,-,-,-,-,-,0,0,0,0,-
Beaver County ,42007,-,-,-,-,-,-,-,0,0,0,1,-
Bedford County ,42009,-,-,-,-,-,-,-,0,0,0,0,-
Berks County ,42011,-,-,-,-,-,-,-,5,3,3,3,-
Blair County ,42013,-,-,-,-,-,-,-,10,0,0,0,-
Bradford County ,42015,-,-,-,-,-,-,-,0,1,1,1,-
Bucks County ,42017,-,-,-,-,-,-,-,1,2,0,1,-
Butler County ,42019,-,-,-,-,-,-,-,0,0,0,0,-
Cambria County ,42021,-,-,-,-,-,-,-,0,0,0,0,-
Cameron County ,42023,-,-,-,-,-,-,-,0,0,0,0,-
Carbon County ,42025,-,-,-,-,-,-,-,0,0,0,3,-
Centre County ,42027,-,-,-,-,-,-,-,1,2,3,0,-
Chester County ,42029,-,-,-,-,-,-,-,0,4,3,0,-
Clarion County ,42031,-,-,-,-,-,-,-,0,0,0,0,-
Clearfield County ,42033,-,-,-,-,-,-,-,0,0,0,0,-
Clinton County ,42035,-,-,-,-,-,-,-,0,0,0,0,-
Columbia County ,42037,-,-,-,-,-,-,-,0,0,0,0,-
Crawford County ,42039,-,-,-,-,-,-,-,1,0,0,0,-
Cumberland County ,42041,-,-,-,-,-,-,-,2,24,5,0,-
Dauphin County ,42043,-,-,-,-,-,-,-,0,12,0,0,-
Delaware County ,42045,-,-,-,-,-,-,-,1,0,1,0,-
Elk County ,42047,-,-,-,-,-,-,-,0,0,5,0,-
Erie County ,42049,-,-,-,-,-,-,-,3,0,0,0,-
Fayette County ,42051,-,-,-,-,-,-,-,0,0,0,0,-
Forest County ,42053,-,-,-,-,-,-,-,0,0,0,0,-
Franklin County ,42055,-,-,-,-,-,-,-,0,0,2,0,-
Fulton County ,42057,-,-,-,-,-,-,-,0,0,0,0,-
Greene County ,42059,-,-,-,-,-,-,-,0,2,0,0,-
Huntingdon County ,42061,-,-,-,-,-,-,-,0,0,0,0,-
Indiana County ,42063,-,-,-,-,-,-,-,0,0,0,3,-
Jefferson County ,42065,-,-,-,-,-,-,-,1,2,1,0,-
Juniata County ,42067,-,-,-,-,-,-,-,0,0,1,1,-
Lackawanna County ,42069,-,-,-,-,-,-,-,1,0,0,0,-
Lancaster County ,42071,-,-,-,-,-,-,-,1,3,3,4,-
Lawrence County ,42073,-,-,-,-,-,-,-,0,0,0,0,-
Lebanon County ,42075,-,-,-,-,-,-,-,2,0,0,0,-
Lehigh County ,42077,-,-,-,-,-,-,-,0,11,2,2,-
Luzerne County ,42079,-,-,-,-,-,-,-,1,1,0,1,-
Lycoming County ,42081,-,-,-,-,-,-,-,0,0,1,4,-
McKean County ,42083,-,-,-,-,-,-,-,1,1,0,0,-
Mercer County ,42085,-,-,-,-,-,-,-,0,0,0,0,-
Mifflin County ,42087,-,-,-,-,-,-,-,0,0,0,0,-
Monroe County ,42089,-,-,-,-,-,-,-,0,4,0,1,-
Montgomery County ,42091,-,-,-,-,-,-,-,1,1,1,1,-
Montour County ,42093,-,-,-,-,-,-,-,0,0,0,0,-
Northampton County ,42095,-,-,-,-,-,-,-,13,4,3,2,-
Northumberland County ,42097,-,-,-,-,-,-,-,0,1,1,1,-
Perry County ,42099,-,-,-,-,-,-,-,0,0,1,0,-
Philadelphia County ,42101,-,-,-,-,-,-,-,7,10,4,2,-
Pike County ,42103,-,-,-,-,-,-,-,0,0,0,0,-
Potter County ,42105,-,-,-,-,-,-,-,0,0,2,0,-
Schuylkill County ,42107,-,-,-,-,-,-,-,0,0,1,0,-
Snyder County ,42109,-,-,-,-,-,-,-,0,0,3,0,-
Somerset County ,42111,-,-,-,-,-,-,-,0,1,0,0,-
Sullivan County ,42113,-,-,-,-,-,-,-,0,0,0,0,-
Susquehanna County ,42115,-,-,-,-,-,-,-,0,0,0,0,-
Tioga County ,42117,-,-,-,-,-,-,-,1,0,1,1,-
Union County ,42119,-,-,-,-,-,-,-,0,0,2,3,-
Venango County ,42121,-,-,-,-,-,-,-,0,1,0,0,-
Warren County ,42123,-,-,-,-,-,-,-,0,0,0,0,-
Washington County ,42125,-,-,-,-,-,-,-,3,0,5,1,-
Wayne County ,42127,-,-,-,-,-,-,-,2,7,1,1,-
Westmoreland County ,42129,-,-,-,-,-,-,-,1,6,1,2,-
Wyoming County ,42131,-,-,-,-,-,-,-,0,0,1,0,-
"York, County",42133,-,-,-,-,-,-,-,0,0,0,0,-
