County,FIPS_Code,2010_Physical,2011_Physical,2012_Physical,2013_Physical,2014_Physical,2015_Physical,2016_Physical,2017_Physical,2018_Physical,2019_Physical,2020_Physical,2021_Physical
Adams County ,42001,-,-,-,-,-,-,-,19,10,11,13,-
Allegheny County ,42003,-,-,-,-,-,-,-,101,88,51,58,-
Armstrong County ,42005,-,-,-,-,-,-,-,12,19,11,21,-
Beaver County ,42007,-,-,-,-,-,-,-,14,25,23,19,-
Bedford County ,42009,-,-,-,-,-,-,-,8,6,6,8,-
Berks County ,42011,-,-,-,-,-,-,-,48,75,42,38,-
Blair County ,42013,-,-,-,-,-,-,-,45,41,26,34,-
Bradford County ,42015,-,-,-,-,-,-,-,12,12,3,8,-
Bucks County ,42017,-,-,-,-,-,-,-,32,51,40,28,-
Butler County ,42019,-,-,-,-,-,-,-,9,23,8,12,-
Cambria County ,42021,-,-,-,-,-,-,-,20,28,8,6,-
Cameron County ,42023,-,-,-,-,-,-,-,0,0,0,0,-
Carbon County ,42025,-,-,-,-,-,-,-,17,18,10,8,-
Centre County ,42027,-,-,-,-,-,-,-,8,14,6,14,-
Chester County ,42029,-,-,-,-,-,-,-,15,25,19,33,-
Clarion County ,42031,-,-,-,-,-,-,-,4,4,4,1,-
Clearfield County ,42033,-,-,-,-,-,-,-,7,21,5,10,-
Clinton County ,42035,-,-,-,-,-,-,-,13,8,8,10,-
Columbia County ,42037,-,-,-,-,-,-,-,9,10,5,7,-
Crawford County ,42039,-,-,-,-,-,-,-,11,25,12,13,-
Cumberland County ,42041,-,-,-,-,-,-,-,63,47,30,27,-
Dauphin County ,42043,-,-,-,-,-,-,-,113,94,76,80,-
Delaware County ,42045,-,-,-,-,-,-,-,45,37,29,37,-
Elk County ,42047,-,-,-,-,-,-,-,4,7,2,4,-
Erie County ,42049,-,-,-,-,-,-,-,44,36,31,34,-
Fayette County ,42051,-,-,-,-,-,-,-,35,16,14,28,-
Forest County ,42053,-,-,-,-,-,-,-,1,0,2,0,-
Franklin County ,42055,-,-,-,-,-,-,-,10,33,14,19,-
Fulton County ,42057,-,-,-,-,-,-,-,0,0,0,2,-
Greene County ,42059,-,-,-,-,-,-,-,10,21,8,4,-
Huntingdon County ,42061,-,-,-,-,-,-,-,12,6,6,5,-
Indiana County ,42063,-,-,-,-,-,-,-,9,13,3,5,-
Jefferson County ,42065,-,-,-,-,-,-,-,5,8,14,14,-
Juniata County ,42067,-,-,-,-,-,-,-,0,6,3,3,-
Lackawanna County ,42069,-,-,-,-,-,-,-,38,72,38,64,-
Lancaster County ,42071,-,-,-,-,-,-,-,52,42,25,31,-
Lawrence County ,42073,-,-,-,-,-,-,-,16,17,8,20,-
Lebanon County ,42075,-,-,-,-,-,-,-,23,31,18,15,-
Lehigh County ,42077,-,-,-,-,-,-,-,58,65,45,30,-
Luzerne County ,42079,-,-,-,-,-,-,-,42,55,37,33,-
Lycoming County ,42081,-,-,-,-,-,-,-,33,35,30,33,-
McKean County ,42083,-,-,-,-,-,-,-,33,16,12,5,-
Mercer County ,42085,-,-,-,-,-,-,-,29,35,25,21,-
Mifflin County ,42087,-,-,-,-,-,-,-,11,21,2,7,-
Monroe County ,42089,-,-,-,-,-,-,-,25,37,27,33,-
Montgomery County ,42091,-,-,-,-,-,-,-,61,54,54,30,-
Montour County ,42093,-,-,-,-,-,-,-,3,2,1,2,-
Northampton County ,42095,-,-,-,-,-,-,-,56,56,36,21,-
Northumberland County ,42097,-,-,-,-,-,-,-,7,14,15,10,-
Perry County ,42099,-,-,-,-,-,-,-,9,8,8,11,-
Philadelphia County ,42101,-,-,-,-,-,-,-,566,507,277,179,-
Pike County ,42103,-,-,-,-,-,-,-,3,14,20,14,-
Potter County ,42105,-,-,-,-,-,-,-,8,7,5,2,-
Schuylkill County ,42107,-,-,-,-,-,-,-,6,30,14,16,-
Snyder County ,42109,-,-,-,-,-,-,-,12,8,6,4,-
Somerset County ,42111,-,-,-,-,-,-,-,9,8,8,8,-
Sullivan County ,42113,-,-,-,-,-,-,-,2,3,1,3,-
Susquehanna County ,42115,-,-,-,-,-,-,-,2,7,8,2,-
Tioga County ,42117,-,-,-,-,-,-,-,9,16,16,13,-
Union County ,42119,-,-,-,-,-,-,-,10,4,2,2,-
Venango County ,42121,-,-,-,-,-,-,-,15,20,20,29,-
Warren County ,42123,-,-,-,-,-,-,-,6,5,5,2,-
Washington County ,42125,-,-,-,-,-,-,-,16,34,11,22,-
Wayne County ,42127,-,-,-,-,-,-,-,10,4,13,7,-
Westmoreland County ,42129,-,-,-,-,-,-,-,28,40,42,47,-
Wyoming County ,42131,-,-,-,-,-,-,-,9,9,10,2,-
"York, County",42133,-,-,-,-,-,-,-,63,73,79,63,-
