County,FIPS_Code,2010_Sexual,2011_Sexual,2012_Sexual,2013_Sexual,2014_Sexual,2015_Sexual,2016_Sexual,2017_Sexual,2018_Sexual,2019_Sexual,2020_Sexual,2021_Sexual
Adams County ,42001,-,-,-,-,-,-,-,35,35,22,18,-
Allegheny County ,42003,-,-,-,-,-,-,-,127,168,72,83,-
Armstrong County ,42005,-,-,-,-,-,-,-,20,17,20,24,-
Beaver County ,42007,-,-,-,-,-,-,-,28,49,36,28,-
Bedford County ,42009,-,-,-,-,-,-,-,38,31,13,7,-
Berks County ,42011,-,-,-,-,-,-,-,167,159,98,78,-
Blair County ,42013,-,-,-,-,-,-,-,102,100,39,33,-
Bradford County ,42015,-,-,-,-,-,-,-,27,26,22,17,-
Bucks County ,42017,-,-,-,-,-,-,-,19,28,27,26,-
Butler County ,42019,-,-,-,-,-,-,-,31,21,16,16,-
Cambria County ,42021,-,-,-,-,-,-,-,26,19,11,23,-
Cameron County ,42023,-,-,-,-,-,-,-,1,1,0,0,-
Carbon County ,42025,-,-,-,-,-,-,-,36,60,19,18,-
Centre County ,42027,-,-,-,-,-,-,-,19,13,17,9,-
Chester County ,42029,-,-,-,-,-,-,-,71,80,45,64,-
Clarion County ,42031,-,-,-,-,-,-,-,17,22,5,8,-
Clearfield County ,42033,-,-,-,-,-,-,-,11,30,12,16,-
Clinton County ,42035,-,-,-,-,-,-,-,8,5,5,11,-
Columbia County ,42037,-,-,-,-,-,-,-,10,24,20,14,-
Crawford County ,42039,-,-,-,-,-,-,-,25,58,41,22,-
Cumberland County ,42041,-,-,-,-,-,-,-,128,127,42,35,-
Dauphin County ,42043,-,-,-,-,-,-,-,215,168,66,59,-
Delaware County ,42045,-,-,-,-,-,-,-,47,63,32,64,-
Elk County ,42047,-,-,-,-,-,-,-,18,33,9,8,-
Erie County ,42049,-,-,-,-,-,-,-,41,56,40,25,-
Fayette County ,42051,-,-,-,-,-,-,-,25,55,22,38,-
Forest County ,42053,-,-,-,-,-,-,-,1,12,3,3,-
Franklin County ,42055,-,-,-,-,-,-,-,43,48,45,27,-
Fulton County ,42057,-,-,-,-,-,-,-,8,2,8,4,-
Greene County ,42059,-,-,-,-,-,-,-,9,46,3,7,-
Huntingdon County ,42061,-,-,-,-,-,-,-,12,22,11,11,-
Indiana County ,42063,-,-,-,-,-,-,-,14,24,14,9,-
Jefferson County ,42065,-,-,-,-,-,-,-,21,7,13,19,-
Juniata County ,42067,-,-,-,-,-,-,-,11,3,9,15,-
Lackawanna County ,42069,-,-,-,-,-,-,-,56,44,38,31,-
Lancaster County ,42071,-,-,-,-,-,-,-,169,122,98,86,-
Lawrence County ,42073,-,-,-,-,-,-,-,12,10,6,11,-
Lebanon County ,42075,-,-,-,-,-,-,-,70,63,30,21,-
Lehigh County ,42077,-,-,-,-,-,-,-,79,110,65,73,-
Luzerne County ,42079,-,-,-,-,-,-,-,159,188,62,52,-
Lycoming County ,42081,-,-,-,-,-,-,-,37,26,25,19,-
McKean County ,42083,-,-,-,-,-,-,-,27,24,13,7,-
Mercer County ,42085,-,-,-,-,-,-,-,57,49,40,33,-
Mifflin County ,42087,-,-,-,-,-,-,-,37,44,14,16,-
Monroe County ,42089,-,-,-,-,-,-,-,54,52,27,29,-
Montgomery County ,42091,-,-,-,-,-,-,-,62,76,57,31,-
Montour County ,42093,-,-,-,-,-,-,-,4,1,4,1,-
Northampton County ,42095,-,-,-,-,-,-,-,113,144,61,54,-
Northumberland County ,42097,-,-,-,-,-,-,-,43,35,16,23,-
Perry County ,42099,-,-,-,-,-,-,-,6,47,16,14,-
Philadelphia County ,42101,-,-,-,-,-,-,-,525,483,395,314,-
Pike County ,42103,-,-,-,-,-,-,-,4,5,1,5,-
Potter County ,42105,-,-,-,-,-,-,-,10,9,13,3,-
Schuylkill County ,42107,-,-,-,-,-,-,-,111,108,35,38,-
Snyder County ,42109,-,-,-,-,-,-,-,7,5,12,10,-
Somerset County ,42111,-,-,-,-,-,-,-,2,15,6,9,-
Sullivan County ,42113,-,-,-,-,-,-,-,0,2,1,1,-
Susquehanna County ,42115,-,-,-,-,-,-,-,10,15,4,9,-
Tioga County ,42117,-,-,-,-,-,-,-,20,18,18,18,-
Union County ,42119,-,-,-,-,-,-,-,13,7,5,7,-
Venango County ,42121,-,-,-,-,-,-,-,21,11,12,12,-
Warren County ,42123,-,-,-,-,-,-,-,4,14,9,4,-
Washington County ,42125,-,-,-,-,-,-,-,26,41,21,23,-
Wayne County ,42127,-,-,-,-,-,-,-,44,8,11,9,-
Westmoreland County ,42129,-,-,-,-,-,-,-,114,125,46,68,-
Wyoming County ,42131,-,-,-,-,-,-,-,6,9,4,4,-
"York, County",42133,-,-,-,-,-,-,-,119,124,67,58,-
