County,FIPS_Code,2010_Physical,2010_Emotional,2010_Neglect,2010_Sexual,2011_Physical,2011_Emotional,2011_Neglect,2011_Sexual,2012_Physical,2012_Emotional,2012_Neglect,2012_Sexual,2013_Physical,2013_Emotional,2013_Neglect,2013_Sexual,2014_Physical,2014_Emotional,2014_Neglect,2014_Sexual,2015_Physical,2015_Emotional,2015_Neglect,2015_Sexual,2016_Physical,2016_Emotional,2016_Neglect,2016_Sexual,2017_Physical,2017_Emotional,2017_Neglect,2017_Sexual,2018_Physical,2018_Emotional,2018_Neglect,2018_Sexual,2019_Physical,2019_Emotional,2019_Neglect,2019_Sexual,2020_Physical,2020_Emotional,2020_Neglect,2020_Sexual,2021_Physical,2021_Emotional,2021_Neglect,2021_Sexual
Accomack County ,51001,140,17,199,22,101,23,177,18,111,29,140,15,123,17,216,8,94,31,187,18,98,24,231,17,116,11,249,24,106,14,232,16,106,28,313,8,107,7,207,13,77,30,143,12,53,30,147,18
Albemarle County ,51003,216,50,315,38,194,73,341,36,269,62,399,58,232,146,360,39,178,106,321,48,160,45,307,32,166,74,287,32,161,137,436,32,206,192,700,49,149,90,471,38,130,67,543,42,99,87,449,39
Alleghany County ,51005,36,12,73,13,45,19,133,15,57,24,93,17,69,12,97,9,61,15,99,10,71,9,151,5,47,12,91,6,62,5,121,7,117,19,183,10,84,11,150,2,63,7,161,8,51,15,129,21
Amelia County ,51007,43,3,54,5,30,6,58,7,33,3,42,7,22,4,41,4,41,5,45,4,29,4,65,5,41,4,38,10,21,5,82,4,47,3,93,8,55,3,60,11,37,4,37,2,29,11,81,11
Amherst County ,51009,55,3,109,8,59,6,160,15,54,7,128,17,46,14,130,17,60,10,133,20,61,6,120,12,57,11,178,57,106,19,304,19,140,31,377,38,71,17,207,17,85,39,289,18,95,31,288,31
Appomattox County ,51011,54,11,74,8,34,11,74,10,27,9,65,11,41,15,77,4,29,18,49,4,41,15,97,8,28,11,79,5,31,30,105,11,72,37,190,10,53,27,104,11,32,28,75,10,71,30,97,11
Arlington County ,51013,110,171,186,57,202,172,291,29,214,164,386,34,217,193,287,46,150,99,242,25,136,110,183,23,151,119,213,20,263,162,306,29,397,172,381,52,163,62,275,39,186,30,185,19,141,57,203,27
Augusta County ,51015,147,4,646,60,162,14,627,70,264,12,634,60,249,13,786,95,292,6,710,57,236,11,643,45,212,10,809,47,323,30,1073,52,427,25,1314,71,187,10,564,38,158,9,571,38,114,8,540,53
Bath County ,51017,1,-,12,2,2,-,19,0,3,2,2,-,10,-,14,2,10,4,36,2,14,5,40,1,11,2,41,1,9,4,45,3,14,4,51,2,12,8,15,1,13,4,34,2,22,4,32,3
Bedford County ,51019,148,14,410,29,143,19,472,29,14,34,340,1,126,30,322,56,142,28,386,34,149,46,431,41,177,60,464,63,174,59,532,34,286,114,1021,65,174,79,678,41,172,29,656,47,141,56,596,44
