County,FIPS_Code,2010_Emotional,2011_Emotional,2012_Emotional,2013_Emotional,2014_Emotional,2015_Emotional,2016_Emotional,2017_Emotional,2018_Emotional,2019_Emotional,2020_Emotional,2021_Emotional
Accomack County ,51001,17,23,29,17,31,24,11,14,28,7,30,30
Albemarle County ,51003,50,73,62,146,106,45,74,137,192,90,67,87
Alleghany County ,51005,12,19,24,12,15,9,12,5,19,11,7,15
Amelia County ,51007,3,6,3,4,5,4,4,5,3,3,4,11
Amherst County ,51009,3,6,7,14,10,6,11,19,31,17,39,31
Appomattox County ,51011,11,11,9,15,18,15,11,30,37,27,28,30
Arlington County ,51013,171,172,164,193,99,110,119,162,172,62,30,57
Augusta County ,51015,4,14,12,13,6,11,10,30,25,10,9,8
Bath County ,51017,-,-,2,-,4,5,2,4,4,8,4,4
Bedford County ,51019,14,19,34,30,28,46,60,59,114,79,29,56
Bland County ,51021,5,1,2,0,1,1,3,2,1,7,10,6
Botetourt County ,51023,3,-,10,1,3,5,8,4,10,11,6,10
Brunswick County ,51025,5,2,4,1,1,2,8,6,8,6,12,14
Buchanan County ,51027,24,13,25,70,17,27,21,33,57,21,18,10
Buckingham County ,51029,20,20,31,21,30,33,35,51,60,53,36,38
Campbell County ,51031,41,74,158,74,38,41,28,54,48,26,21,12
Caroline County ,51033,4,9,39,29,36,33,14,4,9,2,-,-
Carroll County ,51035,16,6,15,22,13,0,11,19,15,14,20,33
Charles City County ,51036,4,3,4,1,0,-,-,4,5,1,1,10
Charlotte County ,51037,-,1,6,6,11,13,4,0,2,-,10,22
Chesterfield County ,51041,19,24,31,33,31,27,37,78,39,28,38,22
Clarke County ,51043,5,1,2,8,6,4,6,8,6,9,3,3
Craig County ,51045,1,4,0,13,6,16,3,6,12,26,21,26
Culpeper County ,51047,7,9,24,39,49,45,14,13,13,41,36,13
Cumberland County ,51049,2,2,11,9,11,1,11,11,7,19,12,15
Dickenson County ,51051,22,18,37,59,45,58,113,120,117,37,61,35
Dinwiddie County ,51053,6,3,15,13,20,11,2,3,12,11,10,16
Essex County ,51057,1,0,4,27,11,5,11,11,19,36,39,15
Fairfax County ,51059,635,689,766,735,695,717,601,517,574,551,388,376
Fauquier County ,51061,16,8,5,18,16,15,11,18,16,33,28,14
Floyd County ,51063,1,2,8,8,9,10,19,13,13,18,21,9
Fluvanna County ,51065,4,13,13,3,4,4,66,85,84,25,46,59
Franklin County ,51067,6,20,85,48,139,116,99,121,196,145,117,174
Frederick County ,51069,18,42,46,54,66,81,105,98,191,147,88,118
Giles County ,51071,47,34,53,22,17,28,21,19,42,42,10,18
Gloucester County ,51073,22,18,21,13,11,34,61,56,52,20,14,11
Goochland County ,51075,1,0,9,6,9,6,1,15,23,14,1,9
Grayson County ,51077,26,10,7,6,-,8,10,1,8,14,8,7
Greene County ,51079,0,1,4,2,1,0,4,8,23,16,20,64
Greensville County ,51081,7,3,-,7,13,4,13,8,9,15,9,2
Halifax County ,51083,15,21,63,77,61,60,65,66,61,44,41,57
Hanover County ,51085,16,17,27,17,12,11,20,22,24,40,61,87
Henrico County ,51087,38,38,38,9,18,41,14,26,26,36,24,16
Henry County ,51089,10,7,-,1,12,19,34,54,70,55,80,94
Highland County ,51091,2,8,3,2,1,5,1,1,3,3,-,1
Isle of Wight County ,51093,39,51,30,36,8,26,16,22,62,52,38,71
James City County ,51095,2,16,19,50,73,112,75,127,137,102,101,90
King and Queen County ,51097,2,2,2,7,-,10,5,11,14,6,8,11
King George County ,51099,4,3,11,17,9,6,5,9,6,24,26,6
King William County ,51101,5,16,38,16,12,16,6,2,4,0,3,16
Lancaster County ,51103,3,1,4,1,2,2,3,2,3,9,5,7
Lee County ,51105,0,4,3,15,20,46,44,112,159,92,71,96
Loudoun County ,51107,427,327,213,202,281,169,185,126,226,140,116,251
Louisa County ,51109,18,26,28,30,28,17,47,70,72,44,41,46
Lunenburg County ,51111,1,0,-,1,1,-,7,-,-,2,2,8
Madison County ,51113,4,1,3,1,2,12,4,17,14,40,22,32
Mathews County ,51115,5,1,9,12,11,18,10,21,22,15,9,7
Mecklenburg County ,51117,5,7,8,4,7,33,4,10,18,42,46,45
Middlesex County ,51119,7,9,1,5,14,5,10,5,5,1,-,5
Montgomery County ,51121,7,4,1,12,10,16,14,42,89,31,72,83
Nelson County ,51125,10,-,1,1,9,3,0,1,5,6,12,22
New Kent County ,51127,3,3,1,0,10,4,11,25,30,19,34,34
Northampton County ,51131,-,-,1,-,-,-,3,2,3,5,9,3
Northumberland County ,51133,2,2,3,0,1,6,-,-,4,2,2,9
Nottoway County ,51135,-,0,-,-,-,-,-,-,1,0,-,1
Orange County ,51137,2,2,9,1,5,43,56,72,67,12,41,60
Page County ,51139,1,3,4,1,5,2,4,1,9,0,2,6
Patrick County ,51141,7,3,14,3,15,12,3,-,5,-,6,7
Pittsylvania County ,51143,14,4,14,25,8,16,17,23,4,3,22,46
Powhatan County ,51145,3,5,0,0,1,2,1,1,15,1,23,30
Prince Edward County ,51147,1,6,10,3,2,6,8,5,14,8,11,15
Prince George County ,51149,15,11,19,9,2,4,4,7,127,6,8,22
Prince William County ,51153,236,370,440,290,267,226,222,95,66,83,138,173
Pulaski County ,51155,16,12,15,12,5,31,146,55,4,41,97,150
Rappahannock County ,51157,0,0,8,3,5,3,1,4,16,12,-,2
Richmond County ,51159,-,2,-,1,0,-,0,1,2,3,-,2
Roanoke County ,51161,29,60,81,60,43,47,50,71,89,79,91,107
Rockbridge County ,51163,0,0,12,7,2,4,3,80,202,52,26,24
Rockingham County ,51165,23,28,33,43,52,29,55,40,74,89,99,66
Russell County ,51167,9,13,37,71,45,103,88,69,152,172,97,128
Scott County ,51169,5,4,22,4,3,10,11,26,35,30,24,9
Shenandoah County ,51171,15,10,17,8,27,35,16,55,72,61,45,20
Smyth County ,51173,17,20,46,75,91,90,95,95,110,53,73,87
Southampton County ,51175,13,16,12,20,12,22,12,16,4,17,14,5
Spotsylvania County ,51177,42,50,55,85,48,65,76,43,56,31,37,49
Stafford County ,51179,5,5,28,62,55,61,124,216,182,84,107,150
Surry County ,51181,3,1,-,2,3,8,2,7,7,2,14,2
Sussex County ,51183,-,3,2,1,0,2,4,-,4,14,6,1
Tazewell County ,51185,20,19,30,45,46,52,65,47,94,71,77,60
Warren County ,51187,7,2,4,9,3,3,10,21,23,10,38,47
Washington County ,51191,29,50,76,64,56,20,32,60,95,120,48,80
Westmoreland County ,51193,11,12,29,16,6,6,5,4,14,10,8,30
Wise County ,51195,5,16,15,12,21,33,33,25,27,11,14,59
Wythe County ,51197,18,12,34,47,50,38,50,73,121,57,25,28
York County ,51199,58,70,35,82,61,68,84,87,162,73,100,96
Alexandria city ,51510,101,71,65,69,69,72,101,93,141,113,139,120
Bristol city ,51520,37,44,35,34,23,26,12,67,79,28,19,34
Buena Vista city ,51530,-,-,1,-,-,-,1,8,8,7,-,-
Charlottesville city ,51540,28,38,35,60,57,38,88,153,205,65,57,80
Chesapeake city ,51550,162,139,121,15,23,21,67,179,330,265,126,128
Colonial Heights,51570,1,2,1,3,0,1,0,1,1,-,-,-
Covington city ,51580,2,3,3,7,4,4,5,9,11,8,11,6
Danville city ,51590,4,0,19,27,40,51,90,49,64,35,43,26
Emporia city ,51595,1,1,-,-,1,-,-,-,-,-,-,-
Fairfax city ,51600,-,-,-,-,-,717,-,2,2,-,-,-
Falls Church city ,51610,-,0,-,-,-,-,-,-,-,-,-,-
Franklin city ,51620,5,0,3,1,15,1,8,19,4,14,8,13
Fredericksburg city ,51630,10,26,22,32,55,56,20,12,17,19,10,18
Galax city ,51640,2,-,2,14,-,3,4,3,12,33,21,52
Hampton city ,51650,15,7,28,8,2,6,29,117,157,51,47,90
Harrisonburg city ,51660,14,9,5,8,17,9,26,11,15,40,49,35
Hopewell,51670,7,16,19,27,28,19,44,38,8,34,41,67
Lexington city ,51678,-,-,-,-,0,-,-,-,-,1,-,-
Lynchburg city ,51680,30,13,6,6,27,4,7,18,37,26,12,38
Manassas city ,51683,8,2,13,3,5,4,2,4,6,3,4,1
Manassas Park city ,51685,-,1,3,2,2,2,3,8,4,7,6,1
Martinsville city ,51690,1,-,-,4,0,5,6,4,8,2,77,85
Newport News city ,51700,50,65,16,22,43,56,41,59,71,92,42,56
Norfolk city ,51710,3,5,7,4,10,3,7,1,7,8,3,1
Norton city ,51720,5,10,7,10,2,4,6,6,12,20,12,11
Petersburg city ,51730,4,7,15,7,12,10,7,2,3,12,13,2
Poquoson city ,51735,0,1,-,-,-,2,6,3,2,-,-,-
Portsmouth city ,51740,159,107,90,147,116,83,45,78,132,88,60,73
Radford city ,51750,1,2,1,17,27,17,19,5,4,15,12,13
Richmond city ,51760,188,185,193,181,52,25,15,17,16,10,7,9
Roanoke city ,51770,7,14,51,57,33,22,19,26,30,27,26,86
Salem city ,51775,-,1,1,-,-,-,-,-,-,-,-,-
Staunton city ,51790,3,2,6,2,5,2,7,1,2,1,3,1
Suffolk city ,51800,16,71,10,23,8,10,19,16,44,37,16,40
Virginia Beach city ,51810,49,28,35,37,40,38,15,10,32,16,29,199
Waynesboro city ,51820,1,1,3,1,1,3,3,10,3,8,20,5
Williamsburg city ,51830,13,10,12,18,10,12,11,14,19,11,6,33
Winchester city ,51840,9,12,23,16,26,37,33,53,105,74,50,53
