County,FIPS_Code,2010_Neglect,2011_Neglect,2012_Neglect,2013_Neglect,2014_Neglect,2015_Neglect,2016_Neglect,2017_Neglect,2018_Neglect,2019_Neglect,2020_Neglect,2021_Neglect
Accomack County ,51001,199,177,140,216,187,231,249,232,313,207,143,147
Albemarle County ,51003,315,341,399,360,321,307,287,436,700,471,543,449
Alleghany County ,51005,73,133,93,97,99,151,91,121,183,150,161,129
Amelia County ,51007,54,58,42,41,45,65,38,82,93,60,37,81
Amherst County ,51009,109,160,128,130,133,120,178,304,377,207,289,288
Appomattox County ,51011,74,74,65,77,49,97,79,105,190,104,75,97
Arlington County ,51013,186,291,386,287,242,183,213,306,381,275,185,203
Augusta County ,51015,646,627,634,786,710,643,809,1073,1314,564,571,540
Bath County ,51017,12,19,2,14,36,40,41,45,51,15,34,32
Bedford County ,51019,410,472,340,322,386,431,464,532,1021,678,656,596
Bland County ,51021,93,67,53,64,31,48,26,29,22,33,35,36
Botetourt County ,51023,36,41,53,32,15,96,43,26,75,64,99,118
Brunswick County ,51025,17,42,89,29,33,39,46,67,118,56,58,71
Buchanan County ,51027,392,305,298,389,302,382,267,206,298,296,269,324
Buckingham County ,51029,159,132,168,156,112,124,140,173,282,165,151,67
Campbell County ,51031,546,626,644,729,556,550,543,666,898,535,483,506
Caroline County ,51033,82,144,215,204,170,154,120,79,112,83,49,29
Carroll County ,51035,362,431,268,349,362,387,339,349,562,376,409,357
Charles City County ,51036,17,10,8,15,5,0,0,8,33,35,30,41
Charlotte County ,51037,118,80,160,90,119,83,54,76,123,96,96,62
Chesterfield County ,51041,763,725,588,581,666,716,702,634,665,441,416,401
Clarke County ,51043,25,11,22,22,90,78,44,59,80,48,49,30
Craig County ,51045,4,52,42,50,29,60,48,38,79,87,64,89
Culpeper County ,51047,192,185,240,221,260,318,215,204,292,327,280,193
Cumberland County ,51049,75,78,52,38,33,69,52,90,98,59,35,87
Dickenson County ,51051,249,272,297,338,265,343,467,444,483,189,195,154
Dinwiddie County ,51053,74,126,136,84,95,74,50,118,190,148,125,113
Essex County ,51057,27,42,88,48,33,38,100,43,92,85,113,107
Fairfax County ,51059,1650,1550,1657,1405,1290,1654,1533,1059,1677,1387,1335,1442
Fauquier County ,51061,238,247,225,189,216,205,204,235,269,187,147,111
Floyd County ,51063,87,93,84,83,99,97,125,142,178,145,145,146
Fluvanna County ,51065,56,85,102,94,81,142,126,127,171,110,84,76
Franklin County ,51067,615,564,603,622,549,588,600,686,850,609,677,757
Frederick County ,51069,485,503,512,622,520,448,521,539,853,642,576,603
Giles County ,51071,332,405,358,414,381,267,321,308,527,262,257,285
Gloucester County ,51073,278,211,223,212,172,211,180,206,278,190,168,134
Goochland County ,51075,27,30,42,34,36,47,34,57,70,45,17,23
Grayson County ,51077,235,219,228,205,-,154,238,164,219,141,169,260
Greene County ,51079,11,24,11,11,16,26,86,67,89,74,60,127
Greensville County ,51081,75,58,129,112,126,116,112,67,97,75,95,69
Halifax County ,51083,290,320,281,427,314,275,336,437,436,234,220,188
Hanover County ,51085,183,120,175,149,183,185,150,124,160,248,231,231
Henrico County ,51087,607,643,695,554,686,578,655,624,891,786,715,805
Henry County ,51089,477,387,305,337,331,267,482,670,995,708,382,349
Highland County ,51091,16,23,12,11,12,26,15,47,34,12,14,17
Isle of Wight County ,51093,171,101,171,174,110,106,171,175,228,183,121,186
James City County ,51095,291,270,311,295,247,250,258,208,363,237,172,171
King and Queen County ,51097,44,32,49,47,41,71,48,77,77,55,52,62
King George County ,51099,75,114,102,105,49,92,107,91,239,137,102,134
King William County ,51101,23,38,74,54,59,18,16,24,32,22,16,26
Lancaster County ,51103,10,7,12,13,10,21,14,28,25,20,26,22
Lee County ,51105,481,577,496,534,523,691,558,818,1071,544,477,384
Loudoun County ,51107,987,884,1197,1159,1129,1085,1063,1146,1701,907,902,1044
Louisa County ,51109,204,194,118,117,225,276,310,387,476,347,208,179
Lunenburg County ,51111,70,48,33,41,45,65,55,86,94,82,96,138
Madison County ,51113,35,32,53,72,56,73,111,91,164,132,98,92
Mathews County ,51115,65,46,49,45,58,40,40,52,57,30,29,27
Mecklenburg County ,51117,119,67,94,137,129,191,231,284,523,216,248,151
Middlesex County ,51119,88,93,53,65,100,98,112,173,167,85,70,53
Montgomery County ,51121,469,519,375,394,381,445,490,527,816,685,752,767
Nelson County ,51125,88,110,135,154,169,130,143,145,174,93,112,133
New Kent County ,51127,53,42,62,47,28,34,48,90,112,63,91,99
Northampton County ,51131,8,18,11,17,14,16,16,29,39,41,23,36
Northumberland County ,51133,52,53,79,81,70,48,33,58,65,27,32,56
Nottoway County ,51135,6,5,18,7,5,37,39,34,60,28,25,25
Orange County ,51137,172,142,165,210,174,241,306,311,324,119,225,259
Page County ,51139,50,43,49,35,46,55,57,66,109,53,63,71
Patrick County ,51141,108,133,137,116,200,164,90,146,720,92,137,177
Pittsylvania County ,51143,220,237,236,241,306,349,356,506,39,576,445,362
Powhatan County ,51145,24,28,10,23,24,13,13,27,115,14,28,39
Prince Edward County ,51147,95,75,124,112,111,80,46,67,259,60,79,73
Prince George County ,51149,83,117,153,192,118,108,147,168,2542,213,142,122
