County,FIPS_Code,2010_Physical,2011_Physical,2012_Physical,2013_Physical,2014_Physical,2015_Physical,2016_Physical,2017_Physical,2018_Physical,2019_Physical,2020_Physical,2021_Physical
Accomack County ,51001,140,101,111,123,94,98,116,106,106,107,77,53
Albemarle County ,51003,216,194,269,232,178,160,166,161,206,149,130,99
Alleghany County ,51005,36,45,57,69,61,71,47,62,117,84,63,51
Amelia County ,51007,43,30,33,22,41,29,41,21,47,55,37,29
Amherst County ,51009,55,59,54,46,60,61,57,106,140,71,85,95
Appomattox County ,51011,54,34,27,41,29,41,28,31,72,53,32,71
Arlington County ,51013,110,202,214,217,150,136,151,263,397,163,186,141
Augusta County ,51015,147,162,264,249,292,236,212,323,427,187,158,114
Bath County ,51017,1,2,3,10,10,14,11,9,14,12,13,22
Bedford County ,51019,148,143,14,126,142,149,177,174,286,174,172,141
Bland County ,51021,56,24,5,23,12,14,8,15,7,17,8,7
Botetourt County ,51023,32,23,26,48,29,30,26,36,39,47,43,51
Brunswick County ,51025,13,24,24,27,13,12,31,28,37,37,29,30
Buchanan County ,51027,68,53,48,77,51,59,65,50,75,70,32,40
Buckingham County ,51029,47,45,60,43,80,49,52,76,81,60,51,36
Campbell County ,51031,143,196,173,179,125,118,102,102,124,90,64,94
Caroline County ,51033,60,104,117,78,95,72,66,49,66,40,28,32
Carroll County ,51035,117,98,93,87,99,68,79,91,136,76,58,57
Charles City County ,51036,6,7,1,5,8,2,2,6,15,14,6,12
Charlotte County ,51037,42,32,43,41,49,26,27,23,34,33,21,30
Chesterfield County ,51041,314,272,286,261,270,290,380,324,397,420,412,404
Clarke County ,51043,7,11,7,16,27,26,27,17,28,35,24,17
Craig County ,51045,7,15,18,14,17,9,16,14,26,34,13,25
Culpeper County ,51047,100,121,147,129,163,149,102,103,155,161,123,133
Cumberland County ,51049,58,31,20,21,12,20,22,30,56,15,23,27
Dickenson County ,51051,68,55,48,81,54,86,90,74,98,56,42,36
Dinwiddie County ,51053,41,50,72,62,44,57,25,58,90,72,50,46
Essex County ,51057,23,26,22,35,15,10,29,32,28,33,36,26
Fairfax County ,51059,1366,1317,1334,988,976,1064,930,825,1432,1046,1059,777
Fauquier County ,51061,99,105,78,81,74,83,105,91,141,82,74,84
Floyd County ,51063,19,44,41,37,31,41,38,56,82,44,27,17
Fluvanna County ,51065,36,40,29,40,55,46,57,44,51,31,34,35
Franklin County ,51067,142,153,172,188,149,172,170,196,26,149,186,187
Frederick County ,51069,189,205,240,263,198,199,200,192,354,236,223,202
Giles County ,51071,120,123,120,79,107,80,92,78,132,110,52,67
Gloucester County ,51073,95,72,87,60,70,99,80,145,138,107,134,71
Goochland County ,51075,13,18,17,22,19,27,12,35,52,31,15,23
Grayson County ,51077,42,44,47,36,35,27,26,43,58,25,22,27
Greene County ,51079,20,18,21,22,28,31,23,19,48,56,22,68
Greensville County ,51081,29,29,46,38,47,41,49,26,53,32,38,28
Halifax County ,51083,123,126,104,143,105,87,102,136,128,79,99,68
Hanover County ,51085,122,107,131,89,115,94,87,103,174,149,135,187
Henrico County ,51087,390,468,487,366,469,414,492,450,631,585,326,321
Henry County ,51089,140,97,61,62,65,72,149,169,262,181,100,99
Highland County ,51091,4,3,3,1,0,5,3,13,7,6,8,4
Isle of Wight County ,51093,73,72,74,69,60,64,61,72,99,64,62,64
James City County ,51095,223,149,148,111,102,87,69,85,150,77,73,82
King and Queen County ,51097,16,20,10,8,13,24,27,31,45,16,12,15
King George County ,51099,28,58,55,56,71,45,44,69,108,86,68,52
King William County ,51101,24,39,42,69,60,29,34,21,29,13,11,7
Lancaster County ,51103,9,12,12,25,32,14,15,13,28,16,15,6
Lee County ,51105,91,110,126,112,132,119,162,212,352,134,136,118
Loudoun County ,51107,469,448,531,475,511,497,486,472,763,465,454,514
Louisa County ,51109,130,88,57,90,99,107,143,132,143,125,79,39
Lunenburg County ,51111,15,20,26,13,21,17,12,15,16,23,11,39
Madison County ,51113,20,22,48,43,50,31,39,44,77,53,29,35
Mathews County ,51115,57,43,32,16,32,18,21,17,41,22,25,5
Mecklenburg County ,51117,49,33,21,55,63,72,85,143,202,70,77,67
Middlesex County ,51119,44,34,24,37,48,54,62,72,94,44,23,22
Montgomery County ,51121,105,107,82,118,139,130,143,193,319,245,251,249
Nelson County ,51125,26,20,40,16,26,36,40,57,61,18,34,32
New Kent County ,51127,39,24,16,17,15,20,23,27,13,47,48,31
Northampton County ,51131,13,9,20,12,6,7,12,12,48,19,22,11
Northumberland County ,51133,14,15,34,22,31,14,8,17,32,17,18,11
Nottoway County ,51135,5,5,6,3,4,18,21,11,20,26,24,9
Orange County ,51137,88,84,54,66,67,104,124,107,140,87,76,71
Page County ,51139,36,48,36,36,35,29,29,34,54,16,44,71
Patrick County ,51141,80,47,77,62,66,54,33,27,35,49,48,39
Pittsylvania County ,51143,86,93,111,124,128,146,147,152,221,177,119,92
Powhatan County ,51145,21,20,15,19,6,9,9,14,35,16,17,55
Prince Edward County ,51147,41,36,49,75,51,43,38,36,60,28,19,23
Prince George County ,51149,44,61,99,92,75,100,69,82,96,65,54,43
Prince William County ,51153,1027,1208,1523,1526,1661,1689,1943,1888,2260,1340,1224,"1,215"
Pulaski County ,51155,232,204,207,207,177,271,262,269,290,261,192,181
Rappahannock County ,51157,1,8,20,19,14,25,19,20,38,11,18,18
Richmond County ,51159,12,10,7,5,7,6,5,9,15,10,5,7
Roanoke County ,51161,169,245,230,198,198,248,228,232,307,247,214,243
Rockbridge County ,51163,19,14,18,22,21,18,37,71,167,106,60,46
Rockingham County ,51165,220,320,327,268,294,279,292,282,486,300,349,246
Russell County ,51167,69,63,75,116,122,110,120,163,244,172,129,72
Scott County ,51169,39,45,83,79,83,57,115,117,162,108,68,64
Shenandoah County ,51171,80,59,65,95,148,239,185,123,202,137,105,83
Smyth County ,51173,148,147,164,182,230,168,214,161,233,146,126,135
Southampton County ,51175,35,37,34,46,33,24,17,27,32,22,25,13
Spotsylvania County ,51177,276,288,268,214,231,316,380,368,469,236,223,192
Stafford County ,51179,77,125,151,150,150,191,195,197,322,210,192,151
Surry County ,51181,6,13,11,4,9,12,16,11,17,12,17,7
Sussex County ,51183,23,13,14,7,7,18,6,15,40,16,19,11
Tazewell County ,51185,207,169,149,132,138,164,169,151,236,170,92,84
Warren County ,51187,70,54,63,80,88,74,61,97,125,122,129,100
Washington County ,51191,118,177,194,200,158,170,142,205,294,639,148,128
Westmoreland County ,51193,36,37,73,79,41,26,31,62,105,78,31,76
Wise County ,51195,192,194,134,167,161,167,152,155,199,108,106,100
Wythe County ,51197,105,123,111,103,129,125,153,122,190,94,90,69
York County ,51199,173,171,190,151,140,125,136,145,271,154,135,160
Alexandria city ,51510,278,307,320,262,293,275,241,208,312,233,258,145
Bristol city ,51520,131,139,99,98,81,74,57,182,251,175,115,115
Buena Vista city ,51530,4,6,8,17,9,35,4,14,8,14,1,1
Charlottesville city ,51540,97,115,121,110,84,123,108,104,145,89,100,69
Chesapeake city ,51550,464,375,429,414,401,378,375,324,629,572,472,483
Colonial Heights,51570,14,19,22,11,23,16,15,8,14,1,-,8
Covington city ,51580,20,8,15,14,22,30,26,46,74,12,18,22
Danville city ,51590,115,101,144,127,143,121,188,190,252,127,112,95
Emporia city ,51595,5,3,11,4,1,1,4,-,-,-,1,9
Fairfax city ,51600,1366,1317,1334,-,-,1064,- ,-,-,-,1,-
Falls Church city ,51610,-,2,-,-,-,-,- ,-,-,-,-,-
Franklin city ,51620,28,46,35,38,34,13,28,15,26,29,40,15
Fredericksburg city ,51630,88,51,63,77,48,62,79,70,103,106,53,48
Galax city ,51640,21,15,26,8,9,14,23,18,35,24,25,23
Hampton city ,51650,291,323,359,274,258,205,172,251,367,323,232,184
Harrisonburg city ,51660,100,91,74,87,103,106,126,182,290,148,131,98
Hopewell,51670,70,62,47,82,79,69,78,55,83,67,64,50
Lexington city ,51678,1,1,1,2,1,2,3,6,-,1,-,-
Lynchburg city ,51680,261,302,268,298,277,226,217,183,322,295,185,226
Manassas city ,51683,95,97,94,73,69,65,35,52,79,33,41,24
Manassas Park city ,51685,32,37,59,51,48,33,64,61,85,52,42,45
Martinsville city ,51690,5,1,3,17,31,24,5,12,18,1,28,17
Newport News city ,51700,432,435,430,428,433,389,438,421,653,500,355,294
Norfolk city ,51710,624,490,522,482,497,576,606,952,1186,803,686,648
Norton city ,51720,6,8,15,12,12,31,25,16,28,33,25,18
Petersburg city ,51730,65,113,109,105,98,82,109,48,107,79,60,61
Poquoson city ,51735,7,0,-,-,9,1,7,3,3,-,-,-
