County,FIPS_Code,2010_Sexual,2011_Sexual,2012_Sexual,2013_Sexual,2014_Sexual,2015_Sexual,2016_Sexual,2017_Sexual,2018_Sexual,2019_Sexual,2020_Sexual,2021_Sexual
Accomack County ,51001,22,18,15,8,18,17,24,16,8,13,12,18
Albemarle County ,51003,38,36,58,39,48,32,32,32,49,38,42,39
Alleghany County ,51005,13,15,17,9,10,5,6,7,10,2,8,21
Amelia County ,51007,5,7,7,4,4,5,10,4,8,11,2,11
Amherst County ,51009,8,15,17,17,20,12,57,19,38,17,18,31
Appomattox County ,51011,8,10,11,4,4,8,5,11,10,11,10,11
Arlington County ,51013,57,29,34,46,25,23,20,29,52,39,19,27
Augusta County ,51015,60,70,60,95,57,45,47,52,71,38,38,53
Bath County ,51017,2,0,-,2,2,1,1,3,2,1,2,3
Bedford County ,51019,29,29,1,56,34,41,63,34,65,41,47,44
Bland County ,51021,9,3,6,1,0,-,-,1,6,4,1,7
Botetourt County ,51023,13,2,9,6,4,9,9,12,8,12,15,8
Brunswick County ,51025,4,6,7,2,3,6,6,3,5,3,3,6
Buchanan County ,51027,14,6,17,18,12,12,18,11,21,20,17,17
Buckingham County ,51029,24,30,31,17,10,15,5,8,21,16,17,19
Campbell County ,51031,33,12,53,40,58,34,24,26,31,24,31,48
Caroline County ,51033,26,12,21,23,18,17,20,11,19,15,11,13
Carroll County ,51035,24,15,12,17,10,20,13,29,53,30,21,24
Charles City County ,51036,-,2,1,1,1,1,1,3,3,7,2,0
Charlotte County ,51037,6,3,10,8,8,7,2,4,13,10,1,2
Chesterfield County ,51041,105,109,95,107,82,106,95,90,82,86,86,89
Clarke County ,51043,1,3,5,4,7,6,6,5,3,8,3,5
Craig County ,51045,-,4,5,6,4,1,1,8,6,3,3,1
Culpeper County ,51047,11,41,40,16,34,25,20,20,22,35,26,30
Cumberland County ,51049,7,6,9,3,7,3,3,11,8,6,6,15
Dickenson County ,51051,20,7,17,20,13,14,23,12,14,9,14,9
Dinwiddie County ,51053,13,12,17,7,21,6,14,19,13,19,11,12
Essex County ,51057,15,7,2,9,0,6,9,4,8,5,9,6
Fairfax County ,51059,327,296,304,218,218,195,187,159,247,243,190,212
Fauquier County ,51061,25,37,28,22,24,9,10,18,19,16,11,21
Floyd County ,51063,18,8,10,8,24,7,5,6,23,7,12,8
Fluvanna County ,51065,22,14,5,13,20,11,19,12,19,12,14,13
Franklin County ,51067,43,43,47,46,32,30,39,69,3,26,37,45
Frederick County ,51069,52,50,60,48,51,45,38,51,49,33,37,52
Giles County ,51071,27,27,52,21,26,23,21,18,24,20,20,12
Gloucester County ,51073,26,26,12,12,24,18,15,14,21,17,24,18
Goochland County ,51075,3,6,9,11,8,5,4,5,8,6,8,3
Grayson County ,51077,10,13,14,6,9,6,7,9,12,-,10,12
Greene County ,51079,5,4,11,3,7,5,3,8,9,14,8,14
Greensville County ,51081,11,6,10,11,9,19,11,9,7,15,3,4
Halifax County ,51083,44,48,44,41,21,28,17,25,16,8,10,10
Hanover County ,51085,44,20,17,15,25,37,19,17,17,26,35,49
Henrico County ,51087,76,74,76,71,75,67,78,91,124,100,70,136
Henry County ,51089,41,29,30,22,18,17,41,39,49,59,29,39
Highland County ,51091,4,1,-,-,0,-,1,-,1,-,2,-
Isle of Wight County ,51093,17,19,18,13,8,13,8,17,25,7,6,12
James City County ,51095,17,19,8,11,14,10,15,20,20,18,24,17
King and Queen County ,51097,2,5,8,6,4,2,5,5,5,5,1,5
King George County ,51099,12,20,24,10,15,10,16,10,16,19,7,10
King William County ,51101,8,10,8,14,13,17,7,5,11,0,1,4
Lancaster County ,51103,2,3,5,4,3,5,9,17,8,3,8,6
Lee County ,51105,16,17,36,30,42,24,29,21,35,18,17,18
Loudoun County ,51107,122,109,111,125,117,90,86,99,133,106,82,102
Louisa County ,51109,32,39,12,26,42,26,41,26,20,14,15,22
Lunenburg County ,51111,6,12,12,4,12,4,6,4,6,8,8,9
Madison County ,51113,13,7,7,11,7,4,17,8,8,10,7,15
Mathews County ,51115,4,9,7,5,5,2,3,2,6,6,3,7
Mecklenburg County ,51117,15,11,9,11,16,26,21,19,7,27,6,21
Middlesex County ,51119,12,5,6,2,11,2,5,8,6,2,5,6
Montgomery County ,51121,26,40,30,31,35,28,29,44,50,48,36,59
Nelson County ,51125,8,13,13,5,10,0,7,8,11,7,10,15
New Kent County ,51127,5,8,8,3,9,4,5,14,4,11,15,11
Northampton County ,51131,4,7,-,8,4,2,2,9,8,1,4,6
Northumberland County ,51133,1,3,4,3,5,4,1,6,4,2,1,5
Nottoway County ,51135,0,7,1,2,3,10,7,6,11,7,4,3
Orange County ,51137,26,28,17,29,33,27,30,15,20,31,24,27
Page County ,51139,8,12,8,3,8,5,5,5,2,6,8,9
Patrick County ,51141,22,13,12,7,8,5,12,8,11,5,5,9
Pittsylvania County ,51143,45,32,27,32,30,28,33,39,50,32,29,41
Powhatan County ,51145,2,4,6,8,8,9,0,0,5,2,2,16
Prince Edward County ,51147,15,12,8,13,8,14,7,8,13,11,5,10
Prince George County ,51149,9,17,27,15,13,12,8,4,16,18,12,13
Prince William County ,51153,210,228,225,204,200,141,225,175,273,154,160,197
Pulaski County ,51155,60,42,34,38,55,28,49,37,47,28,34,32
Rappahannock County ,51157,0,1,3,8,0,2,1,5,5,5,3,0
Richmond County ,51159,-,1,1,1,2,1,2,1,1,2,3,6
Roanoke County ,51161,69,51,47,39,45,40,29,29,49,36,30,43
Rockbridge County ,51163,13,13,9,6,9,4,15,22,32,17,16,15
Rockingham County ,51165,70,70,68,82,49,55,37,75,64,68,49,55
Russell County ,51167,24,20,32,29,26,33,26,35,54,28,27,17
Scott County ,51169,5,7,8,16,8,13,15,23,27,14,19,15
Shenandoah County ,51171,28,47,33,36,66,40,29,30,39,27,23,25
Smyth County ,51173,34,33,36,39,37,26,34,34,29,23,31,31
Southampton County ,51175,8,8,13,9,8,8,2,4,13,3,8,5
Spotsylvania County ,51177,76,48,43,70,64,68,53,53,83,36,40,47
Stafford County ,51179,37,40,50,28,42,59,29,39,53,72,61,56
Surry County ,51181,2,0,5,1,4,1,6,2,4,2,0,2
Sussex County ,51183,7,6,4,7,-,7,3,3,7,9,2,5
Tazewell County ,51185,38,32,27,35,19,18,24,23,46,38,24,32
Warren County ,51187,22,23,25,20,11,13,7,19,24,11,24,15
Washington County ,51191,26,28,37,37,27,31,32,35,54,34,26,24
Westmoreland County ,51193,5,14,12,8,9,10,4,6,8,1,7,18
Wise County ,51195,37,27,37,18,16,25,24,25,32,33,26,32
Wythe County ,51197,23,16,26,23,15,14,17,16,18,13,12,14
York County ,51199,38,20,35,30,9,11,22,38,53,17,15,30
Alexandria city ,51510,61,59,44,33,56,32,14,29,38,35,32,38
Bristol city ,51520,38,34,43,30,24,23,22,49,46,23,19,29
Buena Vista city ,51530,1,3,1,0,3,1,3,11,7,1,-,-
Charlottesville city ,51540,36,45,28,18,17,9,17,28,47,19,8,15
Chesapeake city ,51550,78,106,95,78,66,88,76,79,107,95,76,69
Colonial Heights,51570,7,9,7,9,5,2,4,4,4,2,-,1
Covington city ,51580,2,2,8,3,6,7,0,5,5,1,2,1
Danville city ,51590,26,40,24,36,24,19,19,27,22,23,14,26
Emporia city ,51595,0,2,1,-,-,-,-,-,-,-,-,1
Fairfax city ,51600,327,296,304,-,-,195,-,-,-,-,-,-
Falls Church city ,51610,-,0,-,-,-,-,-,-,-,-,-,-
Franklin city ,51620,11,11,10,11,4,10,6,7,3,5,4,2
Fredericksburg city ,51630,16,18,13,8,11,9,28,22,18,13,14,13
Galax city ,51640,7,-,4,13,0,2,5,1,6,11,6,16
Hampton city ,51650,79,61,51,37,49,32,26,53,61,71,45,54
Harrisonburg city ,51660,34,42,18,16,18,32,31,19,38,35,10,18
Hopewell,51670,34,16,16,24,20,16,13,16,19,10,8,17
Lexington city ,51678,2,1,-,2,0,0,1,2,-,-,-,-
Lynchburg city ,51680,55,58,63,47,31,44,60,38,40,33,35,51
Manassas city ,51683,28,19,20,33,21,18,22,14,23,29,15,17
Manassas Park city ,51685,9,9,11,7,12,8,10,7,16,8,13,8
Martinsville city ,51690,0,-,3,6,2,3,-,1,1,0,6,6
Newport News city ,51700,109,72,66,69,60,87,60,65,91,104,75,79
Norfolk city ,51710,108,107,114,97,77,80,107,78,91,97,57,82
Norton city ,51720,3,12,3,2,3,5,9,9,5,1,3,8
Petersburg city ,51730,18,16,17,20,35,14,22,15,13,12,17,24
Poquoson city ,51735,0,0,-,-,3,-,1,-,-,-,-,-
Portsmouth city ,51740,84,79,72,63,63,69,59,60,82,58,28,33
Radford city ,51750,5,12,4,12,14,6,7,9,12,28,6,10
Richmond city ,51760,123,97,138,141,103,119,110,105,124,80,53,58
Roanoke city ,51770,77,68,84,71,62,64,52,66,90,81,94,73
Salem city ,51775,2,1,-,-,-,0,-,-,0,-,-,-
Staunton city ,51790,24,30,41,25,20,22,24,6,21,24,14,12
Suffolk city ,51800,25,54,19,24,26,28,19,37,28,41,31,26
Virginia Beach city ,51810,204,163,173,163,168,92,106,93,162,97,100,131
Waynesboro city ,51820,17,21,19,35,16,17,10,1,15,21,13,11
Williamsburg city ,51830,5,6,4,2,5,2,4,5,4,3,2,2
Winchester city ,51840,31,37,17,39,37,35,18,13,34,34,30,37
