County,FIPS_Code,2010_Physical,2010_Emotional,2010_Neglect,2010_Sexual,2011_Physical,2011_Emotional,2011_Neglect,2011_Sexual,2012_Physical,2012_Emotional,2012_Neglect,2012_Sexual,2013_Physical,2013_Emotional,2013_Neglect,2013_Sexual,2014_Physical,2014_Emotional,2014_Neglect,2014_Sexual,2015_Physical,2015_Emotional,2015_Neglect,2015_Sexual,2016_Physical,2016_Emotional,2016_Neglect,2016_Sexual,2017_Physical,2017_Emotional,2017_Neglect,2017_Sexual,2018_Physical,2018_Emotional,2018_Neglect,2018_Sexual,2019_Physical,2019_Emotional,2019_Neglect,2019_Sexual,2020_Physical,2020_Emotional,2020_Neglect,2020_Sexual,2021_Physical,2021_Emotional,2021_Neglect,2021_Sexual
Adams County ,55001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,0,13,23,82,8,216,55,3,0,46,6,0,0,52,4,0,0,28,9,-,-,-,-
Ashland County ,55003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,0,22,6,83,2,106,20,5,0,22,11,7,5,19,12,3,0,19,4,-,-,-,-
Barron County ,55005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,0,34,4,26,2,152,63,4,0,79,11,9,0,43,4,3,0,22,8,-,-,-,-
Bayfield County ,55007,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,0,11,2,28,1,53,10,2,15,4,4,2,0,8,3,0,0,8,1,-,-,-,-
Brown County ,55009,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,0,120,36,296,19,887,243,28,0,165,35,34,0,112,36,28,1,163,42,-,-,-,-
Buffalo County ,55011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,6,3,24,12,85,13,3,0,12,1,1,0,23,1,1,1,13,1,-,-,-,-
Burnett County ,55013,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,0,41,7,37,0,241,19,7,0,30,9,3,0,27,3,1,0,29,8,-,-,-,-
Calumet County ,55015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,0,4,8,48,0,23,20,5,0,6,9,2,0,16,8,4,0,11,7,-,-,-,-
Chippewa County ,55017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,0,103,9,59,10,151,46,4,0,53,10,2,0,37,10,4,0,40,12,-,-,-,-
Clark County ,55019,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,0,18,4,48,11,92,21,8,0,25,18,5,0,25,15,2,0,24,15,-,-,-,-
Columbia County ,55021,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,0,10,4,115,39,294,70,3,0,10,9,6,0,20,7,2,0,10,3,-,-,-,-
Crawford County ,55023,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,0,13,2,31,4,66,23,2,0,23,4,1,2,14,6,3,1,31,1,-,-,-,-
Dane County ,55025,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41,1,173,77,599,24,1373,403,39,0,132,55,29,0,128,82,35,0,144,47,-,-,-,-
Dodge County ,55027,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,0,15,7,50,9,114,51,6,0,9,12,8,0,24,8,5,0,24,7,-,-,-,-
Door County ,55029,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,1,5,5,78,19,132,15,2,0,2,3,1,0,7,4,3,0,12,1,-,-,-,-
Douglas County ,55031,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,0,31,13,65,5,256,58,6,0,65,11,3,0,21,2,3,0,16,5,-,-,-,-
Dunn County ,55033,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,39,18,59,3,163,46,5,0,27,3,7,0,17,8,4,2,29,8,-,-,-,-
Eau Claire County ,55035,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,0,58,22,91,5,279,104,11,0,81,18,16,0,75,27,10,2,125,32,-,-,-,-
Florence County ,55037,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,2,0,7,1,39,3,0,0,6,0,0,0,2,0,0,0,1,0,-,-,-,-
Fond du Lac County ,55039,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,1,116,30,89,19,446,94,17,1,91,21,12,0,68,24,8,0,52,26,-,-,-,-
Forest County ,55041,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,0,10,0,38,11,83,18,4,7,34,5,0,0,17,0,2,0,13,1,-,-,-,-
Grant County ,55043,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,0,34,9,122,10,207,38,9,0,51,8,7,0,32,11,6,0,58,11,-,-,-,-
Green County ,55045,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,2,22,2,100,10,265,40,5,0,21,4,7,2,17,3,2,0,14,3,-,-,-,-
Green Lake County ,55047,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,4,2,16,0,22,27,2,1,8,5,4,0,19,9,2,0,22,8,-,-,-,-
Iowa County ,55049,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,0,7,1,54,17,78,19,2,0,18,4,2,2,8,2,3,0,7,2,-,-,-,-
Iron County ,55051,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,3,0,11,6,39,5,1,0,5,2,3,0,6,0,2,0,11,2,-,-,-,-
Jackson County ,55053,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,0,23,5,35,3,95,12,8,0,42,5,3,1,34,6,5,1,35,4,-,-,-,-
Jefferson County ,55055,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,0,26,11,28,4,67,44,10,0,12,25,14,0,35,12,4,0,19,21,-,-,-,-
Juneau County ,55057,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,3,32,14,62,6,202,45,4,0,44,6,5,0,32,11,4,0,26,12,-,-,-,-
Kenosha County ,55059,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35,0,144,24,363,1,850,113,28,0,200,32,32,0,218,35,22,0,147,35,-,-,-,-
Kewaunee County ,55061,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,1,5,0,11,2,0,0,0,1,0,0,0,1,0,0,2,0,-,-,-,-
La Crosse County ,55063,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,2,56,16,72,8,200,83,13,1,42,16,2,0,33,14,6,0,8,17,-,-,-,-
Lafayette County ,55065,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,11,4,36,1,73,15,3,0,13,4,4,0,20,0,0,2,4,2,-,-,-,-
Langlade County ,55067,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,0,51,3,28,0,229,17,5,0,77,6,4,0,44,10,4,0,26,2,-,-,-,-
Lincoln County ,55069,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,0,8,5,62,2,139,39,10,2,67,7,5,0,39,2,7,0,25,2,-,-,-,-
Manitowoc County ,55071,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,0,74,14,42,3,147,57,20,0,89,12,15,1,103,12,14,1,75,19,-,-,-,-
Marathon County ,55073,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,0,194,47,95,5,305,130,15,2,121,36,12,1,79,23,5,0,51,44,-,-,-,-
Marinette County ,55075,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,1,58,2,37,4,124,15,3,0,53,5,9,0,29,9,4,0,37,4,-,-,-,-
Marquette County ,55077,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,0,3,3,25,3,42,19,1,0,4,4,1,0,6,4,1,0,8,3,-,-,-,-
Menominee County ,55078,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,0,6,0,28,3,116,12,0,0,17,4,1,0,20,5,1,0,20,1,-,-,-,-
Milwaukee County ,55079,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,234,1,407,192,3299,140,8869,1207,188,2,392,222,247,1,438,195,146,1,293,173,-,-,-,-
Monroe County ,55081,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,3,48,8,149,12,354,56,17,2,79,12,7,4,51,6,2,0,52,9,-,-,-,-
Oconto County ,55083,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,0,23,7,77,11,192,52,3,0,21,8,6,0,32,7,8,4,26,5,-,-,-,-
Oneida County ,55085,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,1,41,7,38,6,146,22,6,2,68,8,3,1,50,4,2,0,65,6,-,-,-,-
Outagamie County ,55087,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,1,58,18,179,19,406,153,14,3,39,28,12,0,27,19,11,0,15,42,-,-,-,-
Ozaukee County ,55089,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,0,28,4,67,12,150,34,9,0,17,9,8,0,20,12,1,0,21,9,-,-,-,-
Pepin County ,55091,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,1,17,6,26,10,4,0,7,3,0,0,6,1,0,0,10,2,-,-,-,-
Pierce County ,55093,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,0,26,9,35,1,73,40,7,0,41,8,6,0,46,8,2,0,60,9,-,-,-,-
Polk County ,55095,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,0,39,11,81,11,378,72,5,1,52,14,6,0,15,8,5,0,28,4,-,-,-,-
Portage County ,55097,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,0,81,15,93,3,302,40,10,4,79,17,3,1,87,15,9,4,94,15,-,-,-,-
Price County ,55099,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,0,8,7,25,9,59,2,2,0,16,4,5,0,6,3,2,0,7,2,-,-,-,-
Racine County ,55101,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41,0,246,48,314,13,823,254,29,0,121,81,34,0,123,41,25,0,149,45,-,-,-,-
Richland County ,55103,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,1,23,1,23,5,43,15,5,0,11,1,2,0,14,5,1,0,11,3,-,-,-,-
Rock County ,55105,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,2,204,40,366,42,1455,261,25,0,259,47,28,1,184,39,23,0,131,24,-,-,-,-
Rusk County ,55107,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,2,21,1,73,20,1,0,13,2,0,0,7,2,1,0,17,2,-,-,-,-
St. Croix County ,55109,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,0,32,16,133,17,549,77,3,0,38,22,4,0,24,9,7,0,29,14,-,-,-,-
Sauk County ,55111,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,0,32,11,49,6,117,57,6,0,19,6,7,0,18,8,1,1,20,7,-,-,-,-
Sawyer County ,55113,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,10,3,33,7,87,17,3,0,8,5,1,0,12,2,1,0,4,1,-,-,-,-
Shawano County ,55115,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,0,17,1,81,15,180,42,8,1,5,1,5,0,10,5,2,0,9,5,-,-,-,-
Sheboygan County ,55117,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,2,41,18,161,79,501,79,15,7,60,13,19,3,68,13,4,1,22,10,-,-,-,-
Taylor County ,55119,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,0,27,0,31,4,110,21,5,1,19,4,1,0,24,3,4,1,7,7,-,-,-,-
Trempealeau County ,55121,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,0,19,15,58,19,216,27,8,18,47,10,5,0,19,3,4,0,15,4,-,-,-,-
Vernon County ,55123,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,0,15,1,49,24,118,20,3,2,2,2,2,3,9,4,0,0,1,5,-,-,-,-
Vilas County ,55125,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,0,30,3,24,8,135,13,6,2,35,3,7,0,31,2,3,0,14,3,-,-,-,-
