County,FIPS_Code,2010_Emotional,2011_Emotional,2012_Emotional,2013_Emotional,2014_Emotional,2015_Emotional,2016_Emotional,2017_Emotional,2018_Emotional,2019_Emotional,2020_Emotional,2021_Emotional
Adams County ,55001,-,-,-,-,-,-,0,8,0,0,0,-
Ashland County ,55003,-,-,-,-,-,-,0,2,0,5,0,-
Barron County ,55005,-,-,-,-,-,-,0,2,0,0,0,-
Bayfield County ,55007,-,-,-,-,-,-,0,1,15,0,0,-
Brown County ,55009,-,-,-,-,-,-,0,19,0,0,1,-
Buffalo County ,55011,-,-,-,-,-,-,0,12,0,0,1,-
Burnett County ,55013,-,-,-,-,-,-,0,0,0,0,0,-
Calumet County ,55015,-,-,-,-,-,-,0,0,0,0,0,-
Chippewa County ,55017,-,-,-,-,-,-,0,10,0,0,0,-
Clark County ,55019,-,-,-,-,-,-,0,11,0,0,0,-
Columbia County ,55021,-,-,-,-,-,-,0,39,0,0,0,-
Crawford County ,55023,-,-,-,-,-,-,0,4,0,2,1,-
Dane County ,55025,-,-,-,-,-,-,1,24,0,0,0,-
Dodge County ,55027,-,-,-,-,-,-,0,9,0,0,0,-
Door County ,55029,-,-,-,-,-,-,1,19,0,0,0,-
Douglas County ,55031,-,-,-,-,-,-,0,5,0,0,0,-
Dunn County ,55033,-,-,-,-,-,-,1,3,0,0,2,-
Eau Claire County ,55035,-,-,-,-,-,-,0,5,0,0,2,-
Florence County ,55037,-,-,-,-,-,-,0,1,0,0,0,-
Fond du Lac County ,55039,-,-,-,-,-,-,1,19,1,0,0,-
Forest County ,55041,-,-,-,-,-,-,0,11,7,0,0,-
Grant County ,55043,-,-,-,-,-,-,0,10,0,0,0,-
Green County ,55045,-,-,-,-,-,-,2,10,0,2,0,-
Green Lake County ,55047,-,-,-,-,-,-,0,0,1,0,0,-
Iowa County ,55049,-,-,-,-,-,-,0,17,0,2,0,-
Iron County ,55051,-,-,-,-,-,-,0,6,0,0,0,-
Jackson County ,55053,-,-,-,-,-,-,0,3,0,1,1,-
Jefferson County ,55055,-,-,-,-,-,-,0,4,0,0,0,-
Juneau County ,55057,-,-,-,-,-,-,3,6,0,0,0,-
Kenosha County ,55059,-,-,-,-,-,-,0,1,0,0,0,-
Kewaunee County ,55061,-,-,-,-,-,-,0,0,0,0,0,-
La Crosse County ,55063,-,-,-,-,-,-,2,8,1,0,0,-
Lafayette County ,55065,-,-,-,-,-,-,0,1,0,0,2,-
Langlade County ,55067,-,-,-,-,-,-,0,0,0,0,0,-
Lincoln County ,55069,-,-,-,-,-,-,0,2,2,0,0,-
Manitowoc County ,55071,-,-,-,-,-,-,0,3,0,1,1,-
Marathon County ,55073,-,-,-,-,-,-,0,5,2,1,0,-
Marinette County ,55075,-,-,-,-,-,-,1,4,0,0,0,-
Marquette County ,55077,-,-,-,-,-,-,0,3,0,0,0,-
Menominee County ,55078,-,-,-,-,-,-,0,3,0,0,0,-
Milwaukee County ,55079,-,-,-,-,-,-,1,140,2,1,1,-
Monroe County ,55081,-,-,-,-,-,-,3,12,2,4,0,-
Oconto County ,55083,-,-,-,-,-,-,0,11,0,0,4,-
Oneida County ,55085,-,-,-,-,-,-,1,6,2,1,0,-
Outagamie County ,55087,-,-,-,-,-,-,1,19,3,0,0,-
Ozaukee County ,55089,-,-,-,-,-,-,0,12,0,0,0,-
Pepin County ,55091,-,-,-,-,-,-,0,6,0,0,0,-
Pierce County ,55093,-,-,-,-,-,-,0,1,0,0,0,-
Polk County ,55095,-,-,-,-,-,-,0,11,1,0,0,-
Portage County ,55097,-,-,-,-,-,-,0,3,4,1,4,-
Price County ,55099,-,-,-,-,-,-,0,9,0,0,0,-
Racine County ,55101,-,-,-,-,-,-,0,13,0,0,0,-
Richland County ,55103,-,-,-,-,-,-,1,5,0,0,0,-
Rock County ,55105,-,-,-,-,-,-,2,42,0,1,0,-
Rusk County ,55107,-,-,-,-,-,-,0,1,0,0,0,-
St. Croix County ,55109,-,-,-,-,-,-,0,17,0,0,0,-
Sauk County ,55111,-,-,-,-,-,-,0,6,0,0,1,-
Sawyer County ,55113,-,-,-,-,-,-,0,7,0,0,0,-
Shawano County ,55115,-,-,-,-,-,-,0,15,1,0,0,-
Sheboygan County ,55117,-,-,-,-,-,-,2,79,7,3,1,-
Taylor County ,55119,-,-,-,-,-,-,0,4,1,0,1,-
Trempealeau County ,55121,-,-,-,-,-,-,0,19,18,0,0,-
Vernon County ,55123,-,-,-,-,-,-,0,24,2,3,0,-
Vilas County ,55125,-,-,-,-,-,-,0,8,2,0,0,-
Walworth County ,55127,-,-,-,-,-,-,1,9,0,0,0,-
Washburn County ,55129,-,-,-,-,-,-,0,0,0,0,0,-
Washington County ,55131,-,-,-,-,-,-,0,2,0,0,0,-
Waukesha County ,55133,-,-,-,-,-,-,0,19,0,0,1,-
Waupaca County ,55135,-,-,-,-,-,-,0,3,0,0,0,-
Waushara County ,55137,-,-,-,-,-,-,0,2,0,0,0,-
Winnebago County ,55139,-,-,-,-,-,-,0,6,0,0,0,-
Wood County ,55141,-,-,-,-,-,-,0,15,0,0,2,-
