County,FIPS_Code,2010_Neglect,2011_Neglect,2012_Neglect,2013_Neglect,2014_Neglect,2015_Neglect,2016_Neglect,2017_Neglect,2018_Neglect,2019_Neglect,2020_Neglect,2021_Neglect
Adams County ,55001,-,-,-,-,-,-,13,216,46,52,28,-
Ashland County ,55003,-,-,-,-,-,-,22,106,22,19,19,-
Barron County ,55005,-,-,-,-,-,-,34,152,79,43,22,-
Bayfield County ,55007,-,-,-,-,-,-,11,53,4,8,8,-
Brown County ,55009,-,-,-,-,-,-,120,887,165,112,163,-
Buffalo County ,55011,-,-,-,-,-,-,6,85,12,23,13,-
Burnett County ,55013,-,-,-,-,-,-,41,241,30,27,29,-
Calumet County ,55015,-,-,-,-,-,-,4,23,6,16,11,-
Chippewa County ,55017,-,-,-,-,-,-,103,151,53,37,40,-
Clark County ,55019,-,-,-,-,-,-,18,92,25,25,24,-
Columbia County ,55021,-,-,-,-,-,-,10,294,10,20,10,-
Crawford County ,55023,-,-,-,-,-,-,13,66,23,14,31,-
Dane County ,55025,-,-,-,-,-,-,173,1373,132,128,144,-
Dodge County ,55027,-,-,-,-,-,-,15,114,9,24,24,-
Door County ,55029,-,-,-,-,-,-,5,132,2,7,12,-
Douglas County ,55031,-,-,-,-,-,-,31,256,65,21,16,-
Dunn County ,55033,-,-,-,-,-,-,39,163,27,17,29,-
Eau Claire County ,55035,-,-,-,-,-,-,58,279,81,75,125,-
Florence County ,55037,-,-,-,-,-,-,2,39,6,2,1,-
Fond du Lac County ,55039,-,-,-,-,-,-,116,446,91,68,52,-
Forest County ,55041,-,-,-,-,-,-,10,83,34,17,13,-
Grant County ,55043,-,-,-,-,-,-,34,207,51,32,58,-
Green County ,55045,-,-,-,-,-,-,22,265,21,17,14,-
Green Lake County ,55047,-,-,-,-,-,-,4,22,8,19,22,-
Iowa County ,55049,-,-,-,-,-,-,7,78,18,8,7,-
Iron County ,55051,-,-,-,-,-,-,3,39,5,6,11,-
Jackson County ,55053,-,-,-,-,-,-,23,95,42,34,35,-
Jefferson County ,55055,-,-,-,-,-,-,26,67,12,35,19,-
Juneau County ,55057,-,-,-,-,-,-,32,202,44,32,26,-
Kenosha County ,55059,-,-,-,-,-,-,144,850,200,218,147,-
Kewaunee County ,55061,-,-,-,-,-,-,0,11,0,0,2,-
La Crosse County ,55063,-,-,-,-,-,-,56,200,42,33,8,-
Lafayette County ,55065,-,-,-,-,-,-,11,73,13,20,4,-
Langlade County ,55067,-,-,-,-,-,-,51,229,77,44,26,-
Lincoln County ,55069,-,-,-,-,-,-,8,139,67,39,25,-
Manitowoc County ,55071,-,-,-,-,-,-,74,147,89,103,75,-
Marathon County ,55073,-,-,-,-,-,-,194,305,121,79,51,-
Marinette County ,55075,-,-,-,-,-,-,58,124,53,29,37,-
Marquette County ,55077,-,-,-,-,-,-,3,42,4,6,8,-
Menominee County ,55078,-,-,-,-,-,-,6,116,17,20,20,-
Milwaukee County ,55079,-,-,-,-,-,-,407,8869,392,438,293,-
Monroe County ,55081,-,-,-,-,-,-,48,354,79,51,52,-
Oconto County ,55083,-,-,-,-,-,-,23,192,21,32,26,-
Oneida County ,55085,-,-,-,-,-,-,41,146,68,50,65,-
Outagamie County ,55087,-,-,-,-,-,-,58,406,39,27,15,-
Ozaukee County ,55089,-,-,-,-,-,-,28,150,17,20,21,-
Pepin County ,55091,-,-,-,-,-,-,0,26,7,6,10,-
Pierce County ,55093,-,-,-,-,-,-,26,73,41,46,60,-
Polk County ,55095,-,-,-,-,-,-,39,378,52,15,28,-
Portage County ,55097,-,-,-,-,-,-,81,302,79,87,94,-
Price County ,55099,-,-,-,-,-,-,8,59,16,6,7,-
Racine County ,55101,-,-,-,-,-,-,246,823,121,123,149,-
Richland County ,55103,-,-,-,-,-,-,23,43,11,14,11,-
Rock County ,55105,-,-,-,-,-,-,204,1455,259,184,131,-
Rusk County ,55107,-,-,-,-,-,-,0,73,13,7,17,-
St. Croix County ,55109,-,-,-,-,-,-,32,549,38,24,29,-
Sauk County ,55111,-,-,-,-,-,-,32,117,19,18,20,-
Sawyer County ,55113,-,-,-,-,-,-,10,87,8,12,4,-
Shawano County ,55115,-,-,-,-,-,-,17,180,5,10,9,-
Sheboygan County ,55117,-,-,-,-,-,-,41,501,60,68,22,-
Taylor County ,55119,-,-,-,-,-,-,27,110,19,24,7,-
Trempealeau County ,55121,-,-,-,-,-,-,19,216,47,19,15,-
Vernon County ,55123,-,-,-,-,-,-,15,118,2,9,1,-
Vilas County ,55125,-,-,-,-,-,-,30,135,35,31,14,-
Walworth County ,55127,-,-,-,-,-,-,98,301,57,48,54,-
Washburn County ,55129,-,-,-,-,-,-,8,65,10,10,7,-
Washington County ,55131,-,-,-,-,-,-,34,172,39,12,36,-
Waukesha County ,55133,-,-,-,-,-,-,81,448,96,97,77,-
Waupaca County ,55135,-,-,-,-,-,-,15,84,10,14,30,-
Waushara County ,55137,-,-,-,-,-,-,6,56,4,4,12,-
Winnebago County ,55139,-,-,-,-,-,-,66,186,64,58,35,-
Wood County ,55141,-,-,-,-,-,-,56,635,51,65,124,-
