County,FIPS_Code,2010_Physical,2011_Physical,2012_Physical,2013_Physical,2014_Physical,2015_Physical,2016_Physical,2017_Physical,2018_Physical,2019_Physical,2020_Physical,2021_Physical
Adams County ,55001,-,-,-,-,-,-,2,82,3,0,0,-
Ashland County ,55003,-,-,-,-,-,-,4,83,5,7,3,-
Barron County ,55005,-,-,-,-,-,-,8,26,4,9,3,-
Bayfield County ,55007,-,-,-,-,-,-,5,28,2,2,0,-
Brown County ,55009,-,-,-,-,-,-,27,296,28,34,28,-
Buffalo County ,55011,-,-,-,-,-,-,1,24,3,1,1,-
Burnett County ,55013,-,-,-,-,-,-,3,37,7,3,1,-
Calumet County ,55015,-,-,-,-,-,-,7,48,5,2,4,-
Chippewa County ,55017,-,-,-,-,-,-,8,59,4,2,4,-
Clark County ,55019,-,-,-,-,-,-,2,48,8,5,2,-
Columbia County ,55021,-,-,-,-,-,-,3,115,3,6,2,-
Crawford County ,55023,-,-,-,-,-,-,2,31,2,1,3,-
Dane County ,55025,-,-,-,-,-,-,41,599,39,29,35,-
Dodge County ,55027,-,-,-,-,-,-,5,50,6,8,5,-
Door County ,55029,-,-,-,-,-,-,5,78,2,1,3,-
Douglas County ,55031,-,-,-,-,-,-,7,65,6,3,3,-
Dunn County ,55033,-,-,-,-,-,-,1,59,5,7,4,-
Eau Claire County ,55035,-,-,-,-,-,-,4,91,11,16,10,-
Florence County ,55037,-,-,-,-,-,-,0,7,0,0,0,-
Fond du Lac County ,55039,-,-,-,-,-,-,11,89,17,12,8,-
Forest County ,55041,-,-,-,-,-,-,2,38,4,0,2,-
Grant County ,55043,-,-,-,-,-,-,11,122,9,7,6,-
Green County ,55045,-,-,-,-,-,-,4,100,5,7,2,-
Green Lake County ,55047,-,-,-,-,-,-,1,16,2,4,2,-
Iowa County ,55049,-,-,-,-,-,-,3,54,2,2,3,-
Iron County ,55051,-,-,-,-,-,-,1,11,1,3,2,-
Jackson County ,55053,-,-,-,-,-,-,3,35,8,3,5,-
Jefferson County ,55055,-,-,-,-,-,-,11,28,10,14,4,-
Juneau County ,55057,-,-,-,-,-,-,9,62,4,5,4,-
Kenosha County ,55059,-,-,-,-,-,-,35,363,28,32,22,-
Kewaunee County ,55061,-,-,-,-,-,-,1,5,0,0,0,-
La Crosse County ,55063,-,-,-,-,-,-,9,72,13,2,6,-
Lafayette County ,55065,-,-,-,-,-,-,0,36,3,4,0,-
Langlade County ,55067,-,-,-,-,-,-,10,28,5,4,4,-
Lincoln County ,55069,-,-,-,-,-,-,4,62,10,5,7,-
Manitowoc County ,55071,-,-,-,-,-,-,16,42,20,15,14,-
Marathon County ,55073,-,-,-,-,-,-,22,95,15,12,5,-
Marinette County ,55075,-,-,-,-,-,-,11,37,3,9,4,-
Marquette County ,55077,-,-,-,-,-,-,3,25,1,1,1,-
Menominee County ,55078,-,-,-,-,-,-,3,28,0,1,1,-
Milwaukee County ,55079,-,-,-,-,-,-,234,3299,188,247,146,-
Monroe County ,55081,-,-,-,-,-,-,10,149,17,7,2,-
Oconto County ,55083,-,-,-,-,-,-,6,77,3,6,8,-
Oneida County ,55085,-,-,-,-,-,-,10,38,6,3,2,-
Outagamie County ,55087,-,-,-,-,-,-,13,179,14,12,11,-
Ozaukee County ,55089,-,-,-,-,-,-,11,67,9,8,1,-
Pepin County ,55091,-,-,-,-,-,-,0,17,4,0,0,-
Pierce County ,55093,-,-,-,-,-,-,9,35,7,6,2,-
Polk County ,55095,-,-,-,-,-,-,5,81,5,6,5,-
Portage County ,55097,-,-,-,-,-,-,6,93,10,3,9,-
Price County ,55099,-,-,-,-,-,-,2,25,2,5,2,-
Racine County ,55101,-,-,-,-,-,-,41,314,29,34,25,-
Richland County ,55103,-,-,-,-,-,-,5,23,5,2,1,-
Rock County ,55105,-,-,-,-,-,-,22,366,25,28,23,-
Rusk County ,55107,-,-,-,-,-,-,0,21,1,0,1,-
St. Croix County ,55109,-,-,-,-,-,-,8,133,3,4,7,-
Sauk County ,55111,-,-,-,-,-,-,12,49,6,7,1,-
Sawyer County ,55113,-,-,-,-,-,-,1,33,3,1,1,-
Shawano County ,55115,-,-,-,-,-,-,3,81,8,5,2,-
Sheboygan County ,55117,-,-,-,-,-,-,5,161,15,19,4,-
Taylor County ,55119,-,-,-,-,-,-,3,31,5,1,4,-
Trempealeau County ,55121,-,-,-,-,-,-,3,58,8,5,4,-
Vernon County ,55123,-,-,-,-,-,-,12,49,3,2,0,-
Vilas County ,55125,-,-,-,-,-,-,2,24,6,7,3,-
Walworth County ,55127,-,-,-,-,-,-,30,212,15,20,12,-
Washburn County ,55129,-,-,-,-,-,-,2,19,4,2,1,-
Washington County ,55131,-,-,-,-,-,-,4,86,11,8,0,-
Waukesha County ,55133,-,-,-,-,-,-,23,162,15,24,17,-
Waupaca County ,55135,-,-,-,-,-,-,2,25,6,3,3,-
Waushara County ,55137,-,-,-,-,-,-,0,22,0,1,1,-
Winnebago County ,55139,-,-,-,-,-,-,26,146,22,17,17,-
Wood County ,55141,-,-,-,-,-,-,16,223,13,18,21,-
