County,FIPS_Code,2010_Sexual,2011_Sexual,2012_Sexual,2013_Sexual,2014_Sexual,2015_Sexual,2016_Sexual,2017_Sexual,2018_Sexual,2019_Sexual,2020_Sexual,2021_Sexual
Adams County ,55001,-,-,-,-,-,-,23,55,6,4,9,-
Ashland County ,55003,-,-,-,-,-,-,6,20,11,12,4,-
Barron County ,55005,-,-,-,-,-,-,4,63,11,4,8,-
Bayfield County ,55007,-,-,-,-,-,-,2,10,4,3,1,-
Brown County ,55009,-,-,-,-,-,-,36,243,35,36,42,-
Buffalo County ,55011,-,-,-,-,-,-,3,13,1,1,1,-
Burnett County ,55013,-,-,-,-,-,-,7,19,9,3,8,-
Calumet County ,55015,-,-,-,-,-,-,8,20,9,8,7,-
Chippewa County ,55017,-,-,-,-,-,-,9,46,10,10,12,-
Clark County ,55019,-,-,-,-,-,-,4,21,18,15,15,-
Columbia County ,55021,-,-,-,-,-,-,4,70,9,7,3,-
Crawford County ,55023,-,-,-,-,-,-,2,23,4,6,1,-
Dane County ,55025,-,-,-,-,-,-,77,403,55,82,47,-
Dodge County ,55027,-,-,-,-,-,-,7,51,12,8,7,-
Door County ,55029,-,-,-,-,-,-,5,15,3,4,1,-
Douglas County ,55031,-,-,-,-,-,-,13,58,11,2,5,-
Dunn County ,55033,-,-,-,-,-,-,18,46,3,8,8,-
Eau Claire County ,55035,-,-,-,-,-,-,22,104,18,27,32,-
Florence County ,55037,-,-,-,-,-,-,0,3,0,0,0,-
Fond du Lac County ,55039,-,-,-,-,-,-,30,94,21,24,26,-
Forest County ,55041,-,-,-,-,-,-,0,18,5,0,1,-
Grant County ,55043,-,-,-,-,-,-,9,38,8,11,11,-
Green County ,55045,-,-,-,-,-,-,2,40,4,3,3,-
Green Lake County ,55047,-,-,-,-,-,-,2,27,5,9,8,-
Iowa County ,55049,-,-,-,-,-,-,1,19,4,2,2,-
Iron County ,55051,-,-,-,-,-,-,0,5,2,0,2,-
Jackson County ,55053,-,-,-,-,-,-,5,12,5,6,4,-
Jefferson County ,55055,-,-,-,-,-,-,11,44,25,12,21,-
Juneau County ,55057,-,-,-,-,-,-,14,45,6,11,12,-
Kenosha County ,55059,-,-,-,-,-,-,24,113,32,35,35,-
Kewaunee County ,55061,-,-,-,-,-,-,1,2,1,1,0,-
La Crosse County ,55063,-,-,-,-,-,-,16,83,16,14,17,-
Lafayette County ,55065,-,-,-,-,-,-,4,15,4,0,2,-
Langlade County ,55067,-,-,-,-,-,-,3,17,6,10,2,-
Lincoln County ,55069,-,-,-,-,-,-,5,39,7,2,2,-
Manitowoc County ,55071,-,-,-,-,-,-,14,57,12,12,19,-
Marathon County ,55073,-,-,-,-,-,-,47,130,36,23,44,-
Marinette County ,55075,-,-,-,-,-,-,2,15,5,9,4,-
Marquette County ,55077,-,-,-,-,-,-,3,19,4,4,3,-
Menominee County ,55078,-,-,-,-,-,-,0,12,4,5,1,-
Milwaukee County ,55079,-,-,-,-,-,-,192,1207,222,195,173,-
Monroe County ,55081,-,-,-,-,-,-,8,56,12,6,9,-
Oconto County ,55083,-,-,-,-,-,-,7,52,8,7,5,-
Oneida County ,55085,-,-,-,-,-,-,7,22,8,4,6,-
Outagamie County ,55087,-,-,-,-,-,-,18,153,28,19,42,-
Ozaukee County ,55089,-,-,-,-,-,-,4,34,9,12,9,-
Pepin County ,55091,-,-,-,-,-,-,1,10,3,1,2,-
Pierce County ,55093,-,-,-,-,-,-,9,40,8,8,9,-
Polk County ,55095,-,-,-,-,-,-,11,72,14,8,4,-
Portage County ,55097,-,-,-,-,-,-,15,40,17,15,15,-
Price County ,55099,-,-,-,-,-,-,7,2,4,3,2,-
Racine County ,55101,-,-,-,-,-,-,48,254,81,41,45,-
Richland County ,55103,-,-,-,-,-,-,1,15,1,5,3,-
Rock County ,55105,-,-,-,-,-,-,40,261,47,39,24,-
Rusk County ,55107,-,-,-,-,-,-,2,20,2,2,2,-
St. Croix County ,55109,-,-,-,-,-,-,16,77,22,9,14,-
Sauk County ,55111,-,-,-,-,-,-,11,57,6,8,7,-
Sawyer County ,55113,-,-,-,-,-,-,3,17,5,2,1,-
Shawano County ,55115,-,-,-,-,-,-,1,42,1,5,5,-
Sheboygan County ,55117,-,-,-,-,-,-,18,79,13,13,10,-
Taylor County ,55119,-,-,-,-,-,-,0,21,4,3,7,-
Trempealeau County ,55121,-,-,-,-,-,-,15,27,10,3,4,-
Vernon County ,55123,-,-,-,-,-,-,1,20,2,4,5,-
Vilas County ,55125,-,-,-,-,-,-,3,13,3,2,3,-
Walworth County ,55127,-,-,-,-,-,-,18,90,21,10,10,-
Washburn County ,55129,-,-,-,-,-,-,4,22,6,6,1,-
Washington County ,55131,-,-,-,-,-,-,10,49,7,2,10,-
Waukesha County ,55133,-,-,-,-,-,-,54,116,25,35,29,-
Waupaca County ,55135,-,-,-,-,-,-,7,19,12,11,13,-
Waushara County ,55137,-,-,-,-,-,-,5,17,2,2,8,-
Winnebago County ,55139,-,-,-,-,-,-,36,158,33,32,28,-
Wood County ,55141,-,-,-,-,-,-,11,126,29,18,32,-
